Austria,Jimmy Makulis,"Sehnsucht"
Belgium,Bob Benny,"September, gouden roos"
Denmark,Dario Campeotto,"Angelique"
Finland,Laila Kinnunen,"Valoa ikkunassa"
France,Jean-Paul Mauric,"Printemps (avril carillonne)"
Germany,Lale Andersen,"Einmal sehen wir uns wieder"
Italy,Betty Curtis,"Al di là"
Luxembourg,Jean-Claude Pascal,"Nous les amoureux"
Monaco,Colette Deréal,"Allons, allons les enfants"
Netherlands,Greetje Kauffeld,"Wat een dag"
Norway,Nora Brockstedt,"Sommer i Palma"
Spain,Conchita Bautista,"Estando contigo"
Sweden,Lill-Babs,"April, april"
Switzerland,Franca di Rienzo,"Nous aurons demain"
United Kingdom,The Allisons,"Are You Sure?"
Yugoslavia,Ljiljana Petrović,"Neke davne zvezde"
