Austria, Carmela Corren, Vielleicht geschieht ein Wunder
Belgium, Jacques Raymond, Waarom?
Denmark, Grethe and Jørgen Ingmann, Dansevise
Finland, Laila Halme, Muistojeni laulu
France, Alain Barrière, Elle était si jolie
Germany, Heidi Brühl, Marcel
Italy, Emilio Pericoli, Uno per tutte
Luxembourg, Nana Mouskouri, À force de prier
Monaco, Françoise Hardy, L'amour s'en va
Netherlands, Annie Palmen, Een speeldoos
Norway, Anita Thallaug, Solhverv
Spain, José Guardiola, Algo prodigioso
Sweden, Monica Zetterlund, En gång i Stockholm
Switzerland, Esther Ofarim, T'en va pas
United Kingdom, Ronnie Carroll, Say Wonderful Things
Yugoslavia, Vice Vukov, Brodovi
