"ID","Country","Artist","Song","CountryID","runningOrder","placed","placedJury","placedTelevote","placedDiff","totalPoints","pointsJury","pointsTelevote","pointsDiff"
1,"Austria","Udo Jürgens","Warum nur, warum?",8,6,5,5,NULL,NULL,11,11,NULL,NULL
2,"Belgium","Robert Cogoi","Près de ma rivière",1,15,9,9,NULL,NULL,2,2,NULL,NULL
3,"Denmark","Bjørn Tidmand","Sangen om dig",9,4,8,8,NULL,NULL,4,4,NULL,NULL
4,"Finland","Lasse Mårtenson","Laiskotellen",14,5,6,6,NULL,NULL,9,9,NULL,NULL
5,"France","Rachel","Le Chant de Mallory",2,7,4,4,NULL,NULL,14,14,NULL,NULL
6,"Germany","Nora Nova","Man gewöhnt sich so schnell an das Schöne",3,9,11,11,NULL,NULL,0,0,NULL,NULL
7,"Italy","Gigliola Cinquetti","Non ho l'età",4,12,1,1,NULL,NULL,49,49,NULL,NULL
8,"Luxembourg","Hugues Aufray","Dès que le printemps revient",5,1,4,4,NULL,NULL,14,14,NULL,NULL
9,"Monaco","Romuald","Où sont-elles passées",12,10,3,3,NULL,NULL,15,15,NULL,NULL
10,"Netherlands","Anneke Grönloh","Jij bent mijn leven",6,2,9,9,NULL,NULL,2,2,NULL,NULL
11,"Norway","Arne Bendiksen","Spiral",13,3,7,7,NULL,NULL,6,6,NULL,NULL
12,"Portugal","António Calvário","Oração",17,11,11,11,NULL,NULL,0,0,NULL,NULL
13,"Spain","Nelly with Tim and Tony","Caracola",15,16,10,10,NULL,NULL,1,1,NULL,NULL
14,"Switzerland","Anita Traversi","I miei pensieri",7,14,11,11,NULL,NULL,0,0,NULL,NULL
15,"United Kingdom","Matt Monro","I Love the Little Things",10,8,2,2,NULL,NULL,17,17,NULL,NULL
16,"Yugoslavia","Sabahudin Kurt","Život je sklopio krug",16,13,11,11,NULL,NULL,0,0,NULL,NULL
