Austria,"Udo Jürgens","Merci, Chérie"
Belgium,"Tonia","Un peu de poivre, un peu de sel"
Denmark,"Ulla Pia","Stop – mens legen er go'"
Finland,"Ann-Christine","Playboy"
France,"Dominique Walter","Chez nous"
Germany,"Margot Eskens","Die Zeiger der Uhr"
Ireland,"Dickie Rock","Come Back to Stay"
Italy,"Domenico Modugno","Dio, come ti amo"
Luxembourg,"Michèle Torr","Ce soir je t'attendais"
Monaco,"Téréza","Bien plus fort"
Netherlands,"Milly Scott","Fernando en Philippo"
Norway,"Åse Kleveland","Intet er nytt under solen"
Portugal,"Madalena Iglésias","Ele e ela"
Spain,"Raphael","Yo soy aquél"
Sweden,"Lill Lindfors and Svante Thuresson","Nygammal vals"
Switzerland,"Madeleine Pascal","Ne vois-tu pas ?"
United Kingdom,"Kenneth McKellar","A Man Without Love"
Yugoslavia,"Berta Ambrož","Brez besed"
