Austria,"Karel Gott","Tausend Fenster"
Belgium,"Claude Lombard","Quand tu reviendras"
Finland,"Kristina Hautala","Kun kello käy"
France,"Isabelle Aubret","La Source"
Germany,"Wencke Myhre","Ein Hoch der Liebe"
Ireland,"Pat McGeegan","Chance of a Lifetime"
Italy,"Sergio Endrigo","Marianne"
Luxembourg,"Chris Baldo and Sophie Garel","Nous vivrons d'amour"
Monaco,"Line and Willy","À chacun sa chanson"
Netherlands,"Ronnie Tober","Morgen"
Norway,"Odd Børre","Stress"
Portugal,"Carlos Mendes","Verão"
Spain,"Massiel","La La La"
Sweden,"Claes-Göran Hederström","Det börjar verka kärlek, banne mej"
Switzerland,"Gianni Mascolo","Guardando il sole"
United Kingdom,"Cliff Richard","Congratulations"
Yugoslavia,"Lući Kapurso and Hamo Hajdarhodžić","Jedan dan"
