"year","venue","countryname","artist","song","runningOrder","placed","placedJury","placedTelevote","pointsJury","pointsTelevote","youtubeLink","appleMusicLink","spotifyLink"
1969,"Teatro Real","Yugoslavia","Ivan","Pozdrav svijetu",1,8,8,NULL,5,NULL,"https://youtu.be/-zubKloWHEw?si=HmBjebvV5qyM8R6b","https://music.apple.com/gb/album/pozdrav-svijetu/531615641?i=531615963","https://open.spotify.com/track/18jY8c3zCnofX3cd2DEo0Y?si=3be172df615d4c27"
1969,"Teatro Real","Luxembourg","Romuald","Catherine",2,6,6,NULL,7,NULL,"https://youtu.be/reJAq87Wwrw?si=cKricRV_0byKzEAh","https://music.apple.com/gb/album/catherine/1583006529?i=1583006532","https://open.spotify.com/track/0tjbV1ImC3r6JxkHcdteQZ?si=3df16718ff2048b7"
1969,"Teatro Real","Spain","Salomé","Vivo cantando",3,1,1,NULL,18,NULL,"https://youtu.be/uQgb7QdZIv0?si=YpaUscwkkz4mbr-E","https://music.apple.com/gb/album/vivo-cantando/175107274?i=175107275","https://open.spotify.com/track/059G9tpE3kl6wz3kiddaN0?si=fc34d3b8fd704bde"
1969,"Teatro Real","Monaco","Jean Jacques","Maman, Maman",4,3,3,NULL,11,NULL,"https://youtu.be/hlbLPJ-ocxY?si=cU2TTLc-U5ugXrbT","https://music.apple.com/gb/album/maman-maman/102086414?i=102086190",NULL
1969,"Teatro Real","Ireland","Muriel Day","The Wages of Love",5,4,4,NULL,10,NULL,"https://youtu.be/1-lxKz2heAM?si=KSTsT3CIGOrZuQ3a",NULL,NULL
1969,"Teatro Real","Italy","Iva Zanicchi","Due grosse lacrime bianche",6,8,8,NULL,5,NULL,"https://youtu.be/uL1QLj1aRM8?si=BOVCc0WYVPOqU-dz","https://music.apple.com/gb/album/due-grosse-lacrime-bianche/1546222624?i=1546222927","https://open.spotify.com/track/5PW1ADTEu6BJuAM2h7bH6m?si=985a455389a34fb8"
1969,"Teatro Real","United Kingdom","Lulu","Boom Bang-a-Bang",7,1,1,NULL,18,NULL,"https://youtu.be/Qm4UJIy0vsk?si=XpG59dmrVte7ishD","https://music.apple.com/gb/album/boom-bang-a-bang/1323002144?i=1323002159","https://open.spotify.com/track/0vaRIQTdMIEnXjhWlVS95p?si=3a8135933e3041da"
1969,"Teatro Real","Netherlands","Lenny Kuhr","De troubadour",8,1,1,NULL,18,NULL,"https://youtu.be/dsP3lhz5J30?si=rmG9rDzT5AAMqmbJ","https://music.apple.com/gb/album/de-troubadour-feat-piet-souer/1442813402?i=1442813455","https://open.spotify.com/track/31VRNSB6FA4KP7TOkW3k3A?si=8c967ae39e794e2c"
1969,"Teatro Real","Sweden","Tommy Körberg","Judy, min vän",9,5,5,NULL,8,NULL,"https://youtu.be/RRI5mzHoi5g?si=WmAmY-s4mJHoMRq8","https://music.apple.com/gb/album/judy-min-v%C3%A4n/1469546495?i=1469547017","https://open.spotify.com/track/1Z4zGDjmHURFmHAd0OAV2t?si=e88c3c48361748ae"
1969,"Teatro Real","Belgium","Louis Neefs","Jennifer Jennings",10,4,4,NULL,10,NULL,"https://youtu.be/TKX8l_ye--8?si=Qmao2vd9dfs1kWUt","https://music.apple.com/gb/album/jennifer-jennings/1442375717?i=1442375725","https://open.spotify.com/track/4nZ516wquSpoubxkqQ4ban?si=066e8549172f49a7"
1969,"Teatro Real","Switzerland","Paola","Bonjour, Bonjour",11,2,2,NULL,13,NULL,"https://youtu.be/9eGeZuMuMTs?si=2L0m30vCp9yX8Nph",NULL,NULL
1969,"Teatro Real","Norway","Kirsti Sparboe","Oj, oj, oj, så glad jeg skal bli",12,10,10,NULL,1,NULL,"https://youtu.be/82uR5MLX5YY?si=MPd8wjzsDF81FOC6","https://music.apple.com/gb/album/oj-oj-oj-s%C3%A5-glad-jeg-skal-bli/297209884?i=297210049","https://open.spotify.com/track/1wTSmFsq5noeiitpwifvIG?si=ecc02dcbc32b40ae"
1969,"Teatro Real","Germany","Siw Malmkvist","Primaballerina",13,5,5,NULL,8,NULL,"https://youtu.be/6tvMWASrMrc?si=ifFBJ_kqvKInqpE0","https://music.apple.com/gb/album/primaballerina/260709982?i=260710273","https://open.spotify.com/track/5I0IiNSEy5ww523Wvmgrmc?si=937532a2d2774842"
1969,"Teatro Real","France","Frida Boccara","Un jour, un enfant",14,1,1,NULL,18,NULL,"https://youtu.be/sWSiH2TNzKI?si=EQ3Gd9G8yX8Dsobe","https://music.apple.com/gb/album/un-jour-un-enfant/1443472672?i=1443472681","https://open.spotify.com/track/0VOcpdpcOg2t05nvubJeOr?si=6d29ebaf4b624cab"
1969,"Teatro Real","Portugal","Simone de Oliveira","Desfolhada portuguesa",15,9,9,NULL,4,NULL,"https://youtu.be/l6WXhDQY_sQ?si=__Nr1mi66B-Leq0z","https://music.apple.com/gb/album/desfolhada-portuguesa/1437581589?i=1437581792","https://open.spotify.com/track/1G0kV398JWt9kB9p1wL4at?si=fb6a3d3ca99d4da6"
1969,"Teatro Real","Finland","Jarkko and Laura","Kuin silloin ennen",16,7,7,NULL,6,NULL,"https://youtu.be/6Gd-yAdud1I?si=Q0sSY_YMWfH_G-3I","https://music.apple.com/gb/album/kuin-silloin-ennen/270726544?i=270726769","https://open.spotify.com/track/2X1lTPfQPqlylzpGzvaR7E?si=a0f118b0c62b4a6e"
