Austria,Marianne Mendt,Musik
Belgium,"Jacques Raymond and Lily Castel","Goeie morgen, morgen"
Finland,"Markku Aro and Koivisto Sisters","Tie uuteen päivään"
France,Serge Lama,"Un jardin sur la terre"
Germany,Katja Ebstein,Diese Welt
Ireland,Angela Farrell,"One Day Love"
Italy,Massimo Ranieri,"L'amore è un attimo"
Luxembourg,Monique Melsen,"Pomme, pomme, pomme"
Malta,Joe Grech,"Marija l-Maltija"
Monaco,Séverine,"Un banc, un arbre, une rue"
Netherlands,Saskia and Serge,Tijd
Norway,Hanne Krogh,"Lykken er..."
Portugal,Tonicha,"Menina do alto da serra"
Spain,Karina,"En un mundo nuevo"
Sweden,The Family Four,"Vita vidder"
Switzerland,"Peter, Sue and Marc","Les Illusions de nos vingt ans"
United Kingdom,Clodagh Rodgers,"Jack in the Box"
Yugoslavia,Krunoslav Slabinac,"Tvoj dječak je tužan"
