Austria,The Milestones,"Falter im Wind"
Belgium,Serge and Christine Ghisoland,"À la folie ou pas du tout"
Finland,Päivi Paunu and Kim Floor,"Muistathan"
France,Betty Mars,"Comé-comédie"
Germany,Mary Roos,"Nur die Liebe läßt uns leben"
Ireland,Sandie Jones,"Ceol an Ghrá"
Italy,Nicola Di Bari,"I giorni dell'arcobaleno"
Luxembourg,Vicky Leandros,"Après toi"
Malta,Helen and Joseph,"L-imħabba"
Monaco,Anne-Marie Godart and Peter MacLane,"Comme on s'aime"
Netherlands,Sandra and Andres,"Als het om de liefde gaat"
Norway,Grethe Kausland and Benny Borg,"Småting"
Portugal,Carlos Mendes,"A festa da vida"
Spain,Jaime Morey,"Amanece"
Sweden,The Family Four,"Härliga sommardag"
Switzerland,Véronique Müller,"C'est la chanson de mon amour"
United Kingdom,The New Seekers,"Beg, Steal or Borrow"
Yugoslavia,Tereza,"Muzika i ti"
