Belgium,Nicole and Hugo,"Baby Baby"
Finland,Marion Rung,"Tom Tom Tom"
France,Martine Clémenceau,"Sans toi"
Germany,Gitte,"Junger Tag"
Ireland,Maxi,"Do I Dream"
Israel,Ilanit,"Ey Sham"
Italy,Massimo Ranieri,"Chi sarà con te"
Luxembourg,Anne-Marie David,"Tu te reconnaîtras"
Monaco,Marie,"Un train qui part"
Netherlands,Ben Cramer,"De oude muzikant"
Norway,Bendik Singers,"It's Just a Game"
Portugal,Fernando Tordo,"Tourada"
Spain,Mocedades,"Eres tú"
Sweden,The Nova,"You're Summer"
Switzerland,Patrick Juvet,"Je vais me marier, Marie"
United Kingdom,Cliff Richard,"Power to All Our Friends"
Yugoslavia,Zdravko Čolić,"Gori vatra"
