Belgium,Jacques Hustin,"Fleur de liberté"
Finland,Carita,"Keep Me Warm"
Germany,Cindy and Bert,"Die Sommermelodie"
Greece,Marinella,"Krassi, thalassa ke t' agori mou"
Ireland,Tina Reynolds,"Cross Your Heart"
Israel,Poogy,"Natati La Khaiai"
Italy,Gigliola Cinquetti,"Sì"
Luxembourg,Ireen Sheer,"Bye Bye I Love You"
Monaco,Romuald,"Celui qui reste et celui qui s'en va"
Netherlands,Mouth and MacNeal,"I See a Star"
Norway,Anne-Karine and the Bendik Singers,"The First Day of Love"
Portugal,Paulo de Carvalho,"E depois do adeus"
Spain,Peret,"Canta y sé feliz"
Sweden,ABBA,"Waterloo"
Switzerland,Piera Martell,"Mein Ruf nach dir"
United Kingdom,Olivia Newton-John,"Long Live Love"
Yugoslavia,Korni Grupa,"Generacija '42"
