Belgium,Ann Christy,"Gelukkig zijn"
Finland,Pihasoittajat,"Old Man Fiddle"
France,Nicole,"Et bonjour à toi l'artiste"
Germany,Joy Fleming,"Ein Lied kann eine Brücke sein"
Ireland,The Swarbriggs,"That's What Friends Are For"
Israel,Shlomo Artzi,"At Ve'Ani"
Italy,Wess and Dori Ghezzi,"Era"
Luxembourg,Géraldine,"Toi"
Malta,Renato,"Singing This Song"
Monaco,Sophie,"Une chanson c'est une lettre"
Netherlands,Teach-In,"Ding-a-dong"
Norway,Ellen Nikolaysen,"Touch My Life with Summer"
Portugal,Duarte Mendes,"Madrugada"
Spain,Sergio and Estíbaliz,"Tú volverás"
Sweden,Lars Berghagen,"Jennie, Jennie"
Switzerland,Simone Drexel,"Mikado"
Turkey,Semiha Yankı,"Seninle Bir Dakika"
United Kingdom,The Shadows,"Let Me Be the One"
Yugoslavia,Pepel in kri,"Dan ljubezni"
