"id","country","artist","song","countryId","runningOrder","placed","placedJury","placedTelevote","placedDiff","totalPoints","pointsJury","pointsTelevote","pointsDiff","youtubeLink","appleMusicLink","spotifyLink"
1,"Austria","Schmetterlinge","Boom Boom Boomerang",8,4,16,16,,,11,11,,,"https://youtu.be/HXyxrduUjyo?si=lT3UOCEuRd8UsSvR",,
2,"Belgium","Dream Express","A Million in One, Two, Three",1,17,7,7,,,69,69,,,"https://youtu.be/QoB-8n5iD8M?si=2xbi7qjZPFHY9QcZ",,
3,"Finland","Monica Aspelund","Lapponia",14,16,10,10,,,50,50,,,"https://youtu.be/g6L5Z7V9icc?si=4im-uf_HmBSRmRkG","https://music.apple.com/gb/album/lapponia/250393069?i=250393205","https://open.spotify.com/track/08QQrrdpXS5KmhSMD5EWMF?si=7c15cc65cd334e0d"
4,"France","Marie Myriam","L'Oiseau et l'Enfant",2,18,1,1,,,136,136,,,"https://youtu.be/q5N6gL1AF_g?si=tUv9JegUy2XbT8qx","https://music.apple.com/gb/album/loiseau-et-lenfant/1222623205?i=1222623640","https://open.spotify.com/track/7Hy0CZtFcREucLDXB5jp6m?si=1d2f339fd1bf4367"
5,"Germany","Silver Convention","Telegram",3,6,8,8,,,55,55,,,"https://youtu.be/8oW5mj_TBus?si=BEg_jTdrzOiIXMBT","https://music.apple.com/gb/album/telegram/299235181?i=299235273","https://open.spotify.com/track/72YL3BihTfLT3gfihtonfB?si=9b4de7e7b73d49ef"
6,"Greece","Pascalis, Marianna, Robert and Bessy","Mathema solfege",21,10,5,5,,,92,92,,,"https://youtu.be/ov6n4OkF7EE?si=s26E92C7YaWn2TYq","https://music.apple.com/gb/album/mathima-solfez-feat-paschalis-marianne-robert-bessy/1601763385?i=1601763392","https://open.spotify.com/track/3dbavuu1mHOSbm51LaYJ2W?si=d20cf5a7b46346ea"
7,"Ireland","The Swarbriggs Plus Two","It's Nice to Be in Love Again",18,1,3,3,,,119,119,,,"https://youtu.be/aEPkEaeCBNo?si=sB09RmXcqe2u1XlL",,
8,"Israel","Ilanit","Ahava Hi Shir Lishnayim",20,11,11,11,,,49,49,,,"https://youtu.be/jOKFCAL9ilc?si=HHO30iiuIfXM1O3E",,
9,"Italy","Mia Martini","Libera",4,15,13,13,,,33,33,,,"https://youtu.be/AHaN8XA6qu4?si=iv97R9lSlyLfmLvj","https://music.apple.com/gb/album/libera/1629697148?i=1629697175","https://open.spotify.com/track/0MGpPqTsKPypiGOapBiDyP?si=690d2af0db464877"
10,"Luxembourg","Anne-Marie B","Frère Jacques",5,7,15,15,,,17,17,,,"https://youtu.be/pE40LPTonyE?si=yZE0Iju21QY0m9u5",,
11,"Monaco","Michèle Torr","Une petite française",12,2,4,4,,,96,96,,,"https://youtu.be/u_CPOexfFCU?si=iebJWQoFj4b0Yl0R","https://music.apple.com/gb/album/une-petite-fran%C3%A7aise/1442239725?i=1442239912","https://open.spotify.com/track/4OMWFiBrBlA11tnJmNhi7y?si=840e5bf8c27f4c72"
12,"Netherlands","Heddy Lester","De mallemolen",6,3,12,12,,,35,35,,,"https://youtu.be/B27TwLxbWms?si=oxAi8LdsZmf-A0ps",,
13,"Norway","Anita Skorgan","Casanova",13,5,14,14,,,18,18,,,"https://youtu.be/JPJxDxHW7LM?si=szAerHniDCc1Rr6G",,
14,"Portugal","Os Amigos","Portugal no coração",17,8,14,14,,,18,18,,,"https://youtu.be/ykMUq8uVykY?si=UH0b7k-Sv2aLzIm3",,
15,"Spain","Micky","Enséñame a cantar",15,14,9,9,,,52,52,,,"https://youtu.be/aPE_jTvBKMo?si=C5TnYqhG5Dv1Zh9F","https://music.apple.com/gb/album/ense%C3%B1ame-a-cantar/215109067?i=215109447","https://open.spotify.com/track/2uqty8GXN72i8h5YFd037F?si=a3a77165fa4d4800"
16,"Sweden","Forbes","Beatles",11,13,17,17,,,2,2,,,"https://youtu.be/OrFg4nyBeAE?si=_iI8BQyxT7KoB5sA","https://music.apple.com/gb/album/beatles-svensk-version/463201647?i=463201671","https://open.spotify.com/track/1LiPcvWAEMC4AMUnHDbppP?si=0cb0f87b416c4c30"
17,"Switzerland","Pepe Lienhard Band","Swiss Lady",7,12,6,6,,,71,71,,,"https://youtu.be/JdD2ljNVui0?si=MdG11TAerhHXe-CI","https://music.apple.com/gb/album/swiss-lady/716612030?i=716612290","https://open.spotify.com/track/0832pCssQRETuqoNPLOtpO?si=adeace0256fd4e0d"
18,"United Kingdom","Lynsey de Paul and Mike Moran","Rock Bottom",10,9,2,2,,,121,121,,,"https://youtu.be/N_WWnKt4GAY?si=G1Utig1ZhC2yst6V",,
