Austria,Springtime,"Mrs. Caroline Robinson"
Belgium,Jean Vallée,"L'amour ça fait chanter la vie"
Denmark,Mabel,"Boom Boom"
Finland,Seija Simola,"Anna rakkaudelle tilaisuus"
France,Joël Prévost,"Il y aura toujours des violons"
Germany,Ireen Sheer,Feuer
Greece,Tania Tsanaklidou,"Charlie Chaplin (Τσάρλυ Τσάπλιν)"
Ireland,Colm C. T. Wilkinson,"Born to Sing"
Israel,Izhar Cohen and the Alphabeta,"A-Ba-Ni-Bi (א-ב-ני-בי)"
Italy,Ricchi e Poveri,Questo amore
Luxembourg,Baccara,"Parlez-vous français ?"
Monaco,Caline and Olivier Toussaint,"Les Jardins de Monaco"
Netherlands,Harmony,"'t Is OK"
Norway,Jahn Teigen,"Mil etter mil"
Portugal,Gemini,"Dai li dou"
Spain,José Vélez,"Bailemos un vals"
Sweden,Björn Skifs,"Det blir alltid värre framåt natten"
Switzerland,Carole Vinci,Vivre
Turkey,Nilüfer and Nazar,Sevince
United Kingdom,Co-Co,"The Bad Old Days"
