"year";"venue";"countryname";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
1979;"International Convention Center";"Portugal";"Manuela Bravo";"Sobe, sobe, balão sobe";1;9;9;;64;;"https://youtu.be/wz-ECty_Fbk?si=0l2ylOeMJNyV-qQQ";"https://music.apple.com/gb/album/sobe-sobe-bal%C3%A3o-sobe-eurovis%C3%A3o-79-portugal/1497682220?i=1497682222";"https://open.spotify.com/track/6aa2qMVf8S5cdRIzJjTGhN?si=52a459343bc844ce"
1979;"International Convention Center";"Italy";"Matia Bazar";"Raggio di luna";2;15;15;;27;;"https://youtu.be/2vCistw4URM?si=Pum2oZDOvxFkHyZd";"https://music.apple.com/gb/album/raggio-di-luna/712943003?i=712943585";"https://open.spotify.com/track/4YB2mfnJ9juGvdDXUq6ieW?si=611590ae25e04056"
1979;"International Convention Center";"Denmark";"Tommy Seebach";"Disco Tango";3;6;6;;76;;"https://youtu.be/3osUz0OZEQE?si=6g0rz4nTZtgM-Nja";"https://music.apple.com/gb/album/disco-tango-engelsk-version/688483780?i=688485107";"https://open.spotify.com/track/5JpYM0yLDfKfoPWqydsqgj?si=154dbf3c5e41481d"
1979;"International Convention Center";"Ireland";"Cathal Dunne";"Happy Man";4;5;5;;80;;"https://youtu.be/f-z_gZFRptI?si=axCJrCgriNxS_DwJ";"https://music.apple.com/gb/album/happy-man/1322526290?i=1322526303";
1979;"International Convention Center";"Finland";"Katri Helena";"Katson sineen taivaan";5;14;14;;38;;"https://youtu.be/pBiBN5tbuXk?si=OIyTiR8yiWCeLS-M";"https://music.apple.com/gb/album/katson-sineen-taivaan/211162907?i=211162924";"https://open.spotify.com/track/1n2GKZLR0OwIoEsXzJx40U?si=a266599408ca4b31"
1979;"International Convention Center";"Monaco";"Laurent Vaguener";"Notre vie c'est la musique";6;16;16;;12;;"https://youtu.be/53OdfcR1eVo?si=2cLrWqEFbWBgDOu7";;
1979;"International Convention Center";"Greece";"Elpida";"Socrates";7;8;8;;69;;"https://youtu.be/vx4Odfzrrzk?si=bHDZ9C9wZih97FHi";;"https://open.spotify.com/track/0Jd0462vatmBiMP1D0PeJA?si=28e6637f5f0f428d"
1979;"International Convention Center";"Switzerland";"Peter, Sue and Marc, Pfuri, Gorps and Kniri";"Trödler und Co.";8;10;10;;60;;"https://youtu.be/C146vwTKLOE?si=tfcR0Shf9DlSZVWJ";"https://music.apple.com/gb/album/tr%C3%B6dler-co-remastered-2015/1444045141?i=1444045485";"https://open.spotify.com/track/5HW3cbxWJvQtrWTNO41pdk?si=1ac2eab836034409"
1979;"International Convention Center";"Germany";"Dschinghis Khan";"Dschinghis Khan";9;4;4;;86;;"https://youtu.be/xE2Z6eTOIRk?si=L_IKsRT3U_6sGqBR";"https://music.apple.com/gb/album/dschinghis-khan/253921720?i=253921794";"https://open.spotify.com/track/0ksebE6LrZocf2L5f4N1q7?si=46a603a1a5af4dbf"
1979;"International Convention Center";"Israel";"Milk and Honey";"Hallelujah";10;1;1;;125;;"https://youtu.be/jKbvuYRR35E?si=T0nFKSkSq4iuiKC-";"https://music.apple.com/gb/album/hallelujah/1450822998?i=1450823222";"https://open.spotify.com/track/0MSj3prJSpFXSAE7sq0us7?si=ab546571eaa0423a"
1979;"International Convention Center";"France";"Anne-Marie David";"Je suis l'enfant soleil";11;3;3;;106;;"https://youtu.be/AtYql_qR0cg?si=KptmuaKK0TYlMHMC";"https://music.apple.com/gb/album/je-suis-lenfant-soleil/986431359?i=986431368";"https://open.spotify.com/track/0DmO7vmzpWybDWJ51mIPFZ?si=bc21a373af874771"
1979;"International Convention Center";"Belgium";"Micha Marah";"Hey Nana";12;19;19;;5;;"https://youtu.be/kHKjdkduPNI?si=TEFcN_2f9pb8qsTg";"https://music.apple.com/gb/album/hey-nana/1694200754?i=1694200966";"https://open.spotify.com/track/5QM7S1zXH2wj3YqPT2QTnF?si=cc44a8aa08be4a5e"
1979;"International Convention Center";"Luxembourg";"Jeane Manson";"J'ai déjà vu ça dans tes yeux";13;13;13;;44;;"https://youtu.be/mznCPsr9oCs?si=tB9apkV9kVYtwcin";;
