Austria,Blue Danube,"Du bist Musik"
Belgium,Telex,"Euro-Vision"
Denmark,Bamses Venner,"Tænker altid på dig"
Finland,Vesa-Matti Loiri,"Huilumies"
France,Profil,"Hé, hé m'sieurs dames"
Germany,Katja Ebstein,Theater
Greece,Anna Vissi and the Epikouri,"Autostop"
Ireland,Johnny Logan,"What's Another Year"
Italy,Alan Sorrenti,"Non so che darei"
Luxembourg,Sophie and Magaly,"Papa Pingouin"
Morocco,Samira Bensaïd,"Bitakat Hob"
Netherlands,Maggie MacNeal,Amsterdam
Norway,Sverre Kjelsberg and Mattis Hætta,"Sámiid ædnan"
Portugal,José Cid,"Um grande, grande amor"
Spain,Trigo Limpio,"Quédate esta noche"
Sweden,Tomas Ledin,"Just nu"
Switzerland,Paola,Cinéma
Turkey,Ajda Pekkan,"Pet'r Oil"
United Kingdom,Prima Donna,"Love Enough for Two"
