Austria,Marty Brem,"Wenn du da bist"
Belgium,Emly Starr,Samson
Cyprus,Island,Monika
Denmark,Tommy Seebach and Debbie Cameron,"Krøller eller ej"
Finland,Riki Sorsa,"Reggae O.K."
France,Jean Gabilou,Humanahum
Germany,Lena Valaitis,"Johnny Blue"
Greece,Yiannis Dimitras,"Feggari kalokerino"
Ireland,Sheeba,Horoscopes
Israel,Habibi,Halayla
Luxembourg,Jean-Claude Pascal,"C'est peut-être pas l'Amérique"
Netherlands,Linda Williams,"Het is een wonder"
Norway,Finn Kalvik,"Aldri i livet"
Portugal,Carlos Paião,Playback
Spain,Bacchelli,"Y sólo tú"
Sweden,Björn Skifs,"Fångad i en dröm"
Switzerland,"Peter, Sue and Marc","Io senza te"
Turkey,Modern Folk Trio and Ayşegül,"Dönme Dolap"
United Kingdom,Bucks Fizz,"Making Your Mind Up"
Yugoslavia,Seid Memić Vajta,Lejla
