Austria,Mess,"Sonntag"
Belgium,Stella,"Si tu aimes ma musique"
Cyprus,Anna Vissi,"Mono i agapi"
Denmark,Brixx,"Video-Video"
Finland,Kojo,"Nuku pommiin"
Germany,Nicole,"Ein bißchen Frieden"
Ireland,The Duskeys,"Here Today, Gone Tomorrow"
Israel,Avi Toledano,"Hora"
Luxembourg,Svetlana,"Cours après le temps"
Netherlands,Bill van Dijk,"Jij en ik"
Norway,Jahn Teigen and Anita Skorgan,"Adieu"
Portugal,Doce,"Bem bom"
Spain,Lucía,"Él"
Sweden,Chips,"Dag efter dag"
Switzerland,Arlette Zola,"Amour on t'aime"
Turkey,Neco,"Hani?"
United Kingdom,Bardo,"One Step Further"
Yugoslavia,Aska,"Halo, halo"
