Austria,Westend,"Hurricane"
Belgium,Pas de Deux,"Rendez-vous"
Cyprus,Stavros and Constantina,"I agapi akoma zi"
Denmark,Gry Johansen,"Kloden drejer"
Finland,Ami Aspelund,"Fantasiaa"
France,Guy Bonnet,"Vivre"
Germany,Hoffmann and Hoffmann,"Rücksicht"
Greece,Christie,"Mou les"
Israel,Ofra Haza,"Hi"
Italy,Riccardo Fogli,"Per Lucia"
Luxembourg,Corinne Hermès,"Si la vie est cadeau"
Netherlands,Bernadette,"Sing Me a Song"
Norway,Jahn Teigen,"Do Re Mi"
Portugal,Armando Gama,"Esta balada que te dou"
Spain,Remedios Amaya,"Quién maneja mi barca"
Sweden,Carola Häggkvist,"Främling"
Switzerland,Mariella Farré,"Io così non ci sto"
Turkey,Çetin Alp and the Short Wave,"Opera"
United Kingdom,Sweet Dreams,"I'm Never Giving Up"
Yugoslavia,Daniel,"Džuli"
