Austria,Anita,"Einfach weg"
Belgium,Jacques Zegers,"Avanti la vie"
Cyprus,Andy Paul,"Anna Mari-Elena"
Denmark,Hot Eyes,"Det' lige det"
Finland,Kirka,"Hengaillaan"
France,Annick Thoumazeau,"Autant d'amoureux que d'étoiles"
Germany,Mary Roos,"Aufrecht geh'n"
Ireland,Linda Martin,"Terminal 3"
Italy,Alice and Franco Battiato,"I treni di Tozeur"
Luxembourg,Sophie Carle,"100% d'amour"
Netherlands,Maribelle,"Ik hou van jou"
Norway,Dollie de Luxe,"Lenge leve livet"
Portugal,Maria Guinot,"Silêncio e tanta gente"
Spain,Bravo,"Lady, Lady"
Sweden,Herreys,"Diggi-Loo Diggi-Ley"
Switzerland,Rainy Day,"Welche Farbe hat der Sonnenschein"
Turkey,"Beş Yıl Önce, On Yıl Sonra","Halay"
United Kingdom,Belle and the Devotions,"Love Games"
Yugoslavia,Ida and Vlado,"Ciao, amore"
