Austria,Gary Lux,"Kinder dieser Welt"
Belgium,Linda Lepomme,"Laat me nu gaan"
Cyprus,Lia Vissi,"To katalava arga"
Denmark,Hot Eyes,"Sku' du spørg' fra no'en"
Finland,Sonja Lumme,"Eläköön elämä"
France,Roger Bens,"Femme dans ses rêves aussi"
Germany,Wind,"Für alle"
Greece,Takis Biniaris,"Miazoume"
Ireland,Maria Christian,"Wait Until the Weekend Comes"
Israel,Izhar Cohen,"Olé, Olé"
Italy,Al Bano and Romina Power,"Magic, Oh Magic"
Luxembourg,"Margo, Franck Olivier, Chris Roberts, Malcolm Roberts, Ireen Sheer and Diane Solomon","Children, Kinder, Enfants"
Norway,Bobbysocks!,"La det swinge"
Portugal,Adelaide,"Penso em ti, eu sei"
Spain,Paloma San Basilio,"La fiesta terminó"
Sweden,Kikki Danielsson,"Bra vibrationer"
Switzerland,Mariella Farré and Pino Gasparini,"Piano, piano"
Turkey,MFÖ,"Didai didai dai"
United Kingdom,Vikki,"Love Is"
