Austria,Timna Brauer,"Die Zeit ist einsam"
Belgium,Sandra Kim,"J'aime la vie"
Cyprus,Elpida,"Tora zo"
Denmark,Lise Haavik,"Du er fuld af løgn"
Finland,Kari,"Never the End"
France,Cocktail Chic,"Européennes"
Germany,Ingrid Peters,"Über die Brücke geh'n"
Iceland,ICY,"Gleðibankinn"
Ireland,Luv Bug,"You Can Count On Me"
Israel,Moti Giladi and Sarai Tzuriel,"Yavo Yom"
Luxembourg,Sherisse Laurence,"L'Amour de ma vie"
Netherlands,Frizzle Sizzle,"Alles heeft ritme"
Norway,Ketil Stokkan,"Romeo"
Portugal,Dora,"Não sejas mau p'ra mim"
Spain,Cadillac,"Valentino"
Sweden,Lasse Holm and Monica Törnell,"E' de' det här du kallar kärlek"
Switzerland,Daniela Simons,"Pas pour moi"
Turkey,Klips ve Onlar,"Halley"
United Kingdom,Ryder,"Runner in the Night"
Yugoslavia,Doris Dragović,"Željo moja"
