Austria,Gary Lux,"Nur noch Gefühl"
Belgium,Liliane Saint-Pierre,"Soldiers of Love"
Cyprus,Alexia,"Aspro mavro"
Denmark,Bandjo with Anne-Cathrine Herdorf,"En lille melodi"
Finland,Vicky Rosti,"Sata salamaa"
France,Christine Minier,"Les mots d'amour n'ont pas de dimanche"
Germany,Wind,"Laß die Sonne in dein Herz"
Greece,Bang,"Stop"
Iceland,Halla Margrét,"Hægt og hljótt"
Ireland,Johnny Logan,"Hold Me Now"
Israel,Datner and Kushnir,"Shir Habatlanim"
Italy,Umberto Tozzi and Raf,"Gente di mare"
Luxembourg,Plastic Bertrand,"Amour amour"
Netherlands,Marcha,"Rechtop in de wind"
Norway,Kate Gulbrandsen,"Mitt liv"
Portugal,Nevada,"Neste barco à vela"
Spain,Patricia Kraus,"No estás solo"
Sweden,Lotta Engberg,"Boogaloo"
Switzerland,Carol Rich,"Moitié moitié"
Turkey,Seyyal Taner and Grup Lokomotif,"Şarkım Sevgi Üstüne"
United Kingdom,Rikki,"Only the Light"
Yugoslavia,Novi fosili,"Ja sam za ples"
