Austria,Wilfried,"Lisa Mona Lisa"
Belgium,Reynaert,"Laissez briller le soleil"
Denmark,Hot Eyes,"Ka' du se hva' jeg sa'"
Finland,Boulevard,"Nauravat silmät muistetaan"
France,Gérard Lenorman,"Chanteur de charme"
Germany,Maxi and Chris Garden,"Lied für einen Freund"
Greece,Afroditi Fryda,"Clown"
Iceland,Beathoven,"Sókrates"
Ireland,Jump the Gun,"Take Him Home"
Israel,Yardena Arazi,"Ben Adam"
Italy,Luca Barbarossa,"Ti scrivo"
Luxembourg,Lara Fabian,"Croire"
Netherlands,Gerard Joling,"Shangri-La"
Norway,Karoline Krüger,"For vår jord"
Portugal,Dora,"Voltarei"
Spain,La Década,"La chica que yo quiero (Made in Spain)"
Sweden,Tommy Körberg,"Stad i ljus"
Switzerland,Céline Dion,"Ne partez pas sans moi"
Turkey,MFÖ,"Sufi (Hey Ya Hey)"
United Kingdom,Scott Fitzgerald,"Go"
Yugoslavia,Srebrna krila,"Mangup"
