Austria,Thomas Forstner,"Nur ein Lied"
Belgium,Ingeborg,"Door de wind"
Cyprus,Fanny Polymeri and Yiannis Savvidakis,"Apopse as vrethoume"
Denmark,Birthe Kjær,"Vi maler byen rød"
Finland,Anneli Saaristo,"La dolce vita"
France,Nathalie Pâque,"J'ai volé la vie"
Germany,Nino de Angelo,"Flieger"
Greece,Marianna,"To diko sou asteri"
Iceland,Daníel,"Það sem enginn sér"
Ireland,Kiev Connolly and the Missing Passengers,"The Real Me"
Israel,Gili and Galit,"Derekh Hamelekh"
Italy,Anna Oxa and Fausto Leali,"Avrei voluto"
Luxembourg,Park Café,"Monsieur"
Netherlands,Justine Pelmelay,"Blijf zoals je bent"
Norway,Britt Synnøve Johansen,"Venners nærhet"
Portugal,Da Vinci,"Conquistador"
Spain,Nina,"Nacida para amar"
Sweden,Tommy Nilsson,"En dag"
Switzerland,Furbaz,"Viver senza tei"
Turkey,Pan,"Bana Bana"
United Kingdom,Live Report,"Why Do I Always Get It Wrong"
Yugoslavia,Riva,"Rock Me"
