Austria,Simone,"Keine Mauern mehr"
Belgium,Philippe Lafontaine,"Macédomienne"
Cyprus,Anastasiou,"Milas poli (Μιλάς πολύ)"
Denmark,Lonnie Devantier,"Hallo Hallo"
Finland,Beat,"Fri?"
France,Joëlle Ursull,"White and Black Blues"
Germany,Chris Kempers and Daniel Kovac,"Frei zu leben"
Greece,Christos Callow,"Horis skopo (Χωρίς σκοπό)"
Iceland,Stjórnin,"Eitt lag enn"
Ireland,Liam Reilly,"Somewhere in Europe"
Israel,Rita,"Shara Barkhovot (שרה ברחובות)"
Italy,Toto Cutugno,"Insieme: 1992"
Luxembourg,Céline Carzo,"Quand je te rêve"
Netherlands,Maywood,"Ik wil alles met je delen"
Norway,Ketil Stokkan,"Brandenburger Tor"
Portugal,Nucha,"Há sempre alguém"
Spain,Azúcar Moreno,"Bandido"
Sweden,Edin-Ådahl,"Som en vind"
Switzerland,Egon Egemann,"Musik klingt in die Welt hinaus"
Turkey,Kayahan,"Gözlerinin Hapsindeyim"
United Kingdom,Emma,"Give a Little Love Back to the World"
Yugoslavia,Tajči,"Hajde da ludujemo (Хајде да лудујемо)"
