Austria,Thomas Forstner,"Venedig im Regen"
Belgium,Clouseau,"Geef het op"
Cyprus,Elena Patroklou,"S.O.S."
Denmark,Anders Frandsen,"Lige der hvor hjertet slår"
Finland,Kaija,"Hullu yö"
France,Amina,"C'est le dernier qui a parlé qui a raison"
Germany,Atlantis 2000,"Dieser Traum darf niemals sterben"
Greece,Sophia Vossou,"Anixi (Άνοιξη)"
Iceland,Stefán and Eyfi,"Nína"
Ireland,Kim Jackson,"Could It Be That I'm in Love"
Israel,Duo Datz,"Kan (כאן)"
Italy,Peppino di Capri,"Comme è ddoce 'o mare"
Luxembourg,Sarah Bray,"Un baiser volé"
Malta,Paul Giordimaina and Georgina,"Could It Be"
Norway,Just 4 Fun,"Mrs. Thompson"
Portugal,Dulce,"Lusitana paixão"
Spain,Sergio Dalma,"Bailar pegados"
Sweden,Carola,"Fångad av en stormvind"
Switzerland,Sandra Simó,"Canzone per te"
Turkey,"Can Uğurluer, İzel Çeliköz, Reyhan Karaca","İki Dakika"
United Kingdom,Samantha Janus,"A Message to Your Heart"
Yugoslavia,Baby Doll,"Brazil (Бразил)"
