Austria,Tony Wegas,"Zusammen geh'n"
Belgium,Morgane,"Nous on veut des violons"
Cyprus,Evridiki,"Teriazoume (Ταιριάζουμε)"
Denmark,Lotte Nilsson and Kenny Lübcke,"Alt det som ingen ser"
Finland,Pave,"Yamma Yamma"
France,Kali,"Monté la riviè"
Germany,Wind,"Träume sind für alle da"
Greece,Cleopatra,"Olou tou kosmou i elpida (Όλου του κόσμου η ελπίδα)"
Iceland,Heart 2 Heart,"Nei eða já"
Ireland,Linda Martin,"Why Me"
Israel,Dafna,"Ze Rak Sport (זה רק ספורט)"
Italy,Mia Martini,"Rapsodia"
Luxembourg,Marion Welter and Kontinent,"Sou fräi"
Malta,Mary Spiteri,"Little Child"
Netherlands,Humphrey Campbell,"Wijs me de weg"
Norway,Merethe Trøan,"Visjoner"
Portugal,Dina,"Amor d'água fresca"
Spain,Serafín,"Todo esto es la música"
Sweden,Christer Björkman,"I morgon är en annan dag"
Switzerland,Daisy Auvray,"Mister Music Man"
Turkey,Aylin Vatankoş,"Yaz Bitti"
United Kingdom,Michael Ball,"One Step Out of Time"
Yugoslavia,Extra Nena,"Ljubim te pesmama (Љубим те песмама)"
