Austria,Tony Wegas,"Maria Magdalena"
Belgium,Barbara,"Iemand als jij"
Bosnia and Herzegovina,Fazla,"Sva bol svijeta"
Croatia,Put,"Don't Ever Cry"
Cyprus,Zymboulakis and Van Beke,"Mi stamatas (Μη σταματάς)"
Denmark,Seebach Band,"Under stjernerne på himlen"
Finland,Katri Helena,"Tule luo"
France,Patrick Fiori,"Mama Corsica"
Germany,Münchener Freiheit,"Viel zu weit"
Greece,Katerina Garbi,"Ellada, hora tou fotos (Ελλάδα, χώρα του φωτός)"
Iceland,Inga,"Þá veistu svarið"
Ireland,Niamh Kavanagh,"In Your Eyes"
Israel,Lehakat Shiru,"Shiru (שירו)"
Italy,Enrico Ruggeri,"Sole d'Europa"
Luxembourg,Modern Times,"Donne-moi une chance"
Malta,William Mangion,"This Time"
Netherlands,Ruth Jacott,"Vrede"
Norway,Silje Vige,"Alle mine tankar"
Portugal,Anabela,"A cidade até ser dia"
Slovenia,1X Band,"Tih deževen dan"
Spain,Eva Santamaría,"Hombres"
Sweden,Arvingarna,"Eloise"
Switzerland,Annie Cotton,"Moi, tout simplement"
Turkey,"Burak Aydos, Öztürk Baybora and Serter","Esmer Yarim"
United Kingdom,Sonia,"Better the Devil You Know"
