Austria,Petra Frey,"Für den Frieden der Welt"
Bosnia and Herzegovina,Alma and Dejan,"Ostani kraj mene"
Croatia,Tony Cetinski,"Nek' ti bude ljubav sva"
Cyprus,Evridiki,"Ime anthropos ki ego (Είμαι άνθρωπος κι εγώ)"
Estonia,Silvi Vrait,"Nagu merelaine"
Finland,CatCat,"Bye Bye Baby"
France,Nina Morato,"Je suis un vrai garçon"
Germany,Mekado,"Wir geben 'ne Party"
Greece,Kostas Bigalis and the Sea Lovers,"To trehandiri (Diri Diri) (Το τρεχαντήρι (Ντίρι Ντίρι))"
Hungary,Friderika,"Kinek mondjam el vétkeimet?"
Iceland,Sigga,"Nætur"
Ireland,Paul Harrington and Charlie McGettigan,"Rock 'n' Roll Kids"
Lithuania,Ovidijus Vyšniauskas,"Lopšinė mylimai"
Malta,Moira Stafrace and Christopher Scicluna,"More than Love"
Netherlands,Willeke Alberti,"Waar is de zon"
Norway,Elisabeth Andreasson and Jan Werner Danielsen,"Duett"
Poland,Edyta Górniak,"To nie ja!"
Portugal,Sara,"Chamar a música"
Romania,Dan Bittman,"Dincolo de nori"
Russia,Youddiph,"Vechny strannik (Вечный странник)"
Slovakia,Martin Ďurinda and Tublatanka,"Nekonečná pieseň"
Spain,Alejandro Abad,"Ella no es ella"
Sweden,Marie Bergman and Roger Pontare,"Stjärnorna"
Switzerland,Duilio,"Sto pregando"
United Kingdom,Frances Ruffelle,"We Will Be Free (Lonely Symphony)"
