Albania,Lindita,World
Armenia,Artsvik,Fly with Me
Australia,Isaiah,Don't Come Easy
Austria,Nathan Trent,Running on Air
Azerbaijan,Dihaj,Skeletons
Belarus,Naviband,Story of My Life
Belgium,Blanche,City Lights
Bulgaria,Kristian Kostov,Beautiful Mess
Croatia,Jacques Houdek,My Friend
Cyprus,Hovig,Gravity
Czech Republic,Martina Bárta,My Turn
Denmark,Anja,Where I Am
Estonia,Koit Toome and Laura,Verona
Finland,Norma John,Blackbird
France,Alma,Requiem
Georgia,Tamara Gachechiladze,Keep the Faith
Germany,Levina,Perfect Life
Greece,Demy,This Is Love
Hungary,Joci Pápai,Origo
Iceland,Svala,Paper
Ireland,Brendan Murray,Dying to Try
Israel,Imri,I Feel Alive
Italy,Francesco Gabbani,Occidentali's Karma
Latvia,Triana Park,Line
Lithuania,Fusedmarc,Rain of Revolution
Macedonia,Jana Burčeska,Dance Alone
Malta,Claudia Faniello,Breathlessly
Moldova,SunStroke Project,Hey Mamma
Montenegro,Slavko Kalezić,Space
Netherlands,OG3NE,Lights and Shadows
Norway,Jowst,Grab the Moment
Poland,Kasia Moś,Flashlight
Portugal,Salvador Sobral,Amar pelos dois
Romania,Ilinca feat. Alex Florea,Yodel It!
San Marino,Valentina Monetta and Jimmie Wilson,Spirit of the Night
Serbia,Tijana Bogićević,In Too Deep
Slovenia,Omar Naber,On My Way
Spain,Manel Navarro,Do It for Your Lover
Sweden,Robin Bengtsson,I Can't Go On
Switzerland,Timebelle,Apollo
Ukraine,O.Torvald,Time
United Kingdom,Lucie Jones,Never Give Up on You
