Albania,Anxhela Peristeri,"Karma"
Australia,Montaigne,"Technicolour"
Austria,Vincent Bueno,"Amen"
Azerbaijan,Efendi,"Mata Hari"
Belgium,Hooverphonic,"The Wrong Place"
Bulgaria,Victoria,"Growing Up Is Getting Old"
Croatia,Albina,"Tick-Tock"
Cyprus,Elena Tsagrinou,"El Diablo"
Czech Republic,Benny Cristo,"Omaga"
Denmark,Fyr og Flamme,"Øve os på hinanden"
Estonia,Uku Suviste,"The Lucky One"
Finland,Blind Channel,"Dark Side"
France,Barbara Pravi,"Voilà"
Georgia,Tornike Kipiani,"You"
Germany,Jendrik,"I Don't Feel Hate"
Greece,Stefania,"Last Dance"
Iceland,Daði og Gagnamagnið,"10 Years"
Ireland,Lesley Roy,"Maps"
Israel,Eden Alene,"Set Me Free"
Italy,Måneskin,"Zitti e buoni"
Latvia,Samanta Tīna,"The Moon Is Rising"
Lithuania,The Roop,"Discoteque"
Malta,Destiny,"Je me casse"
Moldova,Natalia Gordienko,"Sugar"
Netherlands,Jeangu Macrooy,"Birth of a New Age"
North Macedonia,Vasil,"Here I Stand"
Norway,Tix,"Fallen Angel"
Poland,Rafał,"The Ride"
Portugal,The Black Mamba,"Love Is on My Side"
Romania,Roxen,"Amnesia"
Russia,Manizha,"Russian Woman"
San Marino,Senhit,"Adrenalina"
Serbia,Hurricane,"Loco loco"
Slovenia,Ana Soklič,"Amen"
Spain,Blas Cantó,"Voy a quedarme"
Sweden,Tusse,"Voices"
Switzerland,Gjon's Tears,"Tout l'univers"
Ukraine,Go_A,"Shum" (Шум)
United Kingdom,James Newman,"Embers"
