Albania,Albina and Familja Kelmendi,"Duje"
Armenia,Brunette,"Future Lover"
Australia,Voyager,"Promise"
Austria,Teya and Salena,"Who the Hell Is Edgar?"
Azerbaijan,TuralTuranX,"Tell Me More"
Belgium,Gustaph,"Because of You"
Croatia,Let 3,"Mama ŠČ!"
Cyprus,Andrew Lambrou,"Break a Broken Heart"
Czechia,Vesna,"My Sister's Crown"
Denmark,Reiley,"Breaking My Heart"
Estonia,Alika,"Bridges"
Finland,Käärijä,"Cha Cha Cha"
France,La Zarra,"Évidemment"
Georgia,Iru,"Echo"
Germany,Lord of the Lost,"Blood & Glitter"
Greece,Victor Vernicos,"What They Say"
Iceland,Diljá,"Power"
Ireland,Wild Youth,"We Are One"
Israel,Noa Kirel,"Unicorn"
Italy,Marco Mengoni,"Due vite"
Latvia,Sudden Lights,"Aijā"
Lithuania,Monika Linkytė,"Stay"
Malta,The Busker,"Dance (Our Own Party)"
Moldova,Pasha Parfeni,"Soarele și luna"
Netherlands,Mia Nicolai and Dion Cooper,"Burning Daylight"
Norway,Alessandra,"Queen of Kings"
Poland,Blanka,"Solo"
Portugal,Mimicat,"Ai coração"
Romania,Theodor Andrei,"D.G.T. (Off and On)"
San Marino,Piqued Jacks,"Like an Animal"
Serbia,Luke Black,"Samo mi se spava" (Само ми се спава)
Slovenia,Joker Out,"Carpe Diem"
Spain,Blanca Paloma,"Eaea"
Sweden,Loreen,"Tattoo"
Switzerland,Remo Forrer,"Watergun"
Ukraine,Tvorchi,"Heart of Steel"
United Kingdom,Mae Muller,"I Wrote a Song"
