Albania,Besa,"Titan"
Armenia,TBC,TBC
Australia,"Electric Fields","One Milkali (One Blood)"
Austria,Kaleen,"We Will Rave"
Azerbaijan,Fahree,TBC
Belgium,Mustii,"Before the Party's Over"
Croatia,Baby Lasagna,"Rim Tim Tagi Dim"
Cyprus,Silia Kapsis,Liar
Czechia,Aiko,Pedestal
Denmark,Saba,Sand
Estonia,5miinust and Puuluup,"(Nendest) narkootikumidest ei tea me (küll) midagi"
Finland,Windows95man,"No Rules!"
France,Slimane,"Mon amour"
Georgia,Nutsa Buzaladze,TBC
Germany,Isaak,"Always on the Run"
Greece,Marina Satti,Zari (Ζάρι)
Iceland,TBC,TBC
Ireland,Bambie Thug,"Doomsday Blue"
Israel,Eden Golan,TBC
Italy,Angelina Mango,La noia
Latvia,Dons,Hollow
Lithuania,Silvester Belt,Luktelk
Luxembourg,Tali,Fighter
Malta,Sarah Bonnici,Loop
Moldova,Natalia Barbu,"In the Middle"
Netherlands,Joost Klein,Europapa
Norway,Gåte,Ulveham
Poland,Luna,The Tower
Portugal,TBC,TBC
San Marino,Megara,"11:11"
Serbia,Teya Dora,"Ramonda (Рамонда)"
Slovenia,Raiven,Veronika
Spain,Nebulossa,Zorra
Sweden,TBC,TBC
Switzerland,Nemo,"The Code"
Ukraine,Alyona Alyona and Jerry Heil,"Teresa & Maria"
United Kingdom,Olly Alexander,Dizzy
