"id";"name"
1;"Fud Leclerc"
2;"Mony Marc"
3;"Mathé Altéry"
4;"Dany Dauberson"
5;"Freddy Quinn"
6;"Walter Andreas Schwarz"
7;"Franca Raimondi"
8;"Tonina Torrielli"
9;"Michèle Arnaud"
10;"Corry Brokken"
11;"Jetty Paerl"
12;"Lys Assia"
13;"Bob Martin"
14;"Bobbejaan Schoepen"
15;"Birthe Wilke and Gustav Winckler"
16;"Paule Desjardins"
17;"Margot Hielscher"
18;"Nunzio Gallo"
19;"Danièle Dupré"
20;"Patricia Bredin"
21;"Liane Augustin"
22;"Raquel Rastenni"
23;"André Claveau"
24;"Domenico Modugno"
25;"Solange Berry"
26;"Alice Babs"
27;"Ferry Graf"
28;"Bob Benny"
29;"Birthe Wilke"
30;"Jean Philippe"
31;"Alice and Ellen Kessler"
32;"Jacques Pills"
33;"Teddy Scholten"
34;"Brita Borg"
35;"Christa Williams"
36;"Pearl Carr and Teddy Johnson"
37;"Harry Winter"
38;"Katy Bødtger"
39;"Jacqueline Boyer"
40;"Wyn Hoop"
41;"Renato Rascel"
42;"Camillo Felgen"
43;"François Deguelt"
44;"Rudi Carrell"
45;"Nora Brockstedt"
46;"Siw Malmkvist"
47;"Anita Traversi"
48;"Bryan Johnson"
49;"Jimmy Makulis"
50;"Dario Campeotto"
51;"Laila Kinnunen"
52;"Jean-Paul Mauric"
53;"Lale Andersen"
54;"Betty Curtis"
55;"Jean-Claude Pascal"
56;"Colette Deréal"
57;"Greetje Kauffeld"
58;"Conchita Bautista"
59;"Lill-Babs"
60;"Franca di Rienzo"
61;"The Allisons"
62;"Ljiljana Petrović"
63;"Eleonore Schwarz"
64;"Ellen Winther"
65;"Marion Rung"
66;"Isabelle Aubret"
67;"Conny Froboess"
68;"Claudio Villa"
69;"De Spelbrekers"
70;"Inger Jacobsen"
71;"Víctor Balaguer"
72;"Inger Berggren"
73;"Ronnie Carroll"
74;"Lola Novaković"
75;"Carmela Corren"
76;"Jacques Raymond"
77;"Grethe and Jørgen Ingmann"
78;"Laila Halme"
79;"Alain Barrière"
80;"Heidi Brühl"
81;"Emilio Pericoli"
82;"Nana Mouskouri"
83;"Françoise Hardy"
84;"Annie Palmen"
85;"Anita Thallaug"
86;"José Guardiola"
87;"Monica Zetterlund"
88;"Esther Ofarim"
89;"Vice Vukov"
90;"Udo Jürgens"
