"id";"name"
1;"Messieurs les noyés de la Seine"
2;"Le Plus Beau Jour de ma vie"
3;"Le Temps perdu"
4;"Il est là"
5;"So geht das jede Nacht"
6;"Im Wartesaal zum großen Glück"
7;"Aprite le finestre"
8;"Amami se vuoi"
9;"Les Amants de minuit"
10;"Ne Crois Pas"
11;"Voorgoed voorbij"
12;"De vogels van Holland"
13;"Das alte Karussell"
14;"Refrain"
15;"Wohin, kleines Pony?"
16;"Straatdeuntje"
17;"Skibet skal sejle i nat"
18;"La Belle amour"
19;"Telefon, Telefon"
20;"Corde della mia chitarra"
21;"Tant de peine"
22;"Net als toen"
23;"L'Enfant que j'étais"
24;"All"
25;"Die ganze Welt braucht Liebe"
26;"Ma petite chatte"
27;"Jeg rev et blad ud af min dagbog"
28;"Dors mon amour"
29;"Für zwei Groschen Musik"
30;"Nel blu, dipinto di blu"
31;"Un grand amour"
32;"Heel de wereld"
33;"Lilla stjärna"
34;"Giorgio"
35;"Der K. und K. Kalypso aus Wien"
36;"Hou toch van mij"
37;"Uh, jeg ville ønske, jeg var dig"
38;"Oui oui oui oui"
39;"Heut' woll'n wir tanzen geh'n"
40;"Piove"
41;"Mon ami Pierrot"
42;"Een beetje"
43;"Augustin"
44;"Irgendwoher"
45;"Sing Little Birdie"
46;"Du hast mich so fasziniert"
47;"Mon amour pour toi"
48;"Det var en yndig tid"
49;"Tom Pillibi"
50;"Bonne nuit ma chérie"
51;"Romantica"
52;"So laang we's du do bast"
53;"Ce soir-là"
54;"Wat een geluk"
55;"Voi-voi"
56;"Alla andra får varann"
57;"Cielo e terra"
58;"Looking High, High, High"
59;"Sehnsucht"
60;"September, gouden roos"
61;"Angelique"
62;"Valoa ikkunassa"
63;"Printemps (avril carillonne)"
64;"Einmal sehen wir uns wieder"
65;"Al di là"
66;"Nous les amoureux"
67;"Allons, allons les enfants"
68;"Wat een dag"
69;"Sommer i Palma"
70;"Estando contigo"
71;"April, april"
72;"Nous aurons demain"
73;"Are You Sure?"
74;"Neke davne zvezde"
75;"Nur in der Wiener Luft"
76;"Ton nom"
77;"Vuggevise"
78;"Tipi-tii"
79;"Un premier amour"
80;"Zwei kleine Italiener"
81;"Addio, addio"
82;"Petit bonhomme"
83;"Dis rien"
84;"Katinka"
85;"Kom sol, kom regn"
86;"Llámame"
87;"Sol och vår"
88;"Le Retour"
89;"Ring-A-Ding Girl"
90;"Ne pali svetla u sumrak"
91;"Vielleicht geschieht ein Wunder"
92;"Waarom?"
93;"Dansevise"
