"year";"venue";"countryname";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
2004;"Abdi İpekçi Arena";"Albania";"Anjeza Shahini";"The Image of You";9;7;;7;;106;"https://youtu.be/NrVrCJFCejs?si=MlpsI-XxxumakHyr";"https://music.apple.com/gb/album/the-image-of-you/1605424129?i=1605424130";"https://open.spotify.com/track/3Gx8GvoiDyu9U6XYOOkRae?si=61dc763643734998"
2005;"Palace of Sports";"Albania";"Ledina Çelo";"Tomorrow I Go";8;16;23;15;0;53;"https://youtu.be/0W-vu5G5PEE?si=y5Xgs83XuLXj594J";;
2006;"Olympic Indoor Hall";"Albania";"Luiz Ejlli";"Zjarr e ftohtë";;;;;;;"https://youtu.be/z_r4IzbwDY4?si=6f_Dgxne9E8MYFpY";"https://music.apple.com/gb/album/zjarr-e-ftoht%C3%AB-dj-benito-remix/1717423025?i=1717423249";"https://open.spotify.com/track/3U9k64BGfAcCYjXaFeyJRy?si=9e69329c1aaf42c1"
2007;"Hartwall Arena";"Albania";"Frederik Ndoci";"Hear My Plea";;;;;;;"https://youtu.be/rP2OECgTA5k?si=-KfKAm97SpEk6OGX";;
2008;"Belgrade Arena";"Albania";"Olta Boka";"Zemrën e lamë peng";3;17;8;17;3;52;"https://youtu.be/CmvA5kfNsig?si=3gfwuySKQvSBM033";;
2009;"Olimpiysky Arena";"Albania";"Kejsi Tola";"Carry Me in Your Dreams";19;18;23;11;26;81;"https://youtu.be/w6Ori4A4ATo?si=-Bno_sHDuQ3qf9IL";"https://music.apple.com/gb/album/carry-me-in-your-dreams/1499509401?i=1499509408";"https://open.spotify.com/track/2RXAceow4zcK8jRSIdfbeH?si=09626f23f9824a4a"
2010;"Telenor Arena";"Albania";"Juliana Pasha";"It's All About You";15;16;12;17;97;35;"https://youtu.be/idE_32NUJbo?si=0pRV0Da854SDtRPf";;
2011;"Düsseldorf Arena";"Albania";"Aurela Gaçe";"Feel the Passion";;;;;;;"https://youtu.be/Zh73e97BW_8?si=3oRlIA7YeZGsZLBI";"https://music.apple.com/gb/album/feel-the-passion/1686917103?i=1686917218";"https://open.spotify.com/track/3Ni3A986Ryc8HIveffej5T?si=834348434aa642f7"
2012;"Baku Crystal Hall";"Albania";"Rona Nishliu";"Suus";3;5;3;8;157;106;"https://youtu.be/QeBL2UHhyEc?si=lp3GGsErySr527fl";;
2013;"Malmö Isstadion";"Albania";"Adrian Lulgjuraj and Bledar Sejko";"Identitet";;;;;;;"https://youtu.be/3u5Se-vJ6MA?si=fAMIFI49wqJoZcHw";;
2014;"B&W Hallerne";"Albania";"Hersi";"One Night's Anger";;;;;;;"https://youtu.be/Ahu_K_Jh2vc?si=QDARejbjah112L9N";;
2015;"Wiener Stadthalle";"Albania";"Elhaida Dani";"I'm Alive";26;11;20;9;26;93;"https://youtu.be/fsH9iVaZSaA?si=doEjVnrUzz6R9b4-";;
2016;"Globe Arena";"Albania";"Eneda Tarifa";"Fairytale";;;;;;;"https://youtu.be/jdT5EGcTjYw?si=NCXhotKVxpn8SSse";"https://music.apple.com/gb/album/fairytale-remix/1636369996?i=1636369998";"https://open.spotify.com/track/2nJUvOAaNeoPSLxc7GPOHJ?si=440b8cad2b664a61"
2017;"International Exhibition Centre";"Albania";"Lindita";"World";;;;;;;"https://youtu.be/NyKOBMAXFFA?si=lVz3U22qRJddUCcP";"https://music.apple.com/gb/album/world/1445046050?i=1445046057";"https://open.spotify.com/track/4cxdvy2QfC7Yzh5m8zwX3i?si=8634f91bbfe54842"
2018;"Lisbon Arena";"Albania";"Eugent Bushpepa";"Mall";12;11;7;18;126;58;"https://youtu.be/uyl1b1fVmdU?si=WChxIs4s9AzqIzzI";"https://music.apple.com/gb/album/mall/1368358788?i=1368358796";"https://open.spotify.com/track/6vGLWavGUuAs9vpZyprUl0?si=3be7f07515cc4816"
2019;"Expo Tel Aviv";"Albania";"Jonida Maliqi";"Ktheju tokës";2;17;17;17;43;47;"https://youtu.be/-vZDCw9Pedw?si=iL5gKIsP0pwxlhez";;
2020;"Rotterdam Ahoy";"Albania";"Arilena Ara";"Fall from the Sky";;;;;;;"https://youtu.be/vXpCWFIY6YE?si=3m5OGPNtgvewNzs7";"https://music.apple.com/gb/album/fall-from-the-sky/1503220186?i=1503220187";"https://open.spotify.com/track/0Y6JVcxzdXaNwHROjoyuww?si=6cc7d8ed39f24871"
2021;"Rotterdam Ahoy";"Albania";"Anxhela Peristeri";"Karma";2;21;20;16;22;35;"https://youtu.be/OxniMKVXjqM?si=HorFy0VDKrrZDHi-";;
2022;"PalaOlimpico";"Albania";"Ronela Hajati";"Sekret";;;;;;;"https://youtu.be/_jWXmo0-ZjI?si=Of5GyMUO4uK7O1Js";"https://music.apple.com/gb/album/sekret/1612965826?i=1612965827";"https://open.spotify.com/track/0zC65JcBBk4GYAjL2tHKXa?si=4dba3d7a94814d99"
2023;"Liverpool Arena";"Albania";"Albina and Familja Kelmendi";"Duje";10;22;21;10;17;59;"https://youtu.be/TI9rSDhXwyc?si=rp0hvpeD-C8ZvR14";"https://music.apple.com/gb/album/duje/1676672382?i=1676672510";"https://open.spotify.com/track/2odhCHmCk14Plv4CFbEjRJ?si=bf4e2b6cb18c4cfc"
2024;"Malmö Isstadion";"Albania";"Besa";"Titan";;;;;;;"https://youtu.be/nrjFhjpm7D8?si=pghiM19GuKahZloX";"https://music.apple.com/gb/album/titan/1735496999?i=1735497007";"https://open.spotify.com/track/669R9eowHoeQkrbnkUalI8?si=626e65a7055e4739"
