"TableName";"id";"country";"artist";"song";"countryId";"runningOrder";"placed";"placedJury";"placedTelevote";"placedDiff";"totalPoints";"pointsJury";"pointsTelevote";"pointsDiff";"youtubeLink";"appleMusicLink";"spotifyLink"
"1956";1;"Belgium";"Fud Leclerc";"Messieurs les noyés de la Seine";1;3;;;;;;;;;"https://www.youtube.com/watch?v=qFgBJwyKSGg";;
"1956";2;"Belgium";"Mony Marc";"Le Plus Beau Jour de ma vie";1;10;;;;;;;;;"https://www.youtube.com/watch?v=9ICOEka_Jqg";;
"1956";3;"France";"Mathé Altéry";"Le Temps perdu";2;5;;;;;;;;;"https://www.youtube.com/watch?v=x1e8gPquGVY";;
"1956";4;"France";"Dany Dauberson";"Il est là";2;12;;;;;;;;;"https://www.youtube.com/watch?v=9PG4gAPxs18";;
"1956";5;"Germany";"Freddy Quinn";"So geht das jede Nacht";3;11;;;;;;;;;"https://www.youtube.com/watch?v=eZIdJT1POUA";"https://music.apple.com/gb/album/so-geht-das-jede-nacht/619820489?i=619820492";"https://open.spotify.com/track/3m57DgqNNc2MRfKr38hWPb?si=77a2101b40aa45c2"
"1956";6;"Germany";"Walter Andreas Schwarz";"Im Wartesaal zum großen Glück";3;4;;;;;;;;;"https://www.youtube.com/watch?v=EfZ6_7iNBqs";"https://music.apple.com/gb/album/im-wartesaal-zum-gro%C3%9Fen-gl%C3%BCck/253394176?i=253394181";"https://open.spotify.com/track/6GEjmkRXCf0WCWptS9sRGb?si=2f141e846ddb4ddf"
"1956";7;"Italy";"Franca Raimondi";"Aprite le finestre";4;7;;;;;;;;;"https://www.youtube.com/watch?v=OuVmJmW-8wo";"https://music.apple.com/gb/album/aprite-le-finestre/905902582?i=905903069";"https://open.spotify.com/track/4gx3iL7YGpjSMwDTKfAl2S?si=2333b381d7e746b3"
"1956";8;"Italy";"Tonina Torrielli";"Amami se vuoi";4;14;;;;;;;;;"https://www.youtube.com/watch?v=NXcu6HnrYI4";"https://music.apple.com/gb/album/amami-se-vuoi/781403447?i=781403513";"https://open.spotify.com/track/7D8BhXGygskNNyaeISLmdh?si=f3513ec5049f4784"
"1956";9;"Luxembourg";"Michèle Arnaud";"Les Amants de minuit";5;13;;;;;;;;;"https://www.youtube.com/watch?v=n8esgCRxMzs";"https://music.apple.com/gb/album/les-amants-de-minuit/921750628?i=921750767";"https://open.spotify.com/track/4Htfcujp7KxcgEnJeRrAbT?si=b237cf57a1aa4d4b"
"1956";10;"Luxembourg";"Michèle Arnaud";"Ne Crois Pas";5;6;;;;;;;;;"https://www.youtube.com/watch?v=S62mHHz2ajc";"https://music.apple.com/gb/album/ne-crois-pas/697182162?i=697182892";"https://open.spotify.com/track/6FvurqfNB7a0gETC77KPRO?si=0241d4bbb07440b6"
