"year";"venue_name";"country_name";"artist_name";"song_name";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
2006;"Olympic Indoor Hall";"Armenia";"André";"Without Your Love";24;8;19;8;0;129;"https://youtu.be/FbsnjmFk-1s?si=heh4QNIqfemYsKBh";;
2007;"Hartwall Arena";"Armenia";"Hayko";"Anytime You Need";23;8;19;7;0;138;"https://youtu.be/BgkFJD6F7wA?si=Bwc4FqezG5-HqZFi";"https://music.apple.com/gb/album/anytime-you-need/1320816742?i=1320817037";"https://open.spotify.com/track/6COUoYEPyrdfwSSsAZXoYt?si=d51c02acc2374a42"
2008;"Belgrade Arena";"Armenia";"Sirusho";"Qélé, Qélé";5;4;3;4;8;191;"https://youtu.be/bridO-wD7c8?si=dOzcWAuNs8egjYtb";"https://music.apple.com/gb/album/qele-qele-remix/374147786?i=374147819";"https://open.spotify.com/track/3f89Rw7YxjXf9pdCXZCCk1?si=56dfa368b62742bb"
2009;"Olimpiysky Arena";"Armenia";"Inga and Anush";"Jan Jan";9;11;15;9;71;111;"https://youtu.be/YhfqLTT8mpo?si=MztB1Z106uv8aqwe";"https://music.apple.com/gb/album/jan-jan/1613216648?i=1613216991";"https://open.spotify.com/track/0jVxMrJ48JrTcf4RdYy9h1?si=296d6185b75b48e1"
2010;"Telenor Arena";"Armenia";"Eva Rivas";"Apricot Stone";21;7;9;5;116;161;"https://youtu.be/A60atIirQAw?si=XidUTBjxpjG5LK3C";"https://music.apple.com/gb/album/apricot-stone/1701342277?i=1701342278";"https://open.spotify.com/track/2l3HUAMFX1c71GQJo71lT1?si=bcc43289a76a4c52"
2011;"Düsseldorf Arena";"Armenia";"Emmy";"Boom Boom";;;;;;;"https://youtu.be/mufVrqTJGb0?si=ZqWO4wGj_C89T1l5";"https://music.apple.com/gb/album/boom-boom/1599122671?i=1599122672";"https://open.spotify.com/track/7e0oVPiXa7GBOUkKpPlKXS?si=10ce3ae09a924af2"
2013;"Malmö Isstadion";"Armenia";"Dorians";"Lonely Planet";12;;19;15;;;"https://youtu.be/UGOSZ7Uufno?si=tgW0UVm0Rfy8Va4E";;
2014;"B&W Hallerne";"Armenia";"Aram Mp3";"Not Alone";7;4;5;3;125;193;"https://youtu.be/oj0oOV-2fRQ?si=4xIJDYZYzO2-9dnT";"https://music.apple.com/gb/album/not-alone/1445316769?i=1445316773";"https://open.spotify.com/track/1LMUArwQoJRXXkppeGV10D?si=3cea2dc9520d491e"
2015;"Wiener Stadthalle";"Armenia";"Genealogy";"Face the Shadow";6;14;24;11;18;77;"https://youtu.be/Z6O8pr7HH94?si=C9OWLMX8akzDrSjo";;
2016;"Globe Arena";"Armenia";"Iveta Mukuchyan";"LoveWave";26;7;10;7;115;134;"https://youtu.be/nL066Rp7J7k?si=_poGEdzIggh8swLc";"https://music.apple.com/gb/album/lovewave-eurovision-2016-armenia/1444330392?i=1444330396";"https://open.spotify.com/track/6F3waFskKCqXmiR5gaquey?si=bdefa528b6b0416f"
2017;"International Exhibition Centre";"Armenia";"Artsvik";"Fly with Me";5;18;14;18;58;21;"https://youtu.be/g373Libigw8?si=ZDQPNKQKAU8M9n54";"https://music.apple.com/gb/album/fly-with-me/1444847950?i=1444848192";"https://open.spotify.com/track/1PbsliSdEPxPRqtsrKFzOR?si=3476547db51348d1"
2018;"Lisbon Arena";"Armenia";"Sevak Khanagyan";"Qami";;;;;;;"https://youtu.be/CYlWiHjUK0c?si=nGVrmdenn9anS8rp";"https://music.apple.com/gb/album/qami/1364165489?i=1364165669";"https://open.spotify.com/track/2zO4FXoBn1hseWJmjzGpcM?si=1286c50cbeb84540"
2019;"Expo Tel Aviv";"Armenia";"Srbuk";"Walking Out";;;;;;;"https://youtu.be/avBwSUYlTtI?si=W0Rq-JZFnC3dJj4z";"https://music.apple.com/gb/album/walking-out/1456627742?i=1456627743";"https://open.spotify.com/track/5ilWyRLCjLzlWwjSwPasgl?si=bbb299f73d0a4463"
2020;"Rotterdam Ahoy";"Armenia";"Athena Manoukian";"Chains on You";;;;;;;"https://youtu.be/XpQHGMM8c5U?si=7t-ZO-YT-z2ELMGl";"https://music.apple.com/gb/album/chains-on-you/1497877746?i=1497877747";"https://open.spotify.com/track/25TXiqSP8luMwjvKU00EO3?si=b166644af71c475a"
2022;"PalaOlimpico";"Armenia";"Rosa Linn";"Snap";8;20;16;17;40;21;"https://youtu.be/DAJ6vfmD_ic?si=naYkOEo0_Ua6uS_F";"https://music.apple.com/gb/album/snap/1646526226?i=1646526227";"https://open.spotify.com/track/0QPRDC97rIQB3Jh3hrVJoH?si=1285dc48e80546d3"
2023;"Liverpool Arena";"Armenia";"Brunette";"Future Lover";17;14;12;13;69;53;"https://youtu.be/h0q7AkYk2hY?si=PBn0enWTVPkdI2hX";"https://music.apple.com/gb/album/future-lover/1678120573?i=1678121176";"https://open.spotify.com/track/3MKTciJfDAJjO0SjFZQsVx?si=15830d52ed714f46"
2024;"Malmö Isstadion";"Armenia";"Ladaniva";"Jako";19;8;9;9;101;82;"https://youtu.be/_6xfmW0Fc40?si=sLHG6t_G3Olzk9vy";"https://music.apple.com/gb/album/jako/1694486274?i=1694486616";"https://open.spotify.com/track/2MiEtw8UquKvxOwu47oTMu?si=78092642cd084ee6"
