"year";"venue_name";"country_name";"artist_name";"song_name";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
2015;"Wiener Stadthalle";"Australia";"Guy Sebastian";"Tonight Again";12;5;4;6;224;132;"https://youtu.be/H0EhhZWXTng?si=hYXRkQY9ngyePrML";"https://music.apple.com/gb/album/tonight-again-short-edit/983489940?i=983490066";"https://open.spotify.com/track/0yaAFfayze82aoCTY2cxd7?si=15a599736eca494f"
2016;"Globe Arena";"Australia";"Dami Im";"Sound of Silence";13;2;1;4;320;191;"https://youtu.be/5ymFX91HwM0?si=U3sNlXq_x8eoF8gt";"https://music.apple.com/gb/album/sound-of-silence/1091053294?i=1091053295";"https://open.spotify.com/track/2b9czDPSLTI88694CIqCy3?si=ccad80da11b74723"
2017;"International Exhibition Centre";"Australia";"Isaiah";"Don't Come Easy";14;9;4;25;171;2;"https://youtu.be/YTCP4S1dqwA?si=gzqiWRdAB_vMr-fc";"https://music.apple.com/gb/album/dont-come-easy/1211639241?i=1211639811";"https://open.spotify.com/track/2xI4CmkT6Bl4s5b4qggcgU?si=7573c308f7184ea4"
2018;"Lisbon Arena";"Australia";"Jessica Mauboy";"We Got Love";16;20;11;26;90;9;"https://youtu.be/2BBLTY6T2Ck?si=UP6FXmeYM9O-0TIT";"https://music.apple.com/gb/album/we-got-love/1355539448?i=1355539449";"https://open.spotify.com/track/7kqujRWNEBhrpYt0eV0uw5?si=7e5e7a63ce7a457a"
2019;"Expo Tel Aviv";"Australia";"Kate Miller-Heidke";"Zero Gravity";25;9;6;7;153;131;"https://youtu.be/Eo5H62mCIsg?si=eY-wxjXUEvH1yOZh";"https://music.apple.com/gb/album/zero-gravity/1449808134?i=1449808135";"https://open.spotify.com/track/4m5FlWpaOri9OrDUj1EoTg?si=9d86eb0107da44c9"
2020;"Rotterdam Ahoy";"Australia";"Montaigne";"Don't Break Me";;;;;;;"https://youtu.be/gr-wWxu4974?si=KmrJVbGgjPGjhudv";"https://music.apple.com/gb/album/dont-break-me/1495647631?i=1495647633";"https://open.spotify.com/track/6m5AwSncp7jlXRYhs4cwOT?si=b9e5a0b6fb444929"
2021;"Rotterdam Ahoy";"Australia";"Montaigne";"Technicolour";;;;;;;"https://youtu.be/CoUTzNXQud0?si=VXCmGyxgCOYqp2by";"https://music.apple.com/gb/album/technicolour/1554859963?i=1554859964";"https://open.spotify.com/track/7ElfaDjFKXAlfscXU4rRXK?si=6c270067279940e9"
2022;"PalaOlimpico";"Australia";"Sheldon Riley";"Not the Same";21;15;9;24;123;2;"https://youtu.be/wosfFz2FJPU?si=Ycjmvqujk1qHN7nX";"https://music.apple.com/gb/album/not-the-same/1605516825?i=1605516826";"https://open.spotify.com/track/27ThQIsofXro6xEz3SzQWi?si=4675e1ebd9b84254"
2023;"Liverpool Arena";"Australia";"Voyager";"Promise";15;9;6;20;130;21;"https://youtu.be/GSoy_mJMlMY?si=dDvaZUPUNaLff8EA";"https://music.apple.com/gb/album/promise/1670928760?i=1670928764";"https://open.spotify.com/track/0LeK6Ol47og0WdGwKegNUL?si=b4120264fcb346e8"
2024;"Malmö Isstadion";"Australia";"Electric Fields";"One Milkali (One Blood)";;;;;;;"https://youtu.be/tJ2IaHxCvdw?si=VZ-5sVyUSuREweUd";"https://music.apple.com/gb/album/one-milkali-one-blood/1731793113?i=1731793115";"https://open.spotify.com/track/74mWVYv6xPilcalOxrQa5Y?si=dcbc80d2716b41a5"
