"year";"venue_name";"country_name";"artist_name";"song_name";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
1957;"Großer Sendesaal des Hessischen Rundfunks";"Austria";"Bob Martin";"Wohin, kleines Pony?";5;10;10;;3;;"https://www.youtube.com/watch?v=tegONpmFvGY";;"https://open.spotify.com/track/0mLmt6DBB2QITlKPXLwSxn?si=cb816364f8db4717"
1958;"AVRO Studios";"Austria";"Liane Augustin";"Die ganze Welt braucht Liebe";9;5;5;;8;;"https://youtu.be/AC5E7tl7juU?si=NicdJL_uudh41cel";;"https://open.spotify.com/track/17C4megGZBj2LGMxngDGfY?si=96b76b22e3c44d06"
1959;"Palais des Festivals";"Austria";"Ferry Graf";"Der K. und K. Kalypso aus Wien";9;9;9;;4;;"https://youtu.be/_PMFkXaW090?si=_cv_u5K-3X_NwkWu";;"https://open.spotify.com/track/3vds04DhVDdLqtgHwFA2GY?si=cb7ca2dee6134cac"
1960;"Royal Festival Hall";"Austria";"Harry Winter";"Du hast mich so fasziniert";7;7;7;;6;;"https://youtu.be/wSdNep2GPUE?si=xXLeKKlB6dbml2q7";;"https://open.spotify.com/track/4mOfSR11z0ViIKAIqxymW7?si=05943c7b8be349ee"
1961;"Palais des Festivals";"Austria";"Jimmy Makulis";"Sehnsucht";3;15;15;;1;;"https://youtu.be/GYYr9pLQNOQ?si=VLnTFU8Oql98F7Fm";;"https://open.spotify.com/track/0HkkJBB3PnKdqSc4GClzml?si=34d3a9057520414b"
1962;"Villa Louvigny";"Austria";"Eleonore Schwarz";"Nur in der Wiener Luft";4;13;13;;0;;"https://youtu.be/1cRmfgPeK40?si=4rDU7J-Y6Teoe3d5";;"https://open.spotify.com/track/52VS1wnUiK0WTYfQXb13u6?si=b4f3ec6894744bef"
1963;"BBC Television Centre";"Austria";"Carmela Corren";"Vielleicht geschieht ein Wunder";4;7;7;;16;;"https://youtu.be/biJfeQaHZe0?si=JPnI7tdW7GfLnyjE";;
1964;"Tivolis Koncertsal";"Austria";"Udo Jürgens";"Warum nur, warum?";6;6;6;;11;;"https://youtu.be/QE4IcCql8QA?si=enTFm3X43HMeoNfX";"https://music.apple.com/gb/album/warum-nur-warum/250802589?i=250802590";"https://open.spotify.com/track/231iiM3Zt82cVUjEUHFSZA?si=ddf0ba9a3c304288"
1965;"Sala di Concerto della RAI";"Austria";"Udo Jürgens";"Sag ihr, ich lass sie grüßen";6;4;4;;16;;"https://youtu.be/QE4IcCql8QA?si=18QmT_p1PfUJ-ZaF";"https://music.apple.com/gb/album/sag-ihr-ich-la%C3%9F-sie-gr%C3%BC%C3%9Fen/250509161?i=250509241";"https://open.spotify.com/track/7aacNMSobUYIDPk5hot0zZ?si=8d85058059d04c69"
1966;"Villa Louvigny";"Austria";"Udo Jürgens";"Merci, Chérie";9;1;1;;31;;"https://youtu.be/frtCOHgMvc8?si=N11cGdbX1T9u7rYp";"https://music.apple.com/gb/album/merci-ch%C3%A9rie-original-version-von-1966/214477756?i=214478298";"https://open.spotify.com/track/76F9Vq9AZjeqx6015lcZ3D?si=dec0fd7007a64541"
1967;"Großer Festsaal der Wiener Hofburg";"Austria";"Peter Horton";"Warum es hunderttausend Sterne gibt";3;14;14;;2;;"https://youtu.be/ZgnZfdkQ530?si=sIavTGYk8EdkbcVp";;
1968;"Royal Albert Hall";"Austria";"Karel Gott";"Tausend Fenster";4;13;13;;2;;"https://youtu.be/XtGeIW8J5gc?si=iKcPyUey9GuZ3oJ_";;
1971;"Gaiety Theatre";"Austria";"Marianne Mendt";"Musik";1;16;16;;66;;"https://youtu.be/kU-SlRlBZSQ?si=HsqvvKnpgSmW0omB";;
1972;"Usher Hall";"Austria";"The Milestones";"Falter im Wind";11;5;5;;100;;"https://youtu.be/VIOIBmiYsD4?si=oQRtBWbzphzZ2o-r";;
1976;"Nederlands Congresgebouw";"Austria";"Waterloo and Robinson";"My Little World";14;5;5;;80;;"https://youtu.be/qmdQ3cevwPY?si=sMlC1Y-6v7kqcxzW";"https://music.apple.com/gb/album/my-little-world-german-version/1453938341?i=1453938344";"https://open.spotify.com/track/3Yw8g06nmBa99FGgzsPbPh?si=1ff2c218d4a04c54"
1977;"Wembley Conference Centre";"Austria";"Schmetterlinge";"Boom Boom Boomerang";4;17;17;;11;;"https://youtu.be/HXyxrduUjyo?si=lT3UOCEuRd8UsSvR";;
1978;"Palais des Congrès";"Austria";"Springtime";"Mrs. Caroline Robinson";19;15;15;;14;;"https://youtu.be/2u-6AOrkEHg?si=WUUOfZ7TeaZmPimX";"https://music.apple.com/gb/album/mrs-caroline-robinson-english/1697937299?i=1697937309";"https://open.spotify.com/track/39O0SVucY0qxuqs9vxfkb7?si=e5c82d2febb346ae"
1979;"International Convention Center";"Austria";"Christina Simon";"Heute in Jerusalem";18;18;18;;5;;"https://youtu.be/EHD1t5K4aLY?si=_QgSIGuJiJuO643x";;
1980;"Nederlands Congresgebouw";"Austria";"Blue Danube";"Du bist Musik";1;8;8;;64;;"https://youtu.be/1AqK5IrhPys?si=--S9xJLXozqWfVs5";;
1981;"RDS Simmonscourt Pavilion";"Austria";"Marty Brem";"Wenn du da bist";1;16;16;;20;;"https://youtu.be/g0u0grvgpYg?si=6Ww6YIvlliulyUYB";;
1982;"Harrogate Conference Centre";"Austria";"Mess";"Sonntag";10;9;9;;57;;"https://youtu.be/83MNvlPc1vw?si=ODv0vQVbOAitoIzI";"https://music.apple.com/gb/album/sonntag/1653180674?i=1653181070";"https://open.spotify.com/track/5CamlRerxZQYWo6q6mVDKr?si=b4739046fa52457d"
