"year","venue_name","country_name","artist_name","song_name","runningOrder","placed","placedJury","placedTelevote","pointsJury","pointsTelevote","youtubeLink","appleMusicLink","spotifyLink"
2008,"Belgrade Arena","Azerbaijan","Elnur and Samir","Day After Day",20,8,11,8,0,132,"https://youtu.be/6OGVL_9P5fw?si=fk90upG17ndTyn_8",NULL,NULL
2009,"Olimpiysky Arena","Azerbaijan","Aysel and Arash","Always",11,3,8,2,112,253,"https://youtu.be/9OEIOS1oUeY?si=pqTutuoO3kQYVL4i","https://music.apple.com/gb/album/always/310537995?i=310538004","https://open.spotify.com/track/4xMRFkFYufAuTEKR0YMN3Z?si=0bcb76a5467c4a83"
2010,"Telenor Arena","Azerbaijan","Safura","Drip Drop",1,6,9,4,116,166,"https://youtu.be/SOKGZb38e5c?si=cgLwO8DHAofCsaGS","https://music.apple.com/gb/album/drip-drop/368931476?i=368931486","https://open.spotify.com/track/38hIyhovrQzznCiNjnG5LI?si=a474c14e29904669"
2011,"Düsseldorf Arena","Azerbaijan","Ell and Nikki","Running Scared",19,1,2,1,182,223,"https://youtu.be/_0tlQUW5X0U?si=NmA7QYzcztnIYEt8","https://music.apple.com/gb/album/running-scared-feat-ell/858766186?i=858766204","https://open.spotify.com/track/6nA43LwkBmljzdIs1GKZ8x?si=f3b79a7b13df46a1"
2012,"Baku Crystal Hall","Azerbaijan","Sabina Babayeva","When the Music Dies",13,4,8,5,118,151,"https://youtu.be/yzT7O3Fnwpk?si=kcVP9cPQpF_8EVMA","https://music.apple.com/gb/album/when-the-music-dies/521460951?i=521460954","https://open.spotify.com/track/1w2jm6QteAq3qw9xAYSe2W?si=bc11c780a05044a3"
2013,"Malmö Isstadion","Azerbaijan","Farid Mammadov","Hold Me",20,NULL,2,3,NULL,NULL,"https://youtu.be/iN3d_V7KVLE?si=ky3hx1EkZGI07keu","https://music.apple.com/gb/album/hold-me-full-version/633005694?i=633005698","https://open.spotify.com/track/2Xfav1hvYvP7pBAumIQLxC?si=b0cf30b32080416b"
2014,"B&W Hallerne","Azerbaijan","Dilara Kazimova","Start a Fire",3,14,8,22,108,26,"https://youtu.be/5mPUMPcFQAY?si=2YWrr8QqMlkO41jl","https://music.apple.com/gb/album/start-a-fire-full-eurovision-version/853682057?i=853682146","https://open.spotify.com/track/3xTzDgXwnvIR5G3Qzd8aQP?si=26434a07c9564679"
2015,"Wiener Stadthalle","Azerbaijan","Elnur Hüseynov","Hour of the Wolf",24,13,12,14,48,48,"https://youtu.be/IcVrAFtc5YI?si=-0e_4vkpEb9S6YSH","https://music.apple.com/gb/album/hour-of-the-wolf-eurovision-2015-azerbaijan/982284979?i=982284991","https://open.spotify.com/track/3XhbPuJJG3MlAP2exjHoVy?si=ce053da3c100417e"
2016,"Globe Arena","Azerbaijan","Samra","Miracle",4,17,19,12,44,73,"https://youtu.be/cB8eSLyffsI?si=ZQsJPqvdbSlTDFcP","https://music.apple.com/gb/album/miracle-eurovision-2016/1093134090?i=1093134316","https://open.spotify.com/track/0etFNuOi2EMWBCE9EHJg11?si=6e6b301119c6478c"
2017,"International Exhibition Centre","Azerbaijan","Dihaj","Skeletons",12,14,12,11,78,42,"https://youtu.be/g_HSRHqd_7s?si=jj6pUtvhXgsq8AZA","https://music.apple.com/gb/album/skeletons/1214949694?i=1214949771","https://open.spotify.com/track/4NtcojKRdDC5AL9PtxlAQN?si=12b808b21df34026"
2018,"Lisbon Arena","Azerbaijan","Aisel","X My Heart",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/1CUwlpqUuvA?si=JRVLjaEzXTCr0rwo","https://music.apple.com/gb/album/x-my-heart/1359435120?i=1359435601","https://open.spotify.com/track/1P5JWcZw3zATCqSKMdHLKv?si=d3ee605bd7714608"
2019,"Expo Tel Aviv","Azerbaijan","Chingiz","Truth",20,8,5,8,202,100,"https://youtu.be/D6vvuCiHwSs?si=xflp6W06Rz-hIL_a",NULL,NULL
2020,"Rotterdam Ahoy","Azerbaijan","Efendi","Cleopatra",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/I0VzBCvO1Wk?si=rQYKhI9P0dwjinwm","https://music.apple.com/gb/album/cleopatra/1502887890?i=1502887891","https://open.spotify.com/track/6Rt5DJgi7E2wETXueJF0XM?si=201434ed60b94cd9"
2021,"Rotterdam Ahoy","Azerbaijan","Efendi","Mata Hari",21,20,19,17,32,33,"https://youtu.be/FTQ22S5YC7Q?si=XY17YFZHPiwRe96v","https://music.apple.com/gb/album/mata-hari/1556675266?i=1556675267","https://open.spotify.com/track/3wuvVwA5RaifHz1uqKac8P?si=69d26fe93c9440cb"
2022,"PalaOlimpico","Azerbaijan","Nadir Rustamli","Fade to Black",15,16,10,23,103,3,"https://youtu.be/tegPzHEL4ms?si=w2_eXfu-ueYOI8vf","https://music.apple.com/gb/album/fade-to-black/1617292305?i=1617292306","https://open.spotify.com/track/7aX4w6c7gSqbTBoU8g2lnm?si=6d6055ec0fbb4dfc"
2023,"Liverpool Arena","Azerbaijan","TuralTuranX","Tell Me More",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/8BNtaW1IEtA?si=xYEmm3nm3gMKTt32","https://music.apple.com/gb/album/tell-me-more/1676867360?i=1676867363","https://open.spotify.com/track/2pXSRhFrsoG57v4tZ36ogu?si=95a8f9ee7ccb41c5"
2024,"Malmö Isstadion","Azerbaijan","Fahree feat. Ilkin Dovlatov","Özünlə Apar",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/NNhAk4rVgNc?si=0pJJuV8k8fLI00oX","https://music.apple.com/gb/album/%C3%B6z%C3%BCnl%C9%99-apar-feat-i-lkin-dovletov-single/1735937763","https://open.spotify.com/track/6EwXG9cPjesjehN0kw30xs?si=809fc58fe6d44c93"
