"year";"venue";"countryname";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
2004;"Abdi İpekçi Arena";"Belarus";"Aleksandra and Konstantin";"My Galileo";;;;;;;"https://youtu.be/bINn55fuScE?si=_l4l_T2Q5SiEYKPD";;
2005;"Palace of Sports";"Belarus";"Angelica Agurbash";"Love Me Tonight";;;;;;;"https://youtu.be/lnY0HbiuiX4?si=9Wg15Yi-eaZKVvXH";;
2006;"Olympic Indoor Hall";"Belarus";"Polina Smolova";"Mum";;;;;;;"https://youtu.be/jkGqAU3m-jw?si=IYyrhaXTv7qZ772c";;
2007;"Hartwall Arena";"Belarus";"Koldun";"Work Your Magic";3;6;15;6;2;143;"https://youtu.be/PxON-jTcBPA?si=cajbbxtmNdpMmhOO";;
2008;"Belgrade Arena";"Belarus";"Ruslan Alehno";"Hasta la vista";;;;;;;"https://youtu.be/wG8p0fSHc3U?si=ftkAkKT_K6F1GFkB";"https://music.apple.com/gb/album/hasta-la-vista/710594621?i=710594700";"https://open.spotify.com/track/0sKY3EVQQRxZfY24zDsgJN?si=2c9941223ded445e"
2009;"Olimpiysky Arena";"Belarus";"Petr Elfimov";"Eyes That Never Lie";;;;;;;"https://youtu.be/Mvx_pOqyNDU?si=3YVJtnpIOaf-nPJI";"https://music.apple.com/gb/album/eyes-that-never-lie/1513201531?i=1513201532";"https://open.spotify.com/track/68LX1YGSIAYpkAmYlfRAlI?si=d55060f6b63d4f0e"
2010;"Telenor Arena";"Belarus";"3+2 feat. Robert Wells";"Butterflies";9;24;24;21;22;18;"https://youtu.be/MvK2KU2zfzA?si=rsf3Jk3Iq1atSC8T";;
2011;"Düsseldorf Arena";"Belarus";"Anastasia Vinnikova";"I Love Belarus";;;;;;;"https://youtu.be/frhQMuyH0lg?si=2SZa0VXGJtSkkKkd";;
2012;"Baku Crystal Hall";"Belarus";"Litesound";"We Are the Heroes";;;;;;;"https://youtu.be/-JWbOKNaIAo?si=EHQaBdpucGSBb_r9";"https://music.apple.com/gb/album/we-are-the-heroes/1436693068?i=1436693074";"https://open.spotify.com/track/3AbXaLUm16SoW9Q9mxxt66?si=5d9b8db874e34c5a"
2013;"Malmö Isstadion";"Belarus";"Alyona Lanskaya";"Solayoh";8;;22;13;;;"https://youtu.be/sEjw9sJLPPI?si=bWGZqC89hcPxQUlT";"https://music.apple.com/gb/album/solayoh-eurovision-version/613148251?i=613148338";"https://open.spotify.com/track/1PYaCFko32RUtuSMuQTRAT?si=2e62215dace041fd"
2014;"B&W Hallerne";"Belarus";"Teo";"Cheesecake";2;17;18;11;50;56;"https://youtu.be/tImGMW-4eHY?si=fw-nuB-k6mhbGqkk";"https://music.apple.com/gb/album/cheesecake/1165383369?i=1165383843";"https://open.spotify.com/track/4g7dROdE3ceRrBqmXR5TNF?si=57fdb728dac74eca"
2015;"Wiener Stadthalle";"Belarus";"Uzari and Maimuna";"Time";;;;;;;"https://youtu.be/Cwjm1lRV4N4?si=HX_TSC3Qjv09ch9u";"https://music.apple.com/gb/album/time/1498356932?i=1498356934";"https://open.spotify.com/track/6blg0qHCVx36QDBGmWpy7M?si=1e29de39ac1544ad"
2016;"Globe Arena";"Belarus";"Ivan";"Help You Fly";;;;;;;"https://youtu.be/pM07r57QqGg?si=aVmXqKdr1FWPkQ6T";"https://music.apple.com/gb/album/help-you-fly/1093777700?i=1093777709";"https://open.spotify.com/track/2MlVjKpwffc77MQJHqIvjA?si=741fd065bfbd4448"
2017;"International Exhibition Centre";"Belarus";"Naviband";"Story of My Life";3;17;16;13;50;33;"https://youtu.be/coFfFZvPmRY?si=5EBgBfxjQE8PczQE";"https://music.apple.com/gb/album/historyja-majho-%C5%BEyccia-eurovision-2017/1212114928?i=1212114936";"https://open.spotify.com/track/6ADaThAwRHYRDbqgBexynb?si=728c4e4313654e16"
2018;"Lisbon Arena";"Belarus";"Alekseev";"Forever";;;;;;;"https://youtu.be/ywy_y24v_ao?si=D787P8itXwxGjAkY";"https://music.apple.com/gb/album/forever/1363774379?i=1363774384";"https://open.spotify.com/track/4whyGYFECu1EEQ0qAHJfjy?si=62546eecb00147b8"
2019;"Expo Tel Aviv";"Belarus";"Zena";"Like It";19;24;22;23;18;13;"https://youtu.be/C1Y9LBusHzA?si=rkw_iMutWiYptwkj";"https://music.apple.com/gb/album/like-it/1457579708?i=1457579709";"https://open.spotify.com/track/6sGcFdmfVhmq09Dy1rQgAh?si=644492b70bd445a2"
2020;"Rotterdam Ahoy";"Belarus";"VAL";"Da vidna";;;;;;;"https://youtu.be/F0wfxz5zq04?si=c4qq3lsBCUf9HeH6";"https://music.apple.com/gb/album/da-vidna/1496538746?i=1496538747";"https://open.spotify.com/track/2S82sSBWe86mi1EwNQl7kQ?si=5efd255fe07f461a"
