"year";"venue_name";"country_name";"artist_name";"song_name";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
1956;"Teatro Kursaal";"Belgium";"Fud Leclerc";"Messieurs les noyés de la Seine";3;;;;;;"https://www.youtube.com/watch?v=qFgBJwyKSGg";;
1956;"Teatro Kursaal";"Belgium";"Mony Marc";"Le Plus Beau Jour de ma vie";10;;;;;;"https://www.youtube.com/watch?v=9ICOEka_Jqg";;
1957;"Großer Sendesaal des Hessischen Rundfunks";"Belgium";"Bobbejaan Schoepen";"Straatdeuntje";1;8;8;;5;;"https://www.youtube.com/watch?v=mu8ueVHTb9k";"https://music.apple.com/gb/album/straatdeuntje-1957/411915354?i=411915722";"https://open.spotify.com/track/3BM3vLAbeECkvyWWS3qdGK?si=51ad3b6f5b034863"
1958;"AVRO Studios";"Belgium";"Fud Leclerc";"Ma petite chatte";7;5;5;;8;;"https://youtu.be/i-k1TjSHSjU?si=V8OJ7A2R8B71_VUg";"https://music.apple.com/gb/album/ma-petite-chatte-feat-willy-albimoor-et-son-ensemble/921139029?i=921139034";"https://open.spotify.com/track/7f0mdKaCoMkTDmJSKk9Z75?si=4c9f637563a447fe"
1959;"Palais des Festivals";"Belgium";"Bob Benny";"Hou toch van mij";11;6;6;;9;;"https://youtu.be/VkxrfcoSwOs?si=p8G2cf7YRCRU1dAV";"https://music.apple.com/gb/album/hou-toch-van-mij/548453138?i=548453658";"https://open.spotify.com/track/6bFkXFZujrQBO4LGvmNv5D?si=ab2f9c0147264403"
1960;"Royal Festival Hall";"Belgium";"Fud Leclerc";"Mon amour pour toi";5;6;6;;9;;"https://youtu.be/byD35ZhNeI8?si=7GB9SBcUtRhp1lAp";;"https://open.spotify.com/track/2U0k7sc8lCBaFVmFkzhevp?si=3a7a169461264eeb"
1961;"Palais des Festivals";"Belgium";"Bob Benny";"September, gouden roos";11;15;15;;1;;"https://youtu.be/lwEBgI8-KLs?si=Nxyx3tbAc8k95Rgu";;"https://open.spotify.com/track/1aACvHfuj8DqgSK6SPlKRo?si=1841c6aa8c3347e7"
1962;"Villa Louvigny";"Belgium";"Fud Leclerc";"Ton nom";2;13;13;;0;;"https://youtu.be/nJ5wY_NIEGM?si=gHbOmGnh5Cr6Ondh";;"https://open.spotify.com/track/0OgJ20kY3ls8xnPWvBTqBK?si=0a69e1d8148b451d"
1963;"BBC Television Centre";"Belgium";"Jacques Raymond";"Waarom?";14;10;10;;4;;"https://youtu.be/Pi4vDTGHArQ?si=cj7azODjjv53XwD0";;
1964;"Tivolis Koncertsal";"Belgium";"Robert Cogoi";"Près de ma rivière";15;10;10;;2;;"https://youtu.be/H7pUbwzHOcs?si=rd1NUGIwBCtOIoVG";"https://music.apple.com/gb/album/pr%C3%A8s-de-ma-rivi%C3%A8re/1678973835?i=1678974084";
