"year","venue_name","country_name","artist_name","song_name","runningOrder","placed","placedJury","placedTelevote","pointsJury","pointsTelevote","youtubeLink","appleMusicLink","spotifyLink"
1993,"Green Glens Arena","Bosnia and Herzegovina","Fazla","Sva bol svijeta",18,16,16,NULL,27,NULL,"https://youtu.be/DREeDXs9ijc?si=WJ4YIp1fZRZRljyZ","https://music.apple.com/gb/album/sva-bol-svijeta-eurosong-1993/286503323?i=286503822","https://open.spotify.com/track/6phethNfdodlInhpLHxiWH?si=bf0f3feab0a0404f"
1994,"Point Theatre","Bosnia and Herzegovina","Alma and Dejan","Ostani kraj mene",18,15,15,NULL,39,NULL,"https://youtu.be/9t-ptOfHvtQ?si=Y1AfaPssWDIhVdBd",NULL,"https://open.spotify.com/track/4DDRFA6YSSVkJlUz8Ev1ia?si=f8e2abe6aa134747"
1995,"Point Theatre","Bosnia and Herzegovina","Davor Popović","Dvadeset prvi vijek",4,19,19,NULL,14,NULL,"https://youtu.be/fGYt_iYm4_g?si=M0NYz8NvTUKgS2Ku","https://music.apple.com/gb/album/dvadeset-i-prvi-vijek/518579287?i=518579374",NULL
1996,"Oslo Spektrum","Bosnia and Herzegovina","Amila Glamočak","Za našu ljubav",21,22,22,NULL,13,NULL,"https://youtu.be/3062NrjNusI?si=x6hSSqVR3n1B7mDP",NULL,NULL
1997,"Point Theatre","Bosnia and Herzegovina","Alma Čardžić","Goodbye",14,18,20,9,9,13,"https://youtu.be/7mOjQiQZz2g?si=2lYeTFLNtdp_OhFh",NULL,NULL
1999,"International Convention Center","Bosnia and Herzegovina","Dino and Béatrice","Putnici",22,7,12,6,7,79,"https://youtu.be/RRxgcossuOs?si=FNhJxu7f2aRDoRS-","https://music.apple.com/gb/album/putnici-with-beatrice-poulot/486797541?i=486797632","https://open.spotify.com/track/299hwAdhT3YRJ3DvGx6FTB?si=08220e1b58134d12"
2001,"Parken Stadium","Bosnia and Herzegovina","Nino","Hano",3,14,14,12,6,23,"https://youtu.be/7_D7uZ92Y00?si=IUdLvPtaksc0tN1R","https://music.apple.com/gb/album/hano/260009845?i=260011301",NULL
2002,"Saku Suurhall","Bosnia and Herzegovina","Maja","Na jastuku za dvoje",15,12,17,12,11,22,"https://youtu.be/mRVG1vK07C8?si=dvKw6nIJ39r2Oxfl","https://music.apple.com/gb/album/na-jastuku-za-dvoje/1662510346?i=1662513017","https://open.spotify.com/track/75N9my1BhLCbla42dfvlAf?si=9054fb48ef2f4732"
2003,"Skonto Olympic Hall","Bosnia and Herzegovina","Mija Martina","Ne brini",6,16,21,14,0,27,"https://youtu.be/KPFjADXmEPo?si=iedws47ZVbMCEcU4",NULL,NULL
2004,"Abdi İpekçi Arena","Bosnia and Herzegovina","Deen","In the Disco",12,9,NULL,9,NULL,91,"https://youtu.be/23h__RssJQo?si=pV_iiAjwUX85hzVp","https://music.apple.com/gb/album/in-the-disco/396028396?i=396028957","https://open.spotify.com/track/2wdhxJI8rvKq1VCRZsiEuA?si=038391c2b9214e9d"
2005,"Palace of Sports","Bosnia and Herzegovina","Feminnem","Call Me",21,14,19,14,0,79,"https://youtu.be/Kqof50gLBIo?si=aNixa490tttW0gMh","https://music.apple.com/gb/album/call-me/397149304?i=397149407",NULL
2006,"Olympic Indoor Hall","Bosnia and Herzegovina","Hari Mata Hari","Lejla",13,3,1,3,24,205,"https://youtu.be/SXlIN3mcsH4?si=bn6tDx-6HRppO0p4","https://music.apple.com/gb/album/lejla/724738909?i=724738935","https://open.spotify.com/track/0xDQnj1CobUOFmVsovknB1?si=965ebff4049348e9"
2007,"Hartwall Arena","Bosnia and Herzegovina","Marija Šestić","Rijeka bez imena",1,11,7,11,8,98,"https://youtu.be/b2h52r1oOYA?si=G0Pf-ULtcr09eCn0","https://music.apple.com/gb/album/rijeka-bez-imena-radio-edit/1583230919?i=1583230922","https://open.spotify.com/track/0zZIcUuI2QA5Qckvn5hlQa?si=c826b8c0c0c44b73"
2008,"Belgrade Arena","Bosnia and Herzegovina","Laka","Pokušaj",6,10,11,10,0,110,"https://youtu.be/kIRDbmpC2PI?si=R9ZSNRgCLtGwy2kH","https://music.apple.com/gb/album/poku%C5%A1aj-eurovision-song-contest-2008/287308612?i=287308651","https://open.spotify.com/track/4h6XFC9T1diF2FEuS5KZCd?si=810762f30332424b"
2009,"Olimpiysky Arena","Bosnia and Herzegovina","Regina","Bistra voda",12,9,12,7,90,124,"https://youtu.be/TcRWjoEkzMk?si=OvGyMOus9iIV8si2","https://music.apple.com/gb/album/bistra-voda/650049936?i=650050121","https://open.spotify.com/track/72pPz0QL8HncjUkgFJguHb?si=e551278af8634e60"
2010,"Telenor Arena","Bosnia and Herzegovina","Vukašin Brajić","Thunder and Lightning",6,17,14,16,65,35,"https://youtu.be/IPBo9vaN9Vc?si=lUmy3facWpKUcS89",NULL,NULL
2011,"Düsseldorf Arena","Bosnia and Herzegovina","Dino Merlin","Love in Rewind",2,6,11,6,90,151,"https://youtu.be/mBg3coarF_8?si=EGzgbc8eiHM45RTE","https://music.apple.com/gb/album/love-in-rewind/1452234961?i=1452234962","https://open.spotify.com/track/60w4OUxN2PmTnlrgk4aRBX?si=c115afb44613491d"
