"year";"venue";"countryname";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
2005;"Palace of Sports";"Bulgaria";"Kaffe";"Lorraine";NULL;NULL;NULL;NULL;NULL;NULL;"https://youtu.be/l6rnAKD1QuU?si=-hCNXVrILUZi6B0t";"https://music.apple.com/gb/album/lorrain-eurovision-song-contest/329996843?i=329997385";"https://open.spotify.com/track/439X8Ol70ZIvKd0yWu3byx?si=7f12c5aedda9458b"
2006;"Olympic Indoor Hall";"Bulgaria";"Mariana Popova";"Let Me Cry";NULL;NULL;NULL;NULL;NULL;NULL;"https://youtu.be/_Q_x1lOmdpM?si=NYOoeHY0qoP0jKn_";"https://music.apple.com/gb/album/let-me-cry-feat-azis/529761086?i=529761087";"https://open.spotify.com/track/2pfOxpgOUDd8GFoqRP2zuz?si=af7c3eb5e6c745b5"
2007;"Hartwall Arena";"Bulgaria";"Elitsa Todorova and Stoyan Yankoulov";"Water";21;5;12;4;0;157;"https://youtu.be/CVO3mEj8Udo?si=ggFq0Al_XNXqhH56";"https://music.apple.com/gb/album/water-bulgarian-eurovision-song-2007/335666051?i=335666821";"https://open.spotify.com/track/6MAsDFTzvqiRJaVRVUEAbG?si=67b33010b49d466b"
2008;"Belgrade Arena";"Bulgaria";"Deep Zone and Balthazar";"DJ, Take Me Away";NULL;NULL;NULL;NULL;NULL;NULL;"https://youtu.be/yXSRbgM8cvs?si=uAp3tRz15xy4a0Es";"https://music.apple.com/gb/album/dj-take-me-away-feat-balthazar/1485268034?i=1485268038";"https://open.spotify.com/track/1YIZKhptvTugpAfWjGzjMY?si=9b6fbdc0c2364525"
2009;"Olimpiysky Arena";"Bulgaria";"Krassimir Avramov";"Illusion";NULL;NULL;NULL;NULL;NULL;NULL;"https://youtu.be/vF_qBBfu7nQ?si=REtPBWtcR-dJtzGI";"https://music.apple.com/gb/album/illusion-eurovision-remix/443794867?i=443794876";"https://open.spotify.com/track/1iqlGvWyLTVwoRWLZL9YGu?si=438251d295cf475a"
2010;"Telenor Arena";"Bulgaria";"Miro";"Angel si ti";NULL;NULL;NULL;NULL;NULL;NULL;"https://youtu.be/YTyTL04vlEw?si=5pseHBVNKUcCSDMf";NULL;NULL
2011;"Düsseldorf Arena";"Bulgaria";"Poli Genova";"Na inat";NULL;NULL;NULL;NULL;NULL;NULL;"https://youtu.be/NuenJb-vw9A?si=G15uP0Vc1QYlVYfp";NULL;NULL
2012;"Baku Crystal Hall";"Bulgaria";"Sofi Marinova";"Love Unlimited";NULL;NULL;NULL;NULL;NULL;NULL;"https://youtu.be/WAUAETPcFBI?si=Qm3jtgf4yikuQxhc";"https://music.apple.com/gb/album/love-unlimited/673127288?i=673127739";"https://open.spotify.com/track/7gz29qHG6NQp1fPPPeJP2g?si=c6bcdc194056445f"
2013;"Malmö Isstadion";"Bulgaria";"Elitsa Todorova and Stoyan Yankoulov";"Samo shampioni";NULL;NULL;NULL;NULL;NULL;NULL;"https://youtu.be/Cb46Mhy_mCI?si=DWYI81lX3RmtDxpR";"https://music.apple.com/gb/album/%D1%81%D0%B0%D0%BC%D0%BE-%D1%88%D0%B0%D0%BC%D0%BF%D0%B8%D0%BE%D0%BD%D0%B8/865119453?i=865119459";"https://open.spotify.com/track/3thI8DuOGce7DohbcGkMa0?si=8955c4e519804783"
2016;"Globe Arena";"Bulgaria";"Poli Genova";"If Love Was a Crime";8;4;6;5;127;180;"https://youtu.be/PQqUTigWKHY?si=mc1-97AJLLwefMSJ";"https://music.apple.com/gb/album/if-love-was-a-crime-eurovision-2016-bulgaria/1444587396?i=1444587551";"https://open.spotify.com/track/1G5qDCiqei7ozj5ku43TuR?si=e63b1ea71ce644ca"
2017;"International Exhibition Centre";"Bulgaria";"Kristian Kostov";"Beautiful Mess";25;2;2;2;278;337;"https://youtu.be/OMmm-G078LM?si=s3MQo8TSK1qYANPV";"https://music.apple.com/gb/album/beautifull-mess/1315767283?i=1315767303";"https://open.spotify.com/track/5YCqzqb6yN6TsMOHb4FSVw?si=084d0c7b47f34a21"
2018;"Lisbon Arena";"Bulgaria";"Equinox";"Bones";18;14;9;14;100;66;"https://youtu.be/vC-1tdGDFQc?si=lOXjcnCIP12Y_UeN";"https://music.apple.com/gb/album/bones/1377200843?i=1377200849";"https://open.spotify.com/track/39qWzdNJSioJzfemhwXtDw?si=bb015f53bf7f4ff2"
2020;"Rotterdam Ahoy";"Bulgaria";"Victoria";"Tears Getting Sober";NULL;NULL;NULL;NULL;NULL;NULL;"https://youtu.be/V_hgYnwZR8I?si=NGOeyM0wXt1UnB__";"https://music.apple.com/gb/album/tears-getting-sober/1555761800?i=1555761811";"https://open.spotify.com/track/5PnNiSp1xeYI318WPHEIzP?si=4cea1b780e704999"
