"year";"venue";"countryname";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
1993;"Green Glens Arena";"Croatia";"Put";"Don't Ever Cry";21;15;15;;31;;"https://youtu.be/NqBcDIzfID8?si=qqSnDkohTCHb7ct7";"https://music.apple.com/gb/album/dont-ever-cry/531615641?i=531615967";"https://open.spotify.com/track/0qbGlaru5Byq9mB8anuEK0?si=cdad663828684848"
1994;"Point Theatre";"Croatia";"Tony Cetinski";"Nek' ti bude ljubav sva";7;16;16;;27;;"https://youtu.be/TqAi_Bm2Z40?si=LfTFxwr4H5dOaxSB";"https://music.apple.com/gb/album/nek-ti-bude-ljubav-sva/381402323?i=381402816";"https://open.spotify.com/track/7ny0iVc5TzOS5tVOTc7Aze?si=9060f61b844b4258"
1995;"Point Theatre";"Croatia";"Magazin and Lidija";"Nostalgija";11;6;6;;91;;"https://youtu.be/r2IG1jauOfI?si=-lfAfo1iYGPWc_wF";"https://music.apple.com/gb/album/nostalgija/414645708?i=414645825";"https://open.spotify.com/track/5fIR9CBppScSnKykoW7Rpo?si=e46436618c8844b5"
1996;"Oslo Spektrum";"Croatia";"Maja Blagdan";"Sveta ljubav";7;4;4;;98;;"https://youtu.be/Wzgful7Gl8U?si=7x8I47L3ycJNBoC6";"https://music.apple.com/gb/album/sveta-ljubav/518593628?i=518593689";"https://open.spotify.com/track/3U7l5TrZI2lIcjbQ5JYcvj?si=857568fd182140d4"
1997;"Point Theatre";"Croatia";"E.N.I.";"Probudi me";23;17;16;14;17;7;"https://youtu.be/qgFOLokXTwE?si=zQ4bKUPPfs3y-uAj";"https://music.apple.com/gb/album/probudi-me/571598574?i=571598763";"https://open.spotify.com/track/5GKs2EdeHzWS80SLuPASeZ?si=f337aaa1659140c1"
1998;"National Indoor Arena";"Croatia";"Danijela";"Neka mi ne svane";1;4;12;4;4;127;"https://youtu.be/ojVGmkYnFM8?si=lhnR-M6On9JDDBUi";"https://music.apple.com/gb/album/neka-mi-ne-svane/930277844?i=930277850";"https://open.spotify.com/track/2Y1TLTTfeiI3AhBvJ4s1YQ?si=1c8fbd34377b4985"
1999;"International Convention Center";"Croatia";"Doris";"Marija Magdalena";4;4;1;5;28;90;"https://youtu.be/pH0SpZe9pos?si=fskE2m9Z8QZ0lPq0";"https://music.apple.com/gb/album/marija-magdalena/381924210?i=381924817";"https://open.spotify.com/track/7Gj6Wi9ZFoIMdf9i1f9Y8P?si=b78da36e4f244fc2"
2000;"Globe Arena";"Croatia";"Goran Karan";"Kad zaspu anđeli";17;9;1;13;36;34;"https://youtu.be/dqZKKfK2aEA?si=wWyQAclGUFMt0j81";"https://music.apple.com/gb/album/kada-zaspu-an%C4%91eli-ostani/1163173220?i=1163174070";"https://open.spotify.com/track/05iJ0sJX3yiLBvtBFODkC9?si=1cdcda59056644e1"
2001;"Parken Stadium";"Croatia";"Vanna";"Strings of My Heart";10;10;3;16;26;16;"https://youtu.be/i4BSbWNOp2Q?si=UF78ebAUtF7hTv9D";"https://music.apple.com/gb/album/strings-of-my-heart/381360621?i=381361647";"https://open.spotify.com/track/7b011YotePNLplTMrbMgnu?si=26efadd4bb1045df"
2002;"Saku Suurhall";"Croatia";"Vesna Pisarović";"Everything I Want";6;10;11;11;19;25;"https://youtu.be/Ck7ql_nJ02g?si=83Pkki6srjeGG_T3";"https://music.apple.com/gb/album/everything-i-want/484023942?i=484023976";"https://open.spotify.com/track/0knrm9iqhUjf9wT0rZCfFl?si=3478fc6f287d408f"
