"year";"venue_name";"country_name";"artist_name";"song_name";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
1981;"RDS Simmonscourt Pavilion";"Cyprus";"Island";"Monika";18;6;6;;69;;"https://youtu.be/3I_HvhqYLHA?si=jKMhXIAWvu5x1D75";;
1982;"Harrogate Conference Centre";"Cyprus";"Anna Vissi";"Mono i agapi";8;5;5;;85;;"https://youtu.be/S8HVS1DePZk?si=UB2-ESGlnNhaWH0a";"https://music.apple.com/gb/album/mono-i-agapi/724765925?i=724766030";"https://open.spotify.com/track/2fBgBl0dSwiUAVHxG6LVat?si=069762a26c8f478c"
1983;"Rudi-Sedlmayer-Halle";"Cyprus";"Stavros and Constantina";"I agapi akoma zi";13;16;16;;26;;"https://youtu.be/trLm7dIJPW0?si=coepBCsyy12BW_VO";;
1984;"Théâtre Municipal";"Cyprus";"Andy Paul";"Anna Mari-Elena";7;15;15;;31;;"https://youtu.be/DyQHM1newXs?si=YnVyjt4jlilRlh-O";;
1985;"Scandinavium";"Cyprus";"Lia Vissi";"To katalava arga";3;16;16;;15;;"https://youtu.be/IJasI3ybsIQ?si=L1dX80Pm0v5zGdc_";"https://music.apple.com/gb/album/to-katalava-arga/1470162982?i=1470163056";"https://open.spotify.com/track/0mndNiNUJkIZ7UkaBT23tM?si=03106befd428429a"
1986;"Grieghallen";"Cyprus";"Elpida";"Tora zo";15;20;20;;4;;"https://youtu.be/lE20VvqYi88?si=kI-oAtp6m2lrsKXT";;
1987;"Palais de Centenaire";"Cyprus";"Alexia";"Aspro mavro";17;7;7;;80;;"https://youtu.be/Zjrv_LTG6OA?si=LzTiJfOWy95xkWlJ";"https://music.apple.com/gb/album/aspro-mavro/1568648123?i=1568648131";"https://open.spotify.com/track/3728WeTA8WJdqMhNamcWlD?si=6a815960d5664849"
1989;"Palais de Beaulieu";"Cyprus";"Fanny Polymeri and Yiannis Savvidakis";"Apopse as vrethoume";17;11;11;;51;;"https://youtu.be/qO-auQ5Lmas?si=5teErno11Dhbvf45";;
1990;"Koncertna Dvorana Vatroslav Lisinski";"Cyprus";"Anastasiou";"Milas poli";21;14;14;;36;;"https://youtu.be/B7ufFMqQ9zs?si=oZkC24OL9nqqsU6W";;
1991;"Studio 15 di Cinecittà";"Cyprus";"Elena Patroklou";"S.O.S.";21;9;9;;60;;"https://youtu.be/_QfknDmBXaM?si=ac-qS-FExeazX0ja";;
1992;"Malmö Isstadion";"Cyprus";"Evridiki";"Teriazoume";9;11;11;;57;;"https://youtu.be/2MJZhWIflEQ?si=eWp-KkGdafRZ8yQC";"https://music.apple.com/gb/album/teriazoume/713618542?i=713618711";"https://open.spotify.com/track/7JL0xREYyQICYaHOwakBHJ?si=8c02ead979534e20"
1993;"Green Glens Arena";"Cyprus";"Zymboulakis and Van Beke";"Mi stamatas";23;19;19;;17;;"https://youtu.be/UfzBpo0exAQ?si=y3D-wTy7KQ4XaoCs";;
1994;"Point Theatre";"Cyprus";"Evridiki";"Ime anthropos ki ego";4;11;11;;51;;"https://youtu.be/i_yif17TztQ?si=5QWgUkG40qSv-U1c";"https://music.apple.com/gb/album/ime-anthropos-ki-ego/1443270481?i=1443270670";"https://open.spotify.com/track/2H80p0x0hWWFgHve2ZBzXx?si=0d4fb128ef224e47"
1995;"Point Theatre";"Cyprus";"Alexandros Panayi";"Sti fotia";17;9;9;;79;;"https://youtu.be/LMfRj5stHdI?si=LUmXxClH9cjMej4d";;
1996;"Oslo Spektrum";"Cyprus";"Constantinos";"Mono gia mas";5;9;9;;72;;"https://youtu.be/3mJq1-6psws?si=P6Pc--tKdtVbIdMs";;
1997;"Point Theatre";"Cyprus";"Hara and Andreas Konstantinou";"Mana mou";1;5;7;7;84;14;"https://youtu.be/Fw6pHabuXzM?si=mB0Xrf6Rd7ion1Aj";"https://music.apple.com/gb/album/mana-mou-eurovision-1997-cyprus/1701442879?i=1701442881";"https://open.spotify.com/track/5Ucxa2nK2Xsl4EPam5lVMC?si=e179f5ccbaa04a71"
1998;"National Indoor Arena";"Cyprus";"Michael Hajiyanni";"Genesis";17;10;10;10;5;32;"https://youtu.be/r-bV_c7p4u0?si=Eh8UCmwJBoNT1QJc";;
1999;"International Convention Center";"Cyprus";"Marlain";"Tha'ne erotas";14;22;18;22;0;2;"https://youtu.be/ABU7gCbilS8?si=RXiEaUT-nkdwk6Pz";;
2000;"Globe Arena";"Cyprus";"Voice";"Nomiza";11;21;21;21;4;4;"https://youtu.be/Un8iKEH7S_Q?si=BmNCHr6fgIxaMcTD";;
2002;"Saku Suurhall";"Cyprus";"One";"Gimme";1;5;4;6;40;45;"https://youtu.be/TLKfSIKDGMI?si=LqnOJs5tsAeDF6ny";"https://music.apple.com/gb/album/gimme/1488850056?i=1488850064";"https://open.spotify.com/track/5LdWdlyG5fEfSPORr4Y5Ai?si=955d2e448d5c42bc"
2003;"Skonto Olympic Hall";"Cyprus";"Stelios Constantas";"Feeling Alive";9;20;21;18;0;15;"https://youtu.be/bL_-Rd6WjJY?si=cblUA8hKF5eWVU0m";"https://music.apple.com/gb/album/feeling-alive/1014650791?i=1014651028";"https://open.spotify.com/track/7t43cSuQhL7B47HzUGALrZ?si=e9ea33a0bfae448d"
2004;"Abdi İpekçi Arena";"Cyprus";"Lisa Andreas";"Stronger Every Minute";21;5;;5;;170;"https://youtu.be/Dq4RNHax5ow?si=kisf2GGTfDSQb6tk";"https://music.apple.com/gb/album/stronger-every-minute/1569227303?i=1569227466";"https://open.spotify.com/track/64Jc7VKlOUgslRW1Y2jlZy?si=93d0c7a25ddc443f"
2005;"Palace of Sports";"Cyprus";"Constantinos Christoforou";"Ela Ela";9;18;19;18;0;46;"https://youtu.be/nweOwnxKrdw?si=qbeacTnUTdTDUX4a";"https://music.apple.com/gb/album/ela-ela-come-baby-eurovision-version/1443285369?i=1443286692";"https://open.spotify.com/track/2i9sifNgtQ4gF2NbBpPhTy?si=a60809472b914898"
2006;"Olympic Indoor Hall";"Cyprus";"Annet Artani";"Why Angels Cry";;;;;;;"https://youtu.be/cXXQIbxL110?si=kYqLzz6bEM2sIMlf";"https://music.apple.com/gb/album/why-angels-cry/1477321172?i=1477321183";"https://open.spotify.com/track/7vnw0iKxz7zjNFFC66GsfG?si=395142fe05e54cf2"
2007;"Hartwall Arena";"Cyprus";"Evridiki";"Comme ci, comme ça";;;;;;;"https://youtu.be/bLpM5gMpUkI?si=-trZO71-1RRp4OPK";"https://music.apple.com/gb/album/come-ci-comme-ca/1340470863?i=1340470870";"https://open.spotify.com/track/2eXl1sMHC1RSgefh32FyRA?si=5c98363591d342c9"
2008;"Belgrade Arena";"Cyprus";"Evdokia Kadi";"Femme Fatale";;;;;;;"https://youtu.be/6m2HZD3eXfI?si=Nl3ZLtu8-SXAeYJh";;
