"year";"venue";"countryname";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
2007;"Hartwall Arena";"Czechia";"Kabát";"Malá dáma";;;;;;;"https://youtu.be/iBZaVQ52RQY?si=KRabDJTH7gob_yaG";"https://music.apple.com/gb/album/mal%C3%A1-d%C3%A1ma/693555235?i=693555242";"https://open.spotify.com/track/6Le5KOUhQgU4PQNkcX6sP4?si=cd292302252643d6"
2008;"Belgrade Arena";"Czechia";"Tereza Kerndlová";"Have Some Fun";;;;;;;"https://youtu.be/RqYgZKpMhh4?si=YJQ6SoHPycTptVv-";"https://music.apple.com/gb/album/have-some-fun/1443302474?i=1443302846";"https://open.spotify.com/track/1RLmD2HP8XSyTEqwGbfFjx?si=445730cd9bcc4af4"
2009;"Olimpiysky Arena";"Czechia";"Gipsy.cz";"Aven Romale";;;;;;;"https://youtu.be/JsjBPt-GeFc?si=Jr7r3V1jEqTSxj3i";"https://music.apple.com/gb/album/aven-romale/315751191?i=315751579";"https://open.spotify.com/track/3pVzMndOJpKfQEJkzXi43a?si=5c7f4b86a4664984"
2015;"Wiener Stadthalle";"Czechia";"Marta Jandová and Václav Noid Bárta";"Hope Never Dies";;;;;;;"https://youtu.be/SLz6VeSPXjA?si=WRwtMNH7_kGY01kj";"https://music.apple.com/gb/album/hope-never-dies-feat-marta-jandova/1055304306?i=1055304557";"https://open.spotify.com/track/1k4PyasEAhyHu34Ru9bfLb?si=fe215c1105944164"
2016;"Globe Arena";"Czechia";"Gabriela Gunčíková";"I Stand";2;25;24;26;21;0;"https://youtu.be/wVy3rTNSN4Y?si=s48ZQX7FzYVQiu6I";"https://music.apple.com/gb/album/i-stand/1088299367?i=1088299374";"https://open.spotify.com/track/1rjlAtGiXwrJE8Tpj4lZ40?si=b39d308b239343cc"
2017;"International Exhibition Centre";"Czechia";"Martina Bárta";"My Turn";;;;;;;"https://youtu.be/-KT8_ZOHAXE?si=Bp9r-NU6pmeihJJi";"https://music.apple.com/gb/album/my-turn/1445057390?i=1445057391";"https://open.spotify.com/track/46akfgyewAFDiPtdPyJetE?si=574dc2bb93f34c27"
2018;"Lisbon Arena";"Czechia";"Mikolas Josef";"Lie to Me";14;6;15;4;66;215;"https://youtu.be/w0ZUuQe0shk?si=5DjUUf_oCd23aLiy";"https://music.apple.com/gb/album/lie-to-me/1368012412?i=1368013812";"https://open.spotify.com/track/5bCztCNsrQPQ2yvLUaMCMa?si=f1d737e1c442446d"
2019;"Expo Tel Aviv";"Czechia";"Lake Malawi";"Friend of a Friend";3;11;8;24;150;7;"https://youtu.be/NJxLKFZKhNs?si=ZLgYa4J3nSloLWaj";"https://music.apple.com/gb/album/friend-of-a-friend/1448276628?i=1448276634";"https://open.spotify.com/track/2U7Zc6NrWQgUWdBAIFrzdI?si=e8aea5844d784420"
2020;"Rotterdam Ahoy";"Czechia";"Benny Cristo";"Kemama";;;;;;;"https://youtu.be/3sYNmPkivyU?si=a_4ZqIjLzK6OsSxK";"https://music.apple.com/gb/album/kemama/1678590471?i=1678590586";"https://open.spotify.com/track/4FqOCZugj6T8rzwYvCmVro?si=83b5c91d5f184754"
2021;"Rotterdam Ahoy";"Czechia";"Benny Cristo";"Omaga";;;;;;;"https://youtu.be/cgGRCTUPsqY?si=iy7fgbrrfozbjr1a";;"https://open.spotify.com/track/0AriSxYRoQelGrFEmS1BWm?si=077bb8863f984a2f"
2022;"PalaOlimpico";"Czechia";"We Are Domi";"Lights Off";1;21;19;21;33;5;"https://youtu.be/EGRzSefqOm0?si=AZ56bKIQ_AObFW5d";"https://music.apple.com/gb/album/lights-off/1611024764?i=1611024770";"https://open.spotify.com/track/0tOKpglJb9cza4WdTtxsv7?si=c13d442f4e52449e"
2023;"Liverpool Arena";"Czechia";"Vesna";"My Sister's Crown";14;10;10;17;94;35;"https://youtu.be/ag8qxpvTTy0?si=dOTvqEecv2v4F7I2";"https://music.apple.com/gb/album/my-sisters-crown/1667294154?i=1667294156";"https://open.spotify.com/track/59md7R7fW5LjSbZITzzn3n?si=109a42e83067428e"
2024;"Malmö Isstadion";"Czechia";"Aiko";"Pedestal";;;;;;;"https://youtu.be/5DbRldMKFUU?si=Uaqo9YOJQ5LPAwL_";"https://music.apple.com/gb/album/pedestal/1703052088?i=1703052098";"https://open.spotify.com/track/3GNmo4ljOTnd8k6VKug1Ut?si=f5c3bef609424ed2"
