"sourceTable";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"placedDiff";"totalPoints";"pointsJury";"pointsTelevote";"pointsDiff";"youtubeLink";"appleMusicLink";"spotifyLink"
"1957";"Birthe Wilke and Gustav Winckler";"Skibet skal sejle i nat";9;3;3;;;10;10;;;"https://www.youtube.com/watch?v=vX3WRMF5TuY";"https://music.apple.com/gb/album/skibet-skal-sejle-i-nat-m-birthe-wilke/687085598?i=687085603";"https://open.spotify.com/track/0AoTZzRibPkpz7seGaC56r?si=11a70d0468a34313"
"1958";"Raquel Rastenni";"Jeg rev et blad ud af min dagbog";6;7;7;;;3;3;;;"https://youtu.be/IGMLrLgVmR0?si=41g-cRkpAKuLpOD5";"https://music.apple.com/gb/album/jeg-rev-et-blad-ud-af-min-dagbog/695568830?i=695570329";"https://open.spotify.com/track/4VyjhCkR2HmfVtGt1l7pR2?si=0d5c54e784604c60"
"1959";"Birthe Wilke";"Uh, jeg ville ønske, jeg var dig";2;5;5;;;12;12;;;"https://youtu.be/0HkweMhGKG8?si=ab9i0hdabo2SkCCz";"https://music.apple.com/gb/album/uh-jeg-ville-%C3%B8nske-jeg-var-dig/340477567?i=340477837";"https://open.spotify.com/track/0mdmV8lDT7G3rUNoAmiEAg?si=50d4f9dccf1c4bb3"
"1960";"Katy Bødtger";"Det var en yndig tid";4;8;8;;;4;4;;;"https://youtu.be/LCixvefxOAc?si=DOM-pjCihJUqxYjG";"https://music.apple.com/gb/album/det-var-en-yndig-tid/440260601?i=440260604";"https://open.spotify.com/track/490Aq1ZHViIPWSsCJG6MAc?si=6c731391e9b445c5"
"1961";"Dario Campeotto";"Angelique";13;5;5;;;12;12;;;"https://youtu.be/OdhVPUcimAM?si=yB2fisaO1S7aVvbU";"https://music.apple.com/gb/album/angelique/1442328355?i=1442328363";"https://open.spotify.com/track/7ETXytirTgnMJzyxl4e7UI?si=14f27a0665384da3"
"1962";"Ellen Winther";"Vuggevise";5;8;8;;;2;2;;;"https://youtu.be/fdEXLuIFSrA?si=oJ_Rw2P72zjRA4dW";"https://music.apple.com/gb/album/vuggevise/1053387687?i=1053387867";"https://open.spotify.com/track/2k5OAYsdVSjLmgHQxxfR5U?si=932190678c014e8f"
"1963";"Grethe and Jørgen Ingmann";"Dansevise";8;1;1;;;42;42;;;"https://youtu.be/tnxLqOGzCV8?si=EpAly4Lq2KfjzaOK";"https://music.apple.com/gb/album/dansevise/1676952462?i=1676956391";"https://open.spotify.com/track/1oIVUqdVUFouSa6xsSN5aM?si=3db89faa644947b7"
"1964";"Bjørn Tidmand";"Sangen om dig";4;8;8;;;4;4;;;"https://youtu.be/gJ3GR2usfwU?si=OqJsxd5NMY4BjE6w";"https://music.apple.com/gb/album/sangen-om-dig/690849357?i=690849430";"https://open.spotify.com/track/6lCkVHbcAtUgkB96mF3zl3?si=7f8aadd4745043c1"
"1965";"Birgit Brüel";"For din skyld";14;7;7;;;10;10;;;"https://youtu.be/Tzhuqr4nK7g?si=uz8gUVpOvhDIXVP6";;
"1966";"Ulla Pia";"Stop – Mens Legen Er God";2;10;10;;;4;4;;;"https://youtu.be/Wc6V8s9X6kg?si=9smP272YFG06AI3d";"https://music.apple.com/gb/album/stop-mens-legen-er-god/688307264?i=688308102";"https://open.spotify.com/track/3Q23AxQsI0eOk1GeauUS14?si=33f8c421a0454ade"
"1978";"Mabel";"Boom Boom";16;15;15;;;13;13;;;"https://youtu.be/c1beyeUnM14?si=AfAxzj9EaAMre5VY";"https://music.apple.com/gb/album/boom-boom/1442815613?i=1442816207";"https://open.spotify.com/track/5AlWrUcJpzbp7cw35uMz9u?si=a0c29fee4e9d4174"
"1979";"Tommy Seebach";"Disco Tango";3;6;6;;;76;76;;;"https://youtu.be/3osUz0OZEQE?si=6g0rz4nTZtgM-Nja";"https://music.apple.com/gb/album/disco-tango-engelsk-version/688483780?i=688485107";"https://open.spotify.com/track/5JpYM0yLDfKfoPWqydsqgj?si=154dbf3c5e41481d"
"1980";"Bamses Venner";"Tænker altid på dig";7;14;14;;;25;25;;;"https://youtu.be/wLZrwGZFeZc?si=7hZtSAbOhkM48NJ_";"https://music.apple.com/gb/album/t%C3%A6nker-altid-p%C3%A5-dig/1465701813?i=1465701994";"https://open.spotify.com/track/62DSbjMe33KVAKznlqhRvU?si=d54060734eed4b2b"
"1981";"Tommy Seebach and Debbie Cameron";"Krøller eller ej";6;11;11;;;41;41;;;"https://youtu.be/srHDi5EZ8wo?si=Ghf5PuR2zxpUd7Q_";"https://music.apple.com/gb/album/kr%C3%B8ller-eller-ej-feat-debbie-cameron/688483780?i=688484041";"https://open.spotify.com/track/1U2rUbWpZUo1hLWZJdkafq?si=843b5b46f6d04d4f"
"1982";"Brixx";"Video-Video";13;17;17;;;5;5;;;"https://youtu.be/jro_uqrUvCo?si=Us8ntSrUBA9_MFvM";"https://music.apple.com/gb/album/video-video/1491335270?i=1491335748";"https://open.spotify.com/track/3DVLhTPAXbi5n2Cw0QuHfp?si=e5c11ff27ca64e61"
"1983";"Gry Johansen";"Kloden drejer";15;15;15;;;16;16;;;"https://youtu.be/qU4fDyyMszc?si=HEM_En4AXV7oSXHe";;
"1984";"Hot Eyes";"Det' lige det";10;4;4;;;101;101;;;"https://youtu.be/P1cdkxzR_44?si=8KeeFoMEx2rtXLxz";"https://music.apple.com/gb/album/det-lige-det/689166940?i=689166995";
"1985";"Hot Eyes";"Sku' du spørg' fra no'en";4;11;11;;;41;41;;;"https://youtu.be/-0ddE9BGLXA?si=89avI00s101e0-rS";"https://music.apple.com/gb/album/sku-du-sp%C3%B8rg-fra-noen/1470162982?i=1470163061";"https://open.spotify.com/track/7hatNMrDdTFpEa9zQp4kAm?si=5db3bcbb48554d69"
"1986";"Lise Haavik";"Du er fuld af løgn";18;6;6;;;77;77;;;"https://youtu.be/ojyuEnhJEYY?si=ZtqV9KR0AKkMnV9M";;
"1987";"Bandjo with Anne-Cathrine Herdorf";"En lille melodi";19;5;5;;;83;83;;;"https://youtu.be/hp0IMZKMZlM?si=rloMgi4S7fVsHrJ_";;
"1988";"Hot Eyes";"Ka' du se hva' jeg sa'";13;3;3;;;92;92;;;"https://youtu.be/fb64JthBOmE?si=o2eYRZJL51jdyWwU";"https://music.apple.com/gb/album/ka-du-se-hva-jeg-sae/1457043025?i=1457043305";"https://open.spotify.com/track/1e1Oqi6AciRWGuMU8vlvd1?si=e892e020a42e4a1c"
"1989";"Birthe Kjær";"Vi maler byen rød";12;3;3;;;111;111;;;"https://youtu.be/lXLBF0EuWc8?si=xTNF69rIDSLGonlb";"https://music.apple.com/gb/album/vi-maler-byen-r%C3%B8d/1214927362?i=1214927642";"https://open.spotify.com/track/4y17RRSyxfxfL1rYoGUFxO?si=11785b7c189d4359"
"1990";"Lonnie Devantier";"Hallo Hallo";11;7;7;;;64;64;;;"https://youtu.be/3M80wQtpQOw?si=AeWmFG0la7pCqmkI";;
"1991";"Anders Frandsen";"Lige der hvor hjertet slår";13;17;17;;;8;8;;;"https://youtu.be/0_xIqvlPx9Y?si=ReimiUSfVts-AM3E";"https://music.apple.com/gb/album/lige-der-hvor-hjertet-sl%C3%A5r/945576694?i=945576719";"https://open.spotify.com/track/03fKnIb01IC1rrU0PnPbDL?si=f09d12fc07da46db"
"1992";"Lotte Nilsson and Kenny Lübcke";"Alt det som ingen ser";18;12;12;;;47;47;;;"https://youtu.be/ckIGEds7iDo?si=Enq3Hx3shg8Uwn4V";;
"1993";"Seebach Band";"Under stjernerne på himlen";5;22;22;;;9;9;;;"https://youtu.be/EB5YJlVcI-s?si=d7qKiV_9OUa5PET1";"https://music.apple.com/gb/album/under-stjernerne-p%C3%A5-himlen/1475895826?i=1475896420";"https://open.spotify.com/track/6gZIsCm2cTlVX6bXcmkRUT?si=d291f46b37fd4063"
"1995";"Aud Wilken";"Fra Mols til Skagen";19;5;5;;;92;92;;;"https://youtu.be/5shX3YM3Uho?si=dbtO7AamlwQ3x4ty";;
"1997";"Kølig Kaj";"Stemmen i mit liv";21;15;16;9;7;25;15;10;5;"https://youtu.be/8o4JS_EWiJo?si=5uu12ofXqY8loHqW";"https://music.apple.com/gb/album/stemmen-i-mit-liv/690590292?i=690591426";"https://open.spotify.com/track/324qUNJiRbaVHSOsPIrkGW?si=b9be33edc9eb46cb"
