"year";"venue_name";"country_name";"artist_name";"song_name";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
1994;"Point Theatre";"Estonia";"Silvi Vrait";"Nagu merelaine";10;24;24;;2;;"https://youtu.be/6kcB60LSXj0?si=4wYt6TKSVLmx2PKr";;
1996;"Oslo Spektrum";"Estonia";"Maarja-Liis Ilus and Ivo Linna";"Kaelakee hääl";11;5;5;;94;;"https://youtu.be/0rRMOaZ_RpA?si=UcZRcCi6LJqxJULw";;
1997;"Point Theatre";"Estonia";"Maarja";"Keelatud maa";13;8;10;4;58;24;"https://youtu.be/3Ry_q3ZrlHk?si=HfRJqlihBLVehWMv";"https://music.apple.com/gb/album/keelatud-maa/736088135?i=736088407";"https://open.spotify.com/track/5y4iUZqghKCbLCLwPNNVIm?si=6598bdbe7f1443f4"
1998;"National Indoor Arena";"Estonia";"Koit Toome";"Mere lapsed";23;11;12;10;4;32;"https://youtu.be/OwgyoRn9jQc?si=tg_TybBYb6PGgULc";;
1999;"International Convention Center";"Estonia";"Evelin Samuel and Camille";"Diamond of Night";23;6;9;7;12;78;"https://youtu.be/GY4Vh-ROPu8?si=1lzenroAUwhdiy3p";;
2000;"Globe Arena";"Estonia";"Ines";"Once in a Lifetime";4;4;4;6;25;73;"https://youtu.be/6JDTFuorUbA?si=wGMuCkQOJer7UaqU";;"https://open.spotify.com/track/19Y42jcrqN5vAVNUo89umu?si=4387610edcce4fcd"
2001;"Parken Stadium";"Estonia";"Tanel Padar, Dave Benton and 2XL";"Everybody";20;1;1;1;35;163;"https://youtu.be/IEQa8Q9x5Ag?si=ejAef6bONbstogbx";;
2002;"Saku Suurhall";"Estonia";"Sahlene";"Runaway";8;2;3;4;44;67;"https://youtu.be/tky7vWXSZrs?si=hvkPI49qAbtZ1Dlo";"https://music.apple.com/gb/album/runaway/132643340?i=132643511";"https://open.spotify.com/track/7uSeUTnMWH7CgEyl2rNtMC?si=9737e3d1d0164369"
2003;"Skonto Olympic Hall";"Estonia";"Ruffus";"Eighties Coming Back";23;21;8;23;10;4;"https://youtu.be/foK_HYuVCPY?si=TN2oMwQuBziXG4ew";;
2004;"Abdi İpekçi Arena";"Estonia";"Neiokõsõ";"Tii";;;;;;;"https://youtu.be/W-SFQaPP6kg?si=adkoSj4OXflCYns_";;
2005;"Palace of Sports";"Estonia";"Suntribe";"Let's Get Loud";;;;;;;"https://youtu.be/mqvOUfdwQtw?si=54pe7YSlzvQ5phd6";"https://music.apple.com/gb/album/lets-get-loud/910824135?i=910824474";"https://open.spotify.com/track/3JHiig0n7BYHfgetGexOKm?si=cf5c45bb920e43d0"
2006;"Olympic Indoor Hall";"Estonia";"Sandra";"Through My Window";;;;;;;"https://youtu.be/zOybfT_x8Sc?si=Ham1ZMGFNSTtfUNH";"https://music.apple.com/gb/album/through-my-window/204680544?i=204680548";"https://open.spotify.com/track/2VLFP88L1HB99zAS3PH9aT?si=8501e63c91384c79"
2007;"Hartwall Arena";"Estonia";"Gerli Padar";"Partners in Crime";;;;;;;"https://youtu.be/U_ESE5inG-I?si=H6iFnyLcfPqBKmrh";"https://music.apple.com/gb/album/partners-in-crime/898645654?i=898645662";"https://open.spotify.com/track/7zvIq9ZoCDxhG9Qf2esTUp?si=450d452ea3c74334"
2008;"Belgrade Arena";"Estonia";"Kreisiraadio";"Leto svet";;;;;;;"https://youtu.be/LRh9PzNYD-8?si=JRS4B8AgEt0Z1han";;
2009;"Olimpiysky Arena";"Estonia";"Urban Symphony";"Rändajad";15;6;5;6;124;129;"https://youtu.be/gi0FEO2tFFA?si=BSIgGpdbiPIlLOZJ";"https://music.apple.com/gb/album/r%C3%A4ndajad/317062607?i=317062615";"https://open.spotify.com/track/6IiZBBFqyyK3CLo9BqmmAH?si=0c773029eb944479"
2010;"Telenor Arena";"Estonia";"Malcolm Lincoln";"Siren";;;;;;;"https://youtu.be/yFbVAQjESzE?si=2Rb2wbSP61wrYeWH";;
2011;"Düsseldorf Arena";"Estonia";"Getter Jaani";"Rockefeller Street";8;24;18;23;74;32;"https://youtu.be/vOIXQskfy6o?si=U7JKAsTyE8hBs45H";"https://music.apple.com/gb/album/rockefeller-street/416841768?i=416841773";"https://open.spotify.com/track/4rvFyA7h88s8DehCOjqW9K?si=b45c79ef0f0b4e68"
2012;"Baku Crystal Hall";"Estonia";"Ott Lepland";"Kuula";11;6;6;11;152;87;"https://youtu.be/T7BaTBe0UD8?si=DSQTqUcNq1CKfJuu";"https://music.apple.com/gb/album/kuula-eurovisiooni-versioon/588798048?i=588798086";"https://open.spotify.com/track/4AKJSL7TqJ1JwSdTMm45ht?si=65699e4e3d0d4817"
2013;"Malmö Isstadion";"Estonia";"Birgit";"Et uus saaks alguse";7;;16;24;;;"https://youtu.be/Ooo6GvZNLhI?si=DbI_R2GZKK3uSZHc";"https://music.apple.com/gb/album/et-uus-saaks-alguse/766759078?i=766759138";"https://open.spotify.com/track/1w1jGtu195Gl7yHHvddywa?si=0b1ef010f04c491e"
2014;"B&W Hallerne";"Estonia";"Tanja";"Amazing";;;;;;;"https://youtu.be/wi9Q1ufjooE?si=5L_HW3P5ASqiHsbb";"https://music.apple.com/gb/album/amazing/1062885562?i=1062885564";"https://open.spotify.com/track/3St8xzBfZyXQ6NMgH1bYQZ?si=30bb33a20c4644e4"
2015;"Wiener Stadthalle";"Estonia";"Elina Born and Stig Rästa";"Goodbye to Yesterday";4;8;11;5;56;144;"https://youtu.be/Xsx_dIJOtgI?si=i0Eu8_z49Ay1lpLh";"https://music.apple.com/gb/album/goodbye-to-yesterday/956461143?i=956461150";"https://open.spotify.com/track/0RSkLhxAc601EgeKkyXNVB?si=f90e33a87b594de5"
2016;"Globe Arena";"Estonia";"Jüri Pootsmann";"Play";;;;;;;"https://youtu.be/g0-j0Eh8VNA?si=ZWppHuOd6sHmhbC5";"https://music.apple.com/gb/album/play/1444408782?i=1444408798";"https://open.spotify.com/track/3tX3JXpYEJp8xKXxaNRN0a?si=817d56f9fd754788"
2017;"International Exhibition Centre";"Estonia";"Koit Toome and Laura";"Verona";;;;;;;"https://youtu.be/NxqPpzWYN1c?si=zEgyUKqIPKFIV2iN";"https://music.apple.com/gb/album/verona-eurovision-2017-estonia/1224987849?i=1224988108";"https://open.spotify.com/track/7o2z6XCnmhVG9OWyeCpN51?si=7f8a4d1ba5634773"
