"year","venue_name","country_name","artist_name","song_name","runningOrder","placed","placedJury","placedTelevote","pointsJury","pointsTelevote","youtubeLink","appleMusicLink","spotifyLink"
1961,"Palais des Festivals","Finland","Laila Kinnunen","Valoa ikkunassa",4,10,10,NULL,6,NULL,"https://youtu.be/xMu44znU-8A?si=H8cHmrAMIkM8YXIT","https://music.apple.com/gb/album/valoa-ikkunassa/257208222?i=257209286","https://open.spotify.com/track/5ePzm2kj1yhoHXQt7Wg9nD?si=a639f45579f844fc"
1962,"Villa Louvigny","Finland","Marion Rung","Tipi-tii",1,7,7,NULL,4,NULL,"https://youtu.be/vn3ufKi2PXw?si=-5chakgeVQz8WItq","https://music.apple.com/gb/album/tipi-tii/250393069?i=250393079","https://open.spotify.com/track/7r0GgmwNre1NtsrRA00bMa?si=0eda938bd9d744b1"
1963,"BBC Television Centre","Finland","Laila Halme","Muistojeni laulu",7,13,13,NULL,0,NULL,"https://youtu.be/632aaGy8QGk?si=8wY6chN-E_HTeDRE","https://music.apple.com/gb/album/muistojeni-laulu/250393069?i=250393119","https://open.spotify.com/track/0Tims1bz7uG5VrLV4isIG5?si=bdc532e8aeb84f62"
1964,"Tivolis Koncertsal","Finland","Lasse Mårtenson","Laiskotellen",5,7,7,NULL,9,NULL,"https://youtu.be/az0qmvY29mo?si=an0Jt9KCE1QfgniK","https://music.apple.com/gb/album/laiskotellen/271020489?i=271020560","https://open.spotify.com/track/26ACOyaiNueF0t2p3VxMrs?si=f719625d19cb4cff"
1965,"Sala di Concerto della RAI","Finland","Viktor Klimenko","Aurinko laskee länteen",16,15,15,NULL,0,NULL,"https://youtu.be/YxC-ieoMj8A?si=62i7i10qNO1uEzPc","https://music.apple.com/gb/album/aurinko-laskee-l%C3%A4nteen/211102562?i=211102914","https://open.spotify.com/track/5XOlicvifsYZXaMuJJBv7Q?si=f58eab321e1b4f60"
1966,"Villa Louvigny","Finland","Ann-Christine","Playboy",7,10,10,NULL,7,NULL,"https://youtu.be/qib45U2DxPc?si=0hhfylyIczgFC3eW","https://music.apple.com/gb/album/playboy/209398357?i=209398800","https://open.spotify.com/track/5N3pCkqt7aWtFsvxcBi6Bv?si=bafdfaea6ecc42c9"
1967,"Großer Festsaal der Wiener Hofburg","Finland","Fredi","Varjoon – suojaan",8,12,12,NULL,3,NULL,"https://youtu.be/-GrU7Jfc9HM?si=nl0Zd6oU_lQbUrCw","https://music.apple.com/gb/album/varjoon-suojaan/209386371?i=209386398","https://open.spotify.com/track/7GaBWkzawVsNZdD1JrLSt6?si=02a9426e8ac44788"
1968,"Royal Albert Hall","Finland","Kristina Hautala","Kun kello käy",9,16,16,NULL,1,NULL,"https://youtu.be/3ADgVukcSiU?si=N5D2gtwpSv0haCwg","https://music.apple.com/gb/album/kun-kello-k%C3%A4y/269842006?i=269842346","https://open.spotify.com/track/2KI9w9GLsjAogCCRYxlCOq?si=62886a5e43cd4e53"
1969,"Teatro Real","Finland","Jarkko and Laura","Kuin silloin ennen",16,12,12,NULL,6,NULL,"https://youtu.be/6Gd-yAdud1I?si=Q0sSY_YMWfH_G-3I","https://music.apple.com/gb/album/kuin-silloin-ennen/270726544?i=270726769","https://open.spotify.com/track/2X1lTPfQPqlylzpGzvaR7E?si=a0f118b0c62b4a6e"
1971,"Gaiety Theatre","Finland","Markku Aro and Koivisto Sisters","Tie uuteen päivään",17,8,8,NULL,84,NULL,"https://youtu.be/V_11CcVeSH0?si=Nud8ltBPa9kTSh8H","https://music.apple.com/gb/album/tie-uuteen-p%C3%A4iv%C3%A4%C3%A4n-with-koivistolaiset/274556175?i=274556480","https://open.spotify.com/track/50wOn0ORb7EgqB4OmNpiM4?si=a2bf99551296493e"
1972,"Usher Hall","Finland","Päivi Paunu and Kim Floor","Muistathan",10,12,12,NULL,78,NULL,"https://youtu.be/MYkCIo_a9yc?si=AdJOuYiXeeAYaIc6","https://music.apple.com/gb/album/muistathan/252670324?i=252671174","https://open.spotify.com/track/72AEPIAsa99YBXPFtg5Ryy?si=dff1a41aa5ef40cb"
1973,"Théâtre Municipal","Finland","Marion Rung","Tom Tom Tom",1,6,6,NULL,93,NULL,"https://youtu.be/saGZ1djM1qo?si=RLxA-rN6HBezdelL","https://music.apple.com/gb/album/tom-tom-tom/713746670?i=713746725","https://open.spotify.com/track/6RmQAH2rTWc6a49GeOO2q9?si=4ca392ffa00f425c"
1974,"Brighton Dome","Finland","Carita","Keep Me Warm",1,13,13,NULL,4,NULL,"https://youtu.be/UIoOiymvwdw?si=wPiZ_k76W4MSrBI-",NULL,NULL
1975,"St. Eriks Mässan","Finland","Pihasoittajat","Old Man Fiddle",15,7,7,NULL,74,NULL,"https://youtu.be/luNTJefNlKU?si=UiW0OwRHDKlFRQvq",NULL,NULL
