"SourceTable","Artist","Song","runningOrder","placed","placedJury","placedTelevote","placedDiff","totalPoints","pointsJury","pointsTelevote","pointsDiff","youtubeLink","appleMusicLink"
"1956","Mathé Altéry","Le Temps perdu",5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://www.youtube.com/watch?v=x1e8gPquGVY",NULL
"1956","Dany Dauberson","Il est là",12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://www.youtube.com/watch?v=9PG4gAPxs18",NULL
"1957","Paule Desjardins","La Belle amour",8,2,2,NULL,NULL,17,17,NULL,NULL,"https://www.youtube.com/watch?v=g2-XDnBHEbc","https://music.apple.com/gb/album/la-belle-amour-feat-paul-durand-et-son-orchestre/912970999?i=912971046"
"1958","André Claveau","Dors mon amour",3,1,1,NULL,NULL,27,27,NULL,NULL,NULL,NULL
"1959","Jean Philippe","Oui oui oui oui",1,3,3,NULL,NULL,15,15,NULL,NULL,NULL,NULL
"1960","Jacqueline Boyer","Tom Pillibi",13,1,1,NULL,NULL,32,32,NULL,NULL,NULL,NULL
"1961","Jean-Paul Mauric","Printemps (avril carillonne)",9,4,4,NULL,NULL,13,13,NULL,NULL,NULL,NULL
"1962","Isabelle Aubret","Un premier amour",9,1,1,NULL,NULL,26,26,NULL,NULL,NULL,NULL
"1963","Alain Barrière","Elle était si jolie",11,5,5,NULL,NULL,25,25,NULL,NULL,NULL,NULL
"1964","Rachel","Le Chant de Mallory",7,4,4,NULL,NULL,14,14,NULL,NULL,NULL,NULL
"1965","Guy Mardel","N'avoue jamais",11,3,3,NULL,NULL,22,22,NULL,NULL,NULL,NULL
"1966","Dominique Walter","Chez nous",15,12,12,NULL,NULL,1,1,NULL,NULL,NULL,NULL
"1967","Noëlle Cordier","Il doit faire beau là-bas",4,3,3,NULL,NULL,20,20,NULL,NULL,NULL,NULL
"1968","Isabelle Aubret","La Source",10,3,3,NULL,NULL,20,20,NULL,NULL,NULL,NULL
"1969","Frida Boccara","Un jour, un enfant",14,1,1,NULL,NULL,18,18,NULL,NULL,NULL,NULL
"1970","Guy Bonnet","Marie-Blanche",6,4,4,NULL,NULL,8,8,NULL,NULL,NULL,NULL
"1971","Serge Lama","Un jardin sur la terre",7,9,9,NULL,NULL,82,82,NULL,NULL,NULL,NULL
"1972","Betty Mars","Comé-comédie",2,11,11,NULL,NULL,81,81,NULL,NULL,NULL,NULL
"1973","Martine Clémenceau","Sans toi",16,13,13,NULL,NULL,65,65,NULL,NULL,NULL,NULL
"1975","Nicole","Et bonjour à toi l'artiste",3,4,4,NULL,NULL,91,91,NULL,NULL,NULL,NULL
"1976","Catherine Ferry","Un, deux, trois",17,2,2,NULL,NULL,147,147,NULL,NULL,NULL,NULL
"1977","Marie Myriam","L'Oiseau et l'Enfant",18,1,1,NULL,NULL,136,136,NULL,NULL,NULL,NULL
"1978","Joël Prévost","Il y aura toujours des violons",6,3,3,NULL,NULL,119,119,NULL,NULL,NULL,NULL
"1979","Anne-Marie David","Je suis l'enfant soleil",11,3,3,NULL,NULL,106,106,NULL,NULL,NULL,NULL
"1980","Profil","Hé, hé m'sieurs dames",16,11,11,NULL,NULL,45,45,NULL,NULL,NULL,NULL
"1981","Jean Gabilou","Humanahum",9,3,3,NULL,NULL,125,125,NULL,NULL,NULL,NULL
"1983","Guy Bonnet","Vivre",1,8,8,NULL,NULL,56,56,NULL,NULL,NULL,NULL
"1984","Annick Thoumazeau","Autant d'amoureux que d'étoiles",3,7,7,NULL,NULL,61,61,NULL,NULL,NULL,NULL
"1985","Roger Bens","Femme dans ses rêves aussi",6,10,10,NULL,NULL,56,56,NULL,NULL,NULL,NULL
