"year";"venue_name";"country_name";"artist_name";"song_name";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
2007;"Hartwall Arena";"Georgia";"Sopho";"Visionary Dream";11;12;19;12;0;97;"https://youtu.be/EHImNpPta7M?si=6rRdCuLxYeZEKrj3";;
2008;"Belgrade Arena";"Georgia";"Diana Gurtskaya";"Peace Will Come";17;11;11;11;0;83;"https://youtu.be/paPjkp6s2u8?si=1uM4lo-kVPa6Uuyc";;
2010;"Telenor Arena";"Georgia";"Sofia Nizharadze";"Shine";13;5;4;9;160;127;"https://youtu.be/y5yTMGxFiPw?si=n5M5o3yU7kcat9f3";"https://music.apple.com/gb/album/shine/811936965?i=811936984";"https://open.spotify.com/track/4X2DjLtq0XEj4ukogWZCAv?si=430656392156489b"
2011;"Düsseldorf Arena";"Georgia";"Eldrine";"One More Day";25;10;16;7;79;138;"https://youtu.be/s2EwiTBiEDU?si=r_CeT9uUvB70QgM2";;"https://open.spotify.com/track/1pWm08q3oWv09VmRfLeGbV?si=1d515a2d90af4b29"
2012;"Baku Crystal Hall";"Georgia";"Anri Jokhadze";"I'm a Joker";;;;;;;"https://youtu.be/xfpKnMBjdrU?si=O1YkfsMw8a-C5E4X";;
2013;"Malmö Isstadion";"Georgia";"Nodi Tatishvili and Sophie Gelovani";"Waterfall";25;;13;23;;;"https://youtu.be/-n3mwx0vQDE?si=k6mQ4FWHO23p-96V";;
2014;"B&W Hallerne";"Georgia";"The Shin and Mariko";"Three Minutes to Earth";;;;;;;"https://youtu.be/0v69AvCQJQY?si=88h_4VDJ6bSPFP6D";;
2015;"Wiener Stadthalle";"Georgia";"Nina Sublatti";"Warrior";23;12;10;13;62;51;"https://youtu.be/gWgDzQ0mWTg?si=eLHDcKgcyqTN-dMx";"https://music.apple.com/gb/album/warrior-eurovision-2015-georgia/1481950126?i=1481950135";"https://open.spotify.com/track/7yU7FlMnnLHEnOVxMmQLCQ?si=7da50051fe994325"
2016;"Globe Arena";"Georgia";"Nika Kocharov and Young Georgian Lolitaz";"Midnight Gold";23;20;14;20;80;24;"https://youtu.be/rviE2-9eiTI?si=2l6hS-w3ZC25TAph";;
2017;"International Exhibition Centre";"Georgia";"Tamara Gachechiladze";"Keep the Faith";;;;;;;"https://youtu.be/agSS_a3ccgA?si=fCFPv7CKML10GBrp";"https://music.apple.com/gb/album/keep-the-faith/1445023633?i=1445023638";"https://open.spotify.com/track/1VlyOHFito6ioGEA26PZ3f?si=423c1f532cee410a"
2018;"Lisbon Arena";"Georgia";"Ethno-Jazz Band Iriao";"For You";;;;;;;"https://youtu.be/FvVx5-mzmm0?si=mkPfBQWzvujWE3G7";"https://music.apple.com/gb/album/for-you/1364173637?i=1364173641";"https://open.spotify.com/track/6qE0K1nD4YlXup3KCcP9Qw?si=e8bd20b4d4cd4809"
2019;"Expo Tel Aviv";"Georgia";"Oto Nemsadze";"Keep On Going";;;;;;;"https://youtu.be/vu4nHsaAJwU?si=qFtNFRnqgMD_FLae";"https://music.apple.com/gb/album/keep-on-going/1457677963?i=1457678341";"https://open.spotify.com/track/2vs3g4jUwlyhOv12wAtu2L?si=c85e7531d36c4842"
2020;"Rotterdam Ahoy";"Georgia";"Tornike Kipiani";"Take Me as I Am";;;;;;;"https://youtu.be/LjNK4Xywjc4?si=Ma2INizzUHigW7q_";"https://music.apple.com/gb/album/take-me-as-i-am/1502723907?i=1502723910";"https://open.spotify.com/track/3sXZrgz3ibbszEjYe8Ovqd?si=320f01b230df4939"
2021;"Rotterdam Ahoy";"Georgia";"Tornike Kipiani";"You";;;;;;;"https://youtu.be/5qnogt74_F8?si=9psvL06U1ef5veMp";"https://music.apple.com/gb/album/you/1558357684?i=1558357685";"https://open.spotify.com/track/3OUWYnsRv8pDmoCyEq2SFo?si=efa0438e8e894462"
2022;"PalaOlimpico";"Georgia";"Circus Mircus";"Lock Me In";;;;;;;"https://youtu.be/zXiZAbqETvk?si=RnOl_s5xmkCgXCdI";"https://music.apple.com/gb/album/lock-me-in/1614865625?i=1614865844";"https://open.spotify.com/track/7ed3JsAPk6u0NjRhylnKmY?si=7d8a5a89aadd49af"
2023;"Liverpool Arena";"Georgia";"Iru";"Echo";;;;;;;"https://youtu.be/HNvGZeEQvfc?si=c35bOle3G7ynDwoM";"https://music.apple.com/gb/album/echo-eurovision-2023-georgia/1677738813?i=1677739066";"https://open.spotify.com/track/388LVXGVL3VLrd6C7lKjcp?si=44b5527c18b745f2"
2024;"Malmö Isstadion";"Georgia";"Nutsa Buzaladze";"Firefighter";24;21;21;18;15;19;"https://youtu.be/blMwY8Jabyk?si=iBL27IeWxfrnL41r";"https://music.apple.com/gb/album/firefighter/1735362825?i=1735362826";"https://open.spotify.com/track/5Ekw4o2ecrOCBF5rGB7KXs?si=9c5509e1261b42df"
