"year";"venue";"countryname";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
1956;"Teatro Kursaal";"Germany";"Freddy Quinn";"So geht das jede Nacht";11;NULL;NULL;NULL;NULL;NULL;"https://www.youtube.com/watch?v=eZIdJT1POUA";"https://music.apple.com/gb/album/so-geht-das-jede-nacht/619820489?i=619820492";"https://open.spotify.com/track/3m57DgqNNc2MRfKr38hWPb?si=77a2101b40aa45c2"
1956;"Teatro Kursaal";"Germany";"Walter Andreas Schwarz";"Im Wartesaal zum großen Glück";4;NULL;NULL;NULL;NULL;NULL;"https://www.youtube.com/watch?v=EfZ6_7iNBqs";"https://music.apple.com/gb/album/im-wartesaal-zum-gro%C3%9Fen-gl%C3%BCck/253394176?i=253394181";"https://open.spotify.com/track/6GEjmkRXCf0WCWptS9sRGb?si=2f141e846ddb4ddf"
1957;"Großer Sendesaal des Hessischen Rundfunks";"Germany";"Margot Hielscher";"Telefon, Telefon";7;4;4;NULL;8;NULL;"https://www.youtube.com/watch?v=10lsFbkF7t8";NULL;"https://open.spotify.com/track/21Rc1BtK7weDmW2caDLWus?si=1c3250c1ccb54971"
1958;"AVRO Studios";"Germany";"Margot Hielscher";"Für zwei Groschen Musik";8;6;6;NULL;5;NULL;"https://youtu.be/MWBom51Xcrw?si=kQC1nu8NbW0Occzx";"https://music.apple.com/gb/album/f%C3%BCr-zwei-groschen-musik/655451929?i=655452430";"https://open.spotify.com/track/48nojSthHSaFO10qShtjYS?si=f852899326674937"
1959;"Palais des Festivals";"Germany";"Alice and Ellen Kessler";"Heut' woll'n wir tanzen geh'n";6;7;7;NULL;5;NULL;"https://youtu.be/aJSN68U31l4?si=9lZ43WDEHTQYOe6B";NULL;"https://open.spotify.com/track/1g6R2EnizTWcwuAKssrUCL?si=6691d86a7bec4cfb"
1960;"Royal Festival Hall";"Germany";"Wyn Hoop";"Bonne nuit ma chérie";11;4;4;NULL;11;NULL;"https://youtu.be/5MzOUfAl_lw?si=2YZkk7RRbsfkF1AS";NULL;"https://open.spotify.com/track/7JVj2i6ksSGlvoLz4LAyEu?si=38a9dead29614f67"
1961;"Palais des Festivals";"Germany";"Lale Andersen";"Einmal sehen wir uns wieder";8;10;10;NULL;3;NULL;"https://youtu.be/FGAfCD0mzVc?si=lyK3mUx4WWDsphNn";"https://music.apple.com/gb/album/einmal-sehen-wir-uns-wieder/1081320511?i=1081320923";"https://open.spotify.com/track/3FqZT5g5ijobgSQK04TyGT?si=7f2f0d9529d94010"
1962;"Villa Louvigny";"Germany";"Conny Froboess";"Zwei kleine Italiener";7;5;5;NULL;9;NULL;"https://youtu.be/CudM7KUkXms?si=SaHVOs8FsYxcU7xb";"https://music.apple.com/gb/album/zwei-kleine-italiener/714012639?i=714012834";"https://open.spotify.com/track/2v3TG35plidR486Cltpgxs?si=e159b3f56495476d"
1963;"BBC Television Centre";"Germany";"Heidi Brühl";"Marcel";3;8;8;NULL;5;NULL;"https://youtu.be/XA_SIOCX-l0?si=sq90NE88ILL26_A-";"https://music.apple.com/gb/album/marcel/1632531503?i=1632531920";"https://open.spotify.com/track/0SpyNg7omYR3Vo0DFVQhYs?si=3b34c116f0f546f1"
1964;"Tivolis Koncertsal";"Germany";"Nora Nova";"Man gewöhnt sich so schnell an das Schöne";9;11;11;NULL;0;NULL;"https://youtu.be/xFFiqaB30t8?si=sGc3DojseMDu4hZy";NULL;NULL
