"year","venue","countryname","artist","song","runningOrder","placed","placedJury","placedTelevote","pointsJury","pointsTelevote","youtubeLink","appleMusicLink","spotifyLink"
1974,"Brighton Dome","Greece","Marinella","Krassi, thalassa ke t' agori mou",5,7,7,NULL,7,NULL,"https://youtu.be/gG4SeyE05GQ?si=aOztHCqPtpR5M2Jq","https://music.apple.com/gb/album/krasi-thalassa-kai-t-agori-mou/1592501087?i=1592501287","https://open.spotify.com/track/0pvtrFkx4j5VbxnNBHmuzE?si=3f64a4a4749445ab"
1976,"Nederlands Congresgebouw","Greece","Mariza Koch","Panaghia mou, panaghia mou",10,13,13,NULL,20,NULL,"https://youtu.be/HiHObibSvmc?si=25lin9sFy3woQafT",NULL,"https://open.spotify.com/track/3lcgn8yJcOPZtBpAnLe5ck?si=9a55851e75c94293"
1977,"Wembley Conference Centre","Greece","Pascalis, Marianna, Robert and Bessy","Mathema solfege",10,5,5,NULL,92,NULL,"https://youtu.be/ov6n4OkF7EE?si=s26E92C7YaWn2TYq","https://music.apple.com/gb/album/mathima-solfez-feat-paschalis-marianne-robert-bessy/1601763385?i=1601763392","https://open.spotify.com/track/3dbavuu1mHOSbm51LaYJ2W?si=d20cf5a7b46346ea"
1978,"Palais des Congrès","Greece","Tania Tsanaklidou","Charlie Chaplin",15,8,8,NULL,66,NULL,"https://youtu.be/iQAUlN2Cgps?si=uA7DwKO5vGLcpycK",NULL,"https://open.spotify.com/track/2BcjzwGE9Nwoqe6rqplYxD?si=c15d71d5bcc548b3"
1979,"International Convention Center","Greece","Elpida","Socrates",7,8,8,NULL,69,NULL,"https://youtu.be/vx4Odfzrrzk?si=bHDZ9C9wZih97FHi",NULL,"https://open.spotify.com/track/0Jd0462vatmBiMP1D0PeJA?si=28e6637f5f0f428d"
1980,"Nederlands Congresgebouw","Greece","Anna Vissi and the Epikouri","Autostop",3,13,13,NULL,30,NULL,"https://youtu.be/I0U-mcz286w?si=VfwVtd6X-ngGHWL_",NULL,"https://open.spotify.com/track/5CJLIycRVcRIc4T9WfyVmM?si=7cd76427dfd64243"
1981,"RDS Simmonscourt Pavilion","Greece","Yiannis Dimitras","Feggari kalokerino",17,8,8,NULL,55,NULL,"https://youtu.be/-cuf1yoHO0Y?si=BUpyfc3ewqHk8dmI","https://music.apple.com/gb/album/feggari-kalokairino/1736147616?i=1736149243",NULL
1983,"Rudi-Sedlmayer-Halle","Greece","Christie","Mou les",10,12,12,NULL,32,NULL,"https://youtu.be/Bu2vkIBp64o?si=FFyWew7q0EFmNFy6",NULL,NULL
1985,"Scandinavium","Greece","Takis Biniaris","Miazoume",19,15,15,NULL,15,NULL,"https://youtu.be/_HIqrWzh75w?si=lvXcwAaSX-iP3GGO",NULL,NULL
1987,"Palais de Centenaire","Greece","Bang","Stop",11,9,9,NULL,64,NULL,"https://youtu.be/IC_avvTCizY?si=5Q6f5NOCOFTjfOrV",NULL,"https://open.spotify.com/track/4g4kkEPeUIMYplFu63Zg5D?si=d66cee6224634f5a"
