"year";"venue";"countryname";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
1986;"Grieghallen";"Iceland";"ICY";"Gleðibankinn";6;16;16;NULL;19;NULL;"https://youtu.be/yliSZDpIx0g?si=GOldlB1ji1xuO7QZ";"https://music.apple.com/gb/album/gle%C3%B0ibankinn/1631600117?i=1631600548";"https://open.spotify.com/track/7EZ5O1RfLabnP2aN0eE2KG?si=5d49cd05fdf749db"
1987;"Palais de Centenaire";"Iceland";"Halla Margrét";"Hægt og hljótt";4;15;15;NULL;28;NULL;"https://youtu.be/0VIv1kJ6BLk?si=vnDFt9zsIR1Qvfws";"https://music.apple.com/gb/album/h%C3%A6gt-og-hlj%C3%B3tt/1628041692?i=1628041714";"https://open.spotify.com/track/6n5qutFEbYRum5az62qL9C?si=7f61b073256044a8"
1988;"RDS Simmonscourt Pavilion";"Iceland";"Beathoven";"Sókrates";1;15;15;NULL;20;NULL;"https://youtu.be/ANeD88VG6UI?si=-RTLQ7N1NCcYAxYT";"https://music.apple.com/gb/album/%C3%BE%C3%BA-og-%C3%BEeir-s%C3%B3krates/1631600117?i=1631601803";"https://open.spotify.com/track/3m2syeQ72Sk5xQmpAadHDp?si=cd178e3a68194f4c"
1989;"Palais de Beaulieu";"Iceland";"Daniel";"Það sem enginn sér";20;21;21;NULL;0;NULL;"https://youtu.be/0UQfCtIxn_s?si=X_6rvqExkM_9qWCW";"https://music.apple.com/gb/album/%C3%BEa%C3%B0-sem-enginn-s%C3%A9r/1628041692?i=1628041850";"https://open.spotify.com/track/0W77ehkEm29QLqUyUqUdZX?si=3b95209e704f442a"
1990;"Koncertna Dvorana Vatroslav Lisinski";"Iceland";"Stjórnin";"Eitt lag enn";8;3;3;NULL;124;NULL;"https://youtu.be/B5P5T8taig4?si=ncEN5YAMRbqF6oGM";"https://music.apple.com/gb/album/eitt-lag-enn/1061749555?i=1061749746";"https://open.spotify.com/track/60RuosVixhawXh4M3fDq5y?si=a1b74885a5ae41ff"
1991;"Studio 15 di Cinecittà";"Iceland";"Stefán and Eyfi";"Nína";2;13;13;NULL;26;NULL;"https://youtu.be/CvwMxBRIZJw?si=BcMpSFMc8ztQ7E4B";"https://music.apple.com/gb/album/nina-icelandic-version/1621361317?i=1621361323";"https://open.spotify.com/track/2K98Uk6TVYFIO26yd86rAN?si=92d1f49d51204243"
1992;"Malmö Isstadion";"Iceland";"Heart 2 Heart";"Nei eða já";11;7;7;NULL;80;NULL;"https://youtu.be/_2DiHMsHMns?si=2-CyIjGMHvDVxpnJ";"https://music.apple.com/gb/album/nei-e%C3%B0a-j%C3%A1/1654361180?i=1654361188";"https://open.spotify.com/track/3Z6xItpdI6E5y3SysjT2Cs?si=3aca33d628494e56"
1993;"Green Glens Arena";"Iceland";"Inga";"Þá veistu svarið";9;13;13;NULL;42;NULL;"https://youtu.be/ENXdVLVyW8k?si=T6tHkdDwzzTVrpqq";"https://music.apple.com/gb/album/%C3%BE%C3%A1-veistu-svari%C3%B0/1653899082?i=1653899085";"https://open.spotify.com/track/5Ca1nvUuOrpW0XB3KBszAa?si=ddc4dd1265034e27"
1994;"Point Theatre";"Iceland";"Sigga";"Nætur";5;12;12;NULL;49;NULL;"https://youtu.be/DujvIZLcZZQ?si=SCxqnAzBcXfKdrJL";"https://music.apple.com/gb/album/n%C3%A6tur/1657286344?i=1657286346";"https://open.spotify.com/track/3SDjNlUhaIiJ5Bf6CzMrhO?si=0bd15b8709b14907"
1995;"Point Theatre";"Iceland";"Bo Halldórsson";"Núna";7;14;14;NULL;31;NULL;"https://youtu.be/2PSV5Bgot1A?si=LNmuxvgNfffvwdOi";NULL;NULL
1996;"Oslo Spektrum";"Iceland";"Anna Mjöll";"Sjúbídú";19;12;12;NULL;51;NULL;"https://youtu.be/pBzICh64ZVE?si=rY_VMaEi_54Unmbs";"https://music.apple.com/gb/album/sj%C3%BAb%C3%ADd%C3%BA/1629275148?i=1629276346";"https://open.spotify.com/track/2oBoZEUtC9ce7c1u06sGsZ?si=b02f329a5d884ce1"
1997;"Point Theatre";"Iceland";"Paul Oscar";"Minn hinsti dans";25;18;21;6;2;16;"https://youtu.be/g-D4AAkYpsk?si=ER8odxxql390LEcg";NULL;"https://open.spotify.com/track/5IR7u7uiUC61E4Ad5OZXzn?si=bf9cc443e88f49c9"
1999;"International Convention Center";"Iceland";"Selma";"All Out of Luck";13;2;4;2;22;124;"https://youtu.be/0c_2T-DZUe0?si=qySRxIPdipVvzmoB";"https://music.apple.com/gb/album/all-out-of-luck/527926951?i=527927235";"https://open.spotify.com/track/3F2vFcTAfL7jThy047uUrv?si=cc256f0cb08f49fd"
2000;"Globe Arena";"Iceland";"August and Telma";"Tell Me!";12;12;13;11;7;38;"https://youtu.be/NbtMevn7jM0?si=YZWmwx6Br8mGKQSe";"https://music.apple.com/gb/album/tell-me-eurovision-iceland-2000-orginal-version/392294800?i=392294804";"https://open.spotify.com/track/2k3Y97ETwFLIeQwWQG0pkC?si=5cd1f84bcfce4016"
2001;"Parken Stadium";"Iceland";"Two Tricky";"Angel";2;21;15;19;0;3;"https://youtu.be/efZ86C_ufvw?si=Z1OT95H8DuiZQVXc";"https://music.apple.com/gb/album/angel-eurovision-edit/1631757940?i=1631757942";"https://open.spotify.com/track/7nenj7SolCHKV3s8mjAHf8?si=beeb9b4f6a404e5e"
2003;"Skonto Olympic Hall";"Iceland";"Birgitta";"Open Your Heart";1;8;9;9;7;74;"https://youtu.be/-10mlXO26U4?si=Rs8BawJDo-NOSwUa";"https://music.apple.com/gb/album/open-your-heart/1631595594?i=1631595603";"https://open.spotify.com/track/37nGo7UKGrxVpIuViV9rBK?si=3e62cf74f4c44210"
2004;"Abdi İpekçi Arena";"Iceland";"Jónsi";"Heaven";17;17;NULL;17;NULL;16;"https://youtu.be/fe5Sql0wKJI?si=2ZPTOchDzUwI2Fno";"https://music.apple.com/gb/album/heaven/527926951?i=527927244";"https://open.spotify.com/track/28EIkUG3CBpIRDQh285jKP?si=09dc599f448b4000"
