"sourceTable";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"placedDiff";"totalPoints";"pointsJury";"pointsTelevote";"pointsDiff";"youtubeLink";"appleMusicLink";"spotifyLink"
"1965";"Butch Moore";"I'm Walking the Streets in the Rain";4;6;6;;;11;11;;;"https://youtu.be/6RVo0MD9rB8?si=p1QKzFTo7EjiPH5P";"https://music.apple.com/gb/album/walking-the-streets-in-the-rain/1439348371?i=1439348498";"https://open.spotify.com/track/6AMp6XaDKSrUyBqhvUHpIx?si=6322fd1508454513"
"1966";"Dickie Rock";"Come Back to Stay";17;4;4;;;14;14;;;"https://youtu.be/aRBnF58ykIQ?si=UkXWoFzsKufsRU6M";"https://music.apple.com/gb/album/come-back-to-stay/683323777?i=683324626";"https://open.spotify.com/track/6pT48pT32qKHQ8jwEwxIVQ?si=0b4e40d1f54d4799"
"1967";"Sean Dunphy";"If I Could Choose";17;2;2;;;22;22;;;"https://youtu.be/kDFmu-klR78?si=ge5v3foI_44SfZTu";"https://music.apple.com/gb/album/if-i-could-choose/1439348371?i=1439348534";"https://open.spotify.com/track/6csPs5g5gUraKCMlf8y9LB?si=e087a45290354602"
"1968";"Pat McGeegan";"Chance of a Lifetime";14;4;4;;;18;18;;;"https://youtu.be/P1qFcgBiWLU?si=YAKICsL1JEkkfXVi";"https://music.apple.com/gb/album/the-chance-of-a-lifetime/1148297554?i=1148297663";"https://open.spotify.com/track/3djihaaFYWdgPtNSHBHOKY?si=82c8d56ea72f46ca"
"1969";"Muriel Day";"The Wages of Love";5;4;4;;;10;10;;;"https://youtu.be/1-lxKz2heAM?si=KSTsT3CIGOrZuQ3a";;
"1970";"Dana";"All Kinds of Everything";12;1;1;;;32;32;;;"https://youtu.be/RvLPw530qoE?si=Nv3odJQezhu8AGAf";"https://music.apple.com/gb/album/all-kinds-of-everything/1078014786?i=1078014787";"https://open.spotify.com/track/3SJPRPwpF0MTFKPrshBeKM?si=a1872c78133a486e"
"1971";"Angela Farrell";"One Day Love";13;10;10;;;79;79;;;"https://youtu.be/9Y1l8Z31r9w?si=aDKj-n22IjjGtiBn";;
"1972";"Sandie Jones";"Ceol an Ghrá";3;15;15;;;72;72;;;"https://youtu.be/ZOF17vMjHxk?si=P3D9vMu6kvVFXtMN";;
"1973";"Maxi";"Do I Dream";14;9;9;;;80;80;;;"https://youtu.be/PRkZdgOxjuk?si=vum_bSz6tjMfZZTk";;
"1974";"Tina Reynolds";"Cross Your Heart";13;5;5;;;11;11;;;"https://youtu.be/NgQFrqPaFwc?si=sMwj67edvEUFkAAs";;
"1975";"The Swarbriggs";"That's What Friends Are For";2;9;9;;;68;68;;;"https://youtu.be/LBOjF_D6Ntg?si=klor_sn-3FIMdSmg";"https://music.apple.com/gb/album/thats-what-friends-are-for/712833434?i=712833622";"https://open.spotify.com/track/1rz4rSUxJmeIF4CuYarTnp?si=1cee9c997cc74aa2"
"1976";"Red Hurley";"When";7;10;10;;;54;54;;;"https://youtu.be/mbsFXmPHDZw?si=7-MjKgZqU9NLccoW";"https://music.apple.com/gb/album/when-remastered-2023-single/1686930861";"https://open.spotify.com/track/4wET5q7KgpBaIuKbmDhsGd?si=4ddbbf90f36b43c2"
"1977";"The Swarbriggs Plus Two";"It's Nice to Be in Love Again";1;3;3;;;119;119;;;"https://youtu.be/aEPkEaeCBNo?si=sB09RmXcqe2u1XlL";;
"1978";"Colm C. T. Wilkinson";"Born to Sing";1;5;5;;;86;86;;;"https://youtu.be/1030WPAfAiM?si=etHWjve0fbQMRuX9";;
"1979";"Cathal Dunne";"Happy Man";4;5;5;;;80;80;;;"https://youtu.be/f-z_gZFRptI?si=axCJrCgriNxS_DwJ";"https://music.apple.com/gb/album/happy-man/1322526290?i=1322526303";
"1980";"Johnny Logan";"What's Another Year";17;1;1;;;143;143;;;"https://youtu.be/iCDha7yMGRE?si=4d1lD_AXC2D6wZze";"https://music.apple.com/gb/album/whats-another-year/312639157?i=312639390";"https://open.spotify.com/track/51hipIpHYmj2Qh2tyQ32h6?si=dd293881b59041ac"
"1981";"Sheeba";"Horoscopes";12;5;5;;;105;105;;;"https://youtu.be/f-li7F7a_xc?si=swDUhDLkNaT5XuaP";"https://music.apple.com/gb/album/horoscopes/870893958?i=870894034";"https://open.spotify.com/track/1dqKwHVYD0NFiHtBspL9bw?si=25bd3bc3fc2344d0"
"1982";"The Duskeys";"Here Today, Gone Tomorrow";17;11;11;;;49;49;;;"https://youtu.be/KSKYoxvDSZM?si=XpBouTb5gE-Z4TDi";"https://music.apple.com/gb/album/here-today-gone-tomorrow/1618441434?i=1618441747";"https://open.spotify.com/track/2DZ22AU5A4k0eBP3HPCeiU?si=e0df442aba4b4b1c"
