"year","venue","countryname","artist","song","runningOrder","placed","placedJury","placedTelevote","pointsJury","pointsTelevote","youtubeLink","appleMusicLink","spotifyLink"
1973,"Théâtre Municipal","Israel","Ilanit","Ey Sham",17,4,4,NULL,97,NULL,"https://youtu.be/6N8SwfYRGWU?si=VED08nUPQ-pA1UzB","https://music.apple.com/gb/album/ey-sham/1227895070?i=1227895088","https://open.spotify.com/track/6XTFPBCx1F8q9V2CgXnUWO?si=ab9762edf33f4ff3"
1974,"Brighton Dome","Israel","Poogy","Natati La Khaiai",6,5,5,NULL,11,NULL,"https://youtu.be/dCjTzgaiW7Y?si=rqaiy9h7ZOm-3NgQ",NULL,NULL
1975,"St. Eriks Mässan","Israel","Shlomo Artzi","At Ve'Ani",12,11,11,NULL,40,NULL,"https://youtu.be/N3R_TMUK80A?si=GjBIIbi2nKMETrW1","https://music.apple.com/gb/album/%D7%90%D7%AA-%D7%95%D7%90%D7%A0%D7%99/486194289?i=486194300","https://open.spotify.com/track/6PnmAOXm7mExJKvz93iOaW?si=0b76dad0c6c4422d"
1976,"Nederlands Congresgebouw","Israel","Chocolate, Menta, Mastik","Emor Shalom",4,6,6,NULL,77,NULL,"https://youtu.be/TG4TRrNA_5I?si=xTwUGJXnm1zHMh5N",NULL,"https://open.spotify.com/track/0fcOqKU62cV5zQcAR6znt2?si=6631b7cec2524f38"
1977,"Wembley Conference Centre","Israel","Ilanit","Ahava Hi Shir Lishnayim",11,11,11,NULL,49,NULL,"https://youtu.be/jOKFCAL9ilc?si=HHO30iiuIfXM1O3E",NULL,NULL
1978,"Palais des Congrès","Israel","Izhar Cohen and the Alphabeta","A-Ba-Ni-Bi",18,1,1,NULL,157,NULL,"https://youtu.be/pOH-sojmLJY?si=pOFmFu3vnxK3kmCk",NULL,NULL
1979,"International Convention Center","Israel","Milk and Honey","Hallelujah",10,1,1,NULL,125,NULL,"https://youtu.be/jKbvuYRR35E?si=T0nFKSkSq4iuiKC-","https://music.apple.com/gb/album/hallelujah/1450822998?i=1450823222","https://open.spotify.com/track/0MSj3prJSpFXSAE7sq0us7?si=ab546571eaa0423a"
1981,"RDS Simmonscourt Pavilion","Israel","Habibi","Halayla",5,7,7,NULL,56,NULL,"https://youtu.be/vPwm_PBivsI?si=IItIoO7X1XtYinZj",NULL,NULL
1982,"Harrogate Conference Centre","Israel","Avi Toledano","Hora",15,2,2,NULL,100,NULL,"https://youtu.be/pk2qwxC4Cdk?si=qieyq0XXhEzJiF_q","https://music.apple.com/gb/album/%D7%94%D7%95%D7%A8%D7%94/1720118839?i=1720118850","https://open.spotify.com/track/6urrsu4nNYXRfIx0d8gGsQ?si=e104943a1be44f7c"
1983,"Rudi-Sedlmayer-Halle","Israel","Ofra Haza","Hi",16,2,2,NULL,136,NULL,"https://youtu.be/_XMZJYxb5XU?si=d9ThNH04gO107tjV",NULL,"https://open.spotify.com/track/0ufcTP3SDgYy6N2Yzf4cuK?si=d3f55f4d6f0144d1"
1985,"Scandinavium","Israel","Izhar Cohen","Olé, Olé",11,5,5,NULL,93,NULL,"https://youtu.be/aQ7dpXL1LJ4?si=EDLvqHMqVAVCuigY","https://music.apple.com/gb/album/ol%C3%A9-ol%C3%A9/1470162982?i=1470163184","https://open.spotify.com/track/3RRTFerHqlDhPJ8scvn0um?si=24947325b6354190"
1986,"Grieghallen","Israel","Moti Giladi and Sarai Tzuriel","Yavo Yom",11,19,19,NULL,7,NULL,"https://youtu.be/q7578MnlCTU?si=ikMqiQK20PXLu_P3",NULL,NULL
1987,"Palais de Centenaire","Israel","Datner and Kushnir","Shir Habatlanim",2,7,7,NULL,73,NULL,"https://youtu.be/ppCLepvHMcs?si=Pg_MhIT3ClKuBPFn",NULL,"https://open.spotify.com/track/4cmj2fpbZQxdeulun5bo6E?si=f2f556aa55bb417c"
