"year";"venue_name";"country_name";"artist_name";"song_name";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
1956;"Teatro Kursaal";"Italy";"Franca Raimondi";"Aprite le finestre";7;;;;;;"https://www.youtube.com/watch?v=OuVmJmW-8wo";"https://music.apple.com/gb/album/aprite-le-finestre/905902582?i=905903069";"https://open.spotify.com/track/4gx3iL7YGpjSMwDTKfAl2S?si=2333b381d7e746b3"
1956;"Teatro Kursaal";"Italy";"Tonina Torrielli";"Amami se vuoi";14;;;;;;"https://www.youtube.com/watch?v=NXcu6HnrYI4";"https://music.apple.com/gb/album/amami-se-vuoi/781403447?i=781403513";"https://open.spotify.com/track/7D8BhXGygskNNyaeISLmdh?si=f3513ec5049f4784"
1957;"Großer Sendesaal des Hessischen Rundfunks";"Italy";"Nunzio Gallo";"Corde della mia chitarra";4;6;6;;7;;"https://www.youtube.com/watch?v=3Ofli5AZpq4";"https://music.apple.com/gb/album/corde-della-mia-chitarra/1489664221?i=1489664222";"https://open.spotify.com/track/6oESFgSxgJCaYA7Ln4r3t7?si=f52c6dfc7bc84345"
1958;"AVRO Studios";"Italy";"Domenico Modugno";"Nel blu, dipinto di blu";1;3;3;;13;;"https://youtu.be/9DPAb9-Stmo?si=RfQQl510HzmKaZ-A";"https://music.apple.com/gb/album/nel-blu-dipinto-di-blu/278646756?i=278646936";"https://open.spotify.com/track/5zyrEv4F3FaLECI8TOKpFM?si=b50d014210ff444a"
1959;"Palais des Festivals";"Italy";"Domenico Modugno";"Piove";3;6;6;;9;;"https://youtu.be/n0enVNAU5sY?si=hMIDe1w7SDa1yVW3";"https://music.apple.com/gb/album/piove/924027650?i=924027735";"https://open.spotify.com/track/27S2WC5UIYWwMiHxLWwXAI?si=1a5ee26a0f484b89"
1960;"Royal Festival Hall";"Italy";"Renato Rascel";"Romantica";12;8;8;;5;;"https://youtu.be/v09rRFppOzk?si=nI1lv7nZ3k2A5bPe";"https://music.apple.com/gb/album/romantica/875694734?i=875694735";"https://open.spotify.com/track/1dPhTnjWdaZHRA5dGzFasj?si=8295f708a55441f7"
1961;"Palais des Festivals";"Italy";"Betty Curtis";"Al di là";16;5;5;;12;;"https://youtu.be/yUt5XlrAAY4?si=Bx0tcwL3wbTrBCkq";"https://music.apple.com/gb/album/al-di-la/207922231?i=207922710";"https://open.spotify.com/track/4AZrGY8svkIylX1aPJY7LB?si=5294bcc7465843d2"
1962;"Villa Louvigny";"Italy";"Claudio Villa";"Addio, addio";15;9;9;;3;;"https://youtu.be/7IViNM-CvlQ?si=obFuEEY9xGoJ8fv_";"https://music.apple.com/gb/album/addio-addio/97980852?i=97980826";"https://open.spotify.com/track/1sXVZGCgCbaflhPInSw0LJ?si=9fbc69f5175d4f8d"
1963;"BBC Television Centre";"Italy";"Emilio Pericoli";"Uno per tutte";6;3;3;;37;;"https://youtu.be/gn8GMilGDZw?si=50u6iO7CNVFjlYVi";"https://music.apple.com/gb/album/uno-per-tutte-1963/819774884?i=819774899";"https://open.spotify.com/track/4OF9t8dHcIBMip0Vc5hSlk?si=c238151bd8f245e9"
1964;"Tivolis Koncertsal";"Italy";"Gigliola Cinquetti";"Non ho l'età";12;1;1;;49;;"https://youtu.be/SWM4MOjhlw4?si=R0foqlrEDWXicuJe";"https://music.apple.com/gb/album/non-ho-leta-per-amarti/297960812?i=297960817";"https://open.spotify.com/track/65715T2yQVD0uPDRcrODGk?si=ada1f3ec3c2445cd"
