"year","venue","countryname","artist","song","runningOrder","placed","placedJury","placedTelevote","pointsJury","pointsTelevote","youtubeLink","appleMusicLink","spotifyLink"
2000,"Globe Arena","Latvia","Brainstorm","My Star",21,3,12,3,8,128,"https://youtu.be/DqFwe0PHwgc?si=3vUR5AreDXimsVOg","https://music.apple.com/gb/album/my-star/901441114?i=901441130","https://open.spotify.com/track/4R2tCloerHegAfPWjR3o7d?si=bafcd6734f3e403e"
2001,"Parken Stadium","Latvia","Arnis Mednis","Too Much",9,18,15,15,0,16,"https://youtu.be/uN0WwwEL81I?si=djW_VOuA158EKu4j","https://music.apple.com/gb/album/too-much-eurovision-mix/903636767?i=903636846","https://open.spotify.com/track/3XJ8YC4wks6m14Jy2p6QNQ?si=fe1998bb85b942f2"
2002,"Saku Suurhall","Latvia","Marie N","I Wanna",23,1,1,1,57,119,"https://youtu.be/_cCUrEIpSJQ?si=vCBUE6U5B1S9bBa7","https://music.apple.com/gb/album/i-wanna-radio-version/260662884?i=260662904","https://open.spotify.com/track/70tFqMdkFXCPeirRaLAKKM?si=fa14ae4299ed4afb"
2003,"Skonto Olympic Hall","Latvia","F.L.Y.","Hello from Mars",21,22,16,21,0,5,"https://youtu.be/iUoiA60x_HY?si=IvPOHRpwScWi7dXM","https://music.apple.com/gb/album/hello-from-mars/214197547?i=214197564","https://open.spotify.com/track/3H1LozYrpDih7m50AWDPIr?si=8d50e1a684df41f9"
2004,"Abdi İpekçi Arena","Latvia","Fomins and Kleins","Dziesma par laimi",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/r-wTd_9IThc?si=QQXFYxU5WxibWd5t","https://music.apple.com/gb/album/dziesma-par-laimi-2014/957076213?i=957076234","https://open.spotify.com/track/08muh0Pkao3ycXF2VEzjVZ?si=dbdbb292d7c94bed"
2005,"Palace of Sports","Latvia","Walters and Kazha","The War Is Not Over",23,3,2,4,22,130,"https://youtu.be/Q5HAilNn4fs?si=xp0f2Yp5f5ENBCAs","https://music.apple.com/gb/album/the-war-is-not-over/302520581?i=302520609","https://open.spotify.com/track/40wvKWTMSq9KDJwV0hntn1?si=966170cf02c14ccc"
2006,"Olympic Indoor Hall","Latvia","Vocal Group Cosmos","I Hear Your Heart",4,14,4,18,8,22,"https://youtu.be/-_pDAxEtt7g?si=uH-FLBenB-MBHv8h",NULL,NULL
2007,"Hartwall Arena","Latvia","Bonaparti.lv","Questa notte",14,16,12,16,0,54,"https://youtu.be/zghnafACJyE?si=fVBBJ4dsKRC-a5yC","https://music.apple.com/gb/album/questa-notte/254649114?i=254649171","https://open.spotify.com/track/1kcwsoWjmm9THtkhL1vQ7Y?si=6f28fc9b4cc844f9"
2008,"Belgrade Arena","Latvia","Pirates of the Sea","Wolves of the Sea",14,11,11,11,0,83,"https://youtu.be/gQy0PJEkQhA?si=vbYG9WojwUAH9rg4",NULL,NULL
2009,"Olimpiysky Arena","Latvia","Intars Busulis","Probka",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/s9t3K0lS1ZE?si=ZHLvP9uiJD8EXe2q",NULL,NULL
2010,"Telenor Arena","Latvia","Aisha","What For?",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/oRjtqVkj5w0?si=oCko3hrZO-_7eI6r","https://music.apple.com/gb/album/what-for-radio-edit/901442886?i=901442897","https://open.spotify.com/track/3aUtmu4VTqAFkk4sFQ5kNa?si=d3e20882823a44c2"
2011,"Düsseldorf Arena","Latvia","Musiqq","Angel in Disguise",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/qBTMLCloxBw?si=Fd1ZWmfIiJ8zJETT","https://music.apple.com/gb/album/angel-in-disguise/936804192?i=936804263","https://open.spotify.com/track/0Ks7MhpDyRRpCAC7hVFMna?si=c06a9e1329b74a60"
2012,"Baku Crystal Hall","Latvia","Anmary","Beautiful Song",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/KAxYfMFE_94?si=-8MpPOUgJLa1LCD0","https://music.apple.com/gb/album/beautiful-song-nworks-remix/752763846?i=752768252","https://open.spotify.com/track/3TBp9lFpGPTB2Goiq2fcV3?si=5e491bb3a3be4307"
2013,"Malmö Isstadion","Latvia","PeR","Here We Go",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/QeBL2UHhyEc?si=fSSROZQTIHgdGCEE",NULL,NULL
