"year";"venue";"countryname";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
1956;"Teatro Kursaal";"Luxembourg";"Michèle Arnaud";"Les Amants de minuit";13;;;;;;"https://www.youtube.com/watch?v=n8esgCRxMzs";"https://music.apple.com/gb/album/les-amants-de-minuit/921750628?i=921750767";"https://open.spotify.com/track/4Htfcujp7KxcgEnJeRrAbT?si=b237cf57a1aa4d4b"
1956;"Teatro Kursaal";"Luxembourg";"Michèle Arnaud";"Ne Crois Pas";6;;;;;;"https://www.youtube.com/watch?v=S62mHHz2ajc";"https://music.apple.com/gb/album/ne-crois-pas/697182162?i=697182892";"https://open.spotify.com/track/6FvurqfNB7a0gETC77KPRO?si=0241d4bbb07440b6"
1957;"Großer Sendesaal des Hessischen Rundfunks";"Luxembourg";"Danièle Dupré";"Tant de peine";2;4;4;;8;;"https://www.youtube.com/watch?v=-0nMxZ8L1cI";;"https://open.spotify.com/track/3g4Pmtk3Up0NCYRFqcEPsQ?si=07f45f1afe21460c"
1958;"AVRO Studios";"Luxembourg";"Solange Berry";"Un grand amour";4;9;9;;1;;"https://youtu.be/si14zjMHrhI?si=Ez0w2KRvAIeibymm";;"https://open.spotify.com/track/4J3TVPuP3xDwhYAcRQV4O8?si=9b82bf5c75bc47f0"
1960;"Royal Festival Hall";"Luxembourg";"Camillo Felgen";"So laang we's du do bast";3;13;13;;1;;"https://youtu.be/csoaoaVg_I8?si=n4LbpjiFbvDjo4iu";;"https://open.spotify.com/track/2b8igdRH1x6lIjJd4IUGE7?si=abf0edd858f5443b"
1961;"Palais des Festivals";"Luxembourg";"Jean-Claude Pascal";"Nous les amoureux";14;1;1;;31;;"https://youtu.be/kPSYrOQEkHQ?si=aVKBVxeVjKWBElx3";"https://music.apple.com/gb/album/nous-les-amoureux/435744646?i=435744724";"https://open.spotify.com/track/35PWl4T8d2U3a5AboajXXw?si=f2ff8db80d4e4409"
1962;"Villa Louvigny";"Luxembourg";"Camillo Felgen";"Petit bonhomme";14;3;3;;11;;"https://youtu.be/iPyam2tNeRg?si=MLczb97g8xb2vXve";"https://music.apple.com/gb/album/petit-bonhomme/900540969?i=900541176";"https://open.spotify.com/track/5OUvkBngWb5OsVdzJ7qG0a?si=741a5a4c2894434e"
1963;"BBC Television Centre";"Luxembourg";"Nana Mouskouri";"À force de prier";16;8;8;;13;;"https://youtu.be/98HlhsUVX70?si=i3BoTkh3bjQa_a_U";"https://music.apple.com/gb/album/%C3%A0-force-de-prier-grand-prix-eurovision-1963/1444011281?i=1444011397";"https://open.spotify.com/track/6m2OeTFSoVmjlzBHPhXJMO?si=ba55a32bd567460e"
1964;"Tivolis Koncertsal";"Luxembourg";"Hugues Aufray";"Dès que le printemps revient";1;4;4;;14;;"https://youtu.be/HQPy7voOC10?si=60yCagomPR51Qkw3";"https://music.apple.com/gb/album/d%C3%A8s-que-le-printemps-revient/1452864964?i=1452864981";"https://open.spotify.com/track/2eFts2ZspBoEaJlfgm2PjI?si=34e34df6493144f6"
1965;"Sala di Concerto della RAI";"Luxembourg";"France Gall";"Poupée de cire, poupée de son";15;1;1;;32;;"https://youtu.be/wV50SMhljmo?si=6l0Ud0V71IFIQgCF";"https://music.apple.com/gb/album/poupee-de-cire-poupee-de-son/332601104?i=332601711";"https://open.spotify.com/track/1OJcI2EzUidsTVl532wkWN?si=db59d38d8aa24f8d"
