"sourceTable";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"placedDiff";"totalPoints";"pointsJury";"pointsTelevote";"pointsDiff";"youtubeLink";"appleMusicLink";"spotifyLink"
"1971";"Joe Grech";"Marija l-Maltija";2;16;16;;;52;52;;;"https://youtu.be/IyCkJkD9InQ?si=KocOvlA5fHDa_rjh";"https://music.apple.com/gb/album/marija-l-maltija-esc-1971/843614305?i=843614317";"https://open.spotify.com/track/3vO7n5l3c0Wa1ycc7DIgtT?si=f129cf896f2f4d41"
"1972";"Helen and Joseph";"L-imħabba";9;18;18;;;48;48;;;"https://youtu.be/pxBXNX8ZZLM?si=c8udww7CYeTfsy1t";"https://music.apple.com/gb/album/lim%C4%A7abba-esc-1972/843614305?i=843614322";"https://open.spotify.com/track/3lPcK9X0uudmYsz0dvshWo?si=759304e153f24f48"
"1975";"Renato";"Singing This Song";10;12;12;;;32;32;;;"https://youtu.be/wdv7tNUfu2A?si=VghjuJn_xSSk-nzM";;
"1991";"Paul Giordimaina and Georgina";"Could It Be";3;5;5;;;106;106;;;"https://youtu.be/jDyURFQs4ik?si=V57CnYf8cO1iHsv9";"https://music.apple.com/gb/album/could-it-be-esc-1991/843614305?i=843614328";"https://open.spotify.com/track/7tdi3mA5wvKUkFVVknupB6?si=392a76572f384590"
"1992";"Mary Spiteri";"Little Child";10;3;3;;;123;123;;;"https://youtu.be/_ntUmPoJ3-o?si=_Vgj3L_E20pJQU_Z";"https://music.apple.com/gb/album/little-child-esc-1992/843614305?i=843614332";"https://open.spotify.com/track/6jQ1TWGhShk7oMrvBOL173?si=6bf4e47ab61d4e05"
"1993";"William Mangion";"This Time";8;8;8;;;69;69;;;"https://youtu.be/B0x04L0ll1k?si=fktnJCPfRfK81vXg";"https://music.apple.com/gb/album/this-time-esc-1993/843614305?i=843614333";"https://open.spotify.com/track/2vNnY9vB5JIV4o5I8Edf04?si=72052884bed34820"
"1994";"Moira Stafrace and Christopher Scicluna";"More than Love";12;5;5;;;97;97;;;"https://youtu.be/hrqa5g5h9l4?si=anzQdOQth8VT923g";"https://music.apple.com/gb/album/more-than-love/505224827?i=505225191";"https://open.spotify.com/track/1ZizKzFJ5DM5ZifOHr2RHr?si=ea827fe1e9d4467e"
"1995";"Mike Spiteri";"Keep Me in Mind";22;10;10;;;76;76;;;"https://youtu.be/8aN5J2baZ3w?si=IPpiATUfrGxijice";"https://music.apple.com/gb/album/keep-me-in-mind-esc-1995/843614305?i=843614337";"https://open.spotify.com/track/2Khe9HyqasSBy3xwkZQCco?si=97815acdbc1e477c"
"1996";"Miriam Christine";"In a Woman's Heart";6;10;10;;;68;68;;;"https://youtu.be/8Wkiem4gBpo?si=z7vayduTtaT-axhs";"https://music.apple.com/gb/album/in-a-womans-heart-esc-1996/843614305?i=843614339";"https://open.spotify.com/track/5uAzATY8QtaWvyRUKaKIPU?si=758b85ead7e044c0"
"1997";"Debbie Scerri";"Let Me Fly";18;9;7;13;6;66;66;0;66;"https://youtu.be/kFsovgK7B10?si=N3uwl4QRa0s_vDXS";"https://music.apple.com/gb/album/let-me-fly-esc-1997/843614305?i=843614340";"https://open.spotify.com/track/2qRSeT24NFOTAinm83x6Wt?si=faa1912442774eed"
"1998";"Chiara";"The One That I Love";18;4;3;4;1;150;19;131;112;"https://youtu.be/g0AQI_Nt1X4?si=fpXeRwBicrclMHxr";"https://music.apple.com/gb/album/the-one-that-i-love-esc-1998/843614305?i=843614341";"https://open.spotify.com/track/3s1GSTcK3WAVbQhpVVziKN?si=507d39d2a48e465e"
"1999";"Times Three";"Believe 'n Peace";20;13;9;13;4;32;7;25;18;"https://youtu.be/8IphpO_T1LQ?si=vKeWl_AvgAzTxqXJ";"https://music.apple.com/gb/album/believe-n-peace-esc-1999/843614305?i=843614344";"https://open.spotify.com/track/10gJ58ztG2nBtv9U0pbHAK?si=fa06be50bc764780"
"2000";"Claudette Pace";"Desire";2;8;2;10;8;73;33;40;7;"https://youtu.be/3BZzVxBlCx8?si=CbDJk6CFhS1J-ZG5";"https://music.apple.com/gb/album/desire-esc-2000/843614305?i=843614347";"https://open.spotify.com/track/4Ngtct85sXmayXB5Ga7CuK?si=000cdb3703db44a2"
"2001";"Fabrizio Faniello";"Another Summer Night";21;9;10;9;1;48;12;36;24;"https://youtu.be/_cYITo2AH0A?si=RbgAWnqbCr76JKD7";"https://music.apple.com/gb/album/another-summer-night/1572199723?i=1572199726";"https://open.spotify.com/track/2TumtigUX7Z0RCiBlFT8YL?si=8e2edbd312af4ff4"
"2002";"Ira Losco";"7th Wonder";9;16;11;20;9;25;19;6;13;"https://youtu.be/S4fHMmPqC80?si=iNwdVhuzIN363jg4";"https://music.apple.com/gb/album/7th-wonder/314247460?i=314247471";"https://open.spotify.com/track/6rF1ZmDKZKhEv49l2OrYCl?si=9b2f76280d1f4c10"
"2003";"Lynn Chircop";"To Dream Again";5;23;13;24;11;4;3;1;2;"https://youtu.be/gJRXn1rW0H8?si=NcYahRQbjX0Cn6EY";;
"2004";"Julie and Ludwig";"On Again... Off Again";6;11;;11;;50;;50;;"https://youtu.be/hbKBo7QhwcI?si=UovibVnNqzgfQv-8";"https://music.apple.com/gb/album/on-again-off-again-esc-2004/843614305?i=843614350";"https://open.spotify.com/track/14Q7wl2755cbjV36G2ByIw?si=cda20f234533443b"
"2005";"Chiara";"Angel";3;2;11;2;9;187;5;182;177;"https://youtu.be/Vv8GmwcfR9A?si=6mywPGGlqCKa5mtz";"https://music.apple.com/gb/album/angel/1640453036?i=1640453043";"https://open.spotify.com/track/6oj9VSTaFXiWLm4Rj78gMh?si=5b077a593b454538"
"2006";"Fabrizio Faniello";"I Do";7;21;11;22;11;1;1;0;1;;;
"2007";"Olivia Lewis";"Vertigo";;;;;;;;;;;;
"2008";"Morena";"Vodka";;;;;;;;;;;;
"2009";"Chiara";"What If We";14;19;12;22;10;105;87;18;69;;;
"2010";"Thea Garrett";"My Dream";;;;;;;;;;;;
"2011";"Glen Vella";"One Life";;;;;;;;;;;;
"2012";"Kurt Calleja";"This Is the Night";21;21;14;24;10;80;70;10;60;;;
"2013";"Gianluca";"Tomorrow";9;8;;;;;;;;;;
"2014";"Firelight";"Coming Home";22;12;6;22;16;136;119;17;102;;;
"2015";"Amber";"Warrior";;;;;;;;;;;;
"2016";"Ira Losco";"Walk on Water";22;11;4;21;17;153;137;16;121;;;
"2017";"Claudia Faniello";"Breathlessly";;;;;;;;;;;;
"2018";"Christabelle";"Taboo";;;;;;;;;;;;
"2019";"Michela";"Chameleon";1;14;10;22;12;107;87;20;67;"https://youtu.be/H-byNyainRA?si=tP9GuyhIUYprr0u0";"https://music.apple.com/gb/album/chameleon/1658531860?i=1658531861";"https://open.spotify.com/track/3f2A1yImyhIh63zVioggr5?si=03bebb679d8944a8"
"2020";"Destiny";"All of My Love";;;;;;;;;;"https://youtu.be/CFCn_8oViRw?si=P16a3GvWht_nKTC0";"https://music.apple.com/gb/album/all-of-my-love/1658293894?i=1658293896";"https://open.spotify.com/track/15E0nttOxOjP8ukMCtIm5A?si=80c5dd3b46114fc8"
"2021";"Destiny";"Je me casse";6;7;3;13;10;255;208;47;161;"https://youtu.be/jbbc2yKnv0M?si=kFQoJdKtz4pOYrMZ";"https://music.apple.com/gb/album/je-me-casse/1560824795?i=1560824891";"https://open.spotify.com/track/0NbGUXzlqYkSKlGiduwo84?si=98d33d2cc0b44f43"
"2022";"Emma Muscat";"I Am What I Am";;;;;;;;;;"https://youtu.be/DFCFM5qtvms?si=ud94OKaVDLcJV-W-";"https://music.apple.com/gb/album/i-am-what-i-am/1613374827?i=1613374828";"https://open.spotify.com/track/1FtqYazfNvsqR4CQvzrrD3?si=6b9c8c4157d04840"
"2023";"The Busker";"Dance (Our Own Party)";;;;;;;;;;"https://youtu.be/zVmVt9qmg9g?si=YUQfl7gzlEEh6VuS";"https://music.apple.com/gb/album/dance-our-own-party/1675580677?i=1675580678";"https://open.spotify.com/track/3natKRDYwMSPsLO9nX8y02?si=ff89ac3730614b21"
"2024";"Sarah Bonnici";"Loop";;;;;;;;;;"https://youtu.be/l6eS60n4wg8?si=yRbndxttYodiL3wz";"https://music.apple.com/gb/album/loop/1735310326?i=1735310627";"https://open.spotify.com/track/3DlWvRuHXQ3iQicBauinOd?si=7c4d043945804e30"
