"year","venue_name","country_name","artist_name","song_name","runningOrder","placed","placedJury","placedTelevote","pointsJury","pointsTelevote","youtubeLink","appleMusicLink","spotifyLink"
2005,"Palace of Sports","Moldova","Zdob și Zdub","Boonika bate doba",7,6,19,3,0,144,"https://youtu.be/mVhtWfC7RF4?si=N6jOAflvcYBfALAI","https://music.apple.com/gb/album/boonika-bate-doba-single-version/74922721?i=74922348","https://open.spotify.com/track/4rqqHVbVuCJjiR6uyz9izw?si=004f0e83122a4700"
2006,"Olympic Indoor Hall","Moldova","Arsenium feat. Natalia Gordienko and Connect-R","Loca",2,20,19,19,0,22,"https://youtu.be/11Xi8u1gkTo?si=Ry_OqI2NjmGcpEag","https://music.apple.com/gb/album/loca-crazy-feat-natalia-gordienco-connect-r-eurovision/1555174205?i=1555174393","https://open.spotify.com/track/5slyPLlX1jCdqUF35K7HZm?si=0c6b344ce4fe440e"
2007,"Hartwall Arena","Moldova","Natalia Barbu","Fight",24,10,12,10,4,105,"https://youtu.be/SZzcIOvoIfo?si=4v3GAxQCeqZh5DuM","https://music.apple.com/gb/album/fight/1693669563?i=1693670751","https://open.spotify.com/track/00ZMcosmawMNp7SWdpvjQX?si=6f544713c26f4262"
2008,"Belgrade Arena","Moldova","Geta Burlacu","A Century of Love",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/5ewtq_Me6zA?si=BM2GMNXB9NovrDDo","https://music.apple.com/gb/album/a-century-of-love/1731967128?i=1731967140","https://open.spotify.com/track/53mOp2JhjgF2FrfM5Li4AZ?si=4167703e6f2444b5"
2009,"Olimpiysky Arena","Moldova","Nelly Ciobanu","Hora din Moldova",13,7,10,5,93,151,"https://youtu.be/ZoP_0okrWyo?si=1OXavaTZtvwy0eIg",NULL,NULL
2010,"Telenor Arena","Moldova","SunStroke Project and Olia Tira","Run Away",4,23,23,18,33,28,"https://youtu.be/pHXDMe6QV-U?si=3eUuN8k62Gyx59pd","https://music.apple.com/gb/album/run-away-feat-olia-tira/1720522952?i=1720522954","https://open.spotify.com/track/06bUBaq3PKtjc6DvHN6uiX?si=dcab3de9f49e47de"
2011,"Düsseldorf Arena","Moldova","Zdob și Zdub","So Lucky",15,14,15,12,82,98,"https://youtu.be/lyQ72wb3yr4?si=WJeXmyP3J8SS_-70","https://music.apple.com/gb/album/so-lucky/490138457?i=490138611","https://open.spotify.com/track/5bKbuYEBKHd3TOuOY2c76f?si=0057eba2bf89465a"
2012,"Baku Crystal Hall","Moldova","Pasha Parfeny","Lăutar",26,11,9,13,104,75,"https://youtu.be/vIy0EtEeLEw?si=TldglJ_Cv5QIQboG","https://music.apple.com/gb/album/lautar/1292124989?i=1292124997","https://open.spotify.com/track/7cpOKiJAbRLvmMJdzckE3Y?si=f6ab29c4a3b84b18"
2013,"Malmö Isstadion","Moldova","Aliona Moon","O mie",3,NULL,5,19,NULL,NULL,"https://youtu.be/xckgLUv73Jc?si=ZyXMpRHjjiRi1suX","https://music.apple.com/gb/album/o-mie/1350092039?i=1350092141","https://open.spotify.com/track/2OQ8r8PyqHRQgP5rZoNk5K?si=b20f9c451ede4e1a"
2014,"B&W Hallerne","Moldova","Cristina Scarlat","Wild Soul",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/l9ZfGttI4P0?si=I7VNh9tmaqordELu",NULL,NULL
2015,"Wiener Stadthalle","Moldova","Eduard Romanyuta","I Want Your Love",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/px1MoZ0k7qY?si=7EWfltQad3_BDImW","https://music.apple.com/gb/album/i-want-your-love/976432617?i=976432786","https://open.spotify.com/track/6NcwcSoymgNM126a6WwbZX?si=ca54435e6b3c4ef8"
2016,"Globe Arena","Moldova","Lidia Isac","Falling Stars",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/LlhV-E6leTI?si=vVxrA25wmRfoCBGT","https://music.apple.com/gb/album/falling-stars-feat-radio-edit/1095358734?i=1095358744","https://open.spotify.com/track/7gb3w8xWgszx40JIz0R0NN?si=65e52961fc8c449e"
2017,"International Exhibition Centre","Moldova","SunStroke Project","Hey Mamma",7,6,8,5,110,208,"https://youtu.be/SWaQdHoCvYk?si=YFUx-rMVJgmKpFv0","https://music.apple.com/gb/album/hey-mamma/1652616948?i=1652616949","https://open.spotify.com/track/59JayqW5h9kyhLEcCTwPRX?si=379e570cc1bc4c0a"
2018,"Lisbon Arena","Moldova","DoReDoS","My Lucky Day",19,10,10,8,94,115,"https://youtu.be/m1kjPaVAeeE?si=9mA0nJTHvIBv4hwf","https://music.apple.com/gb/album/my-lucky-day/1725651191?i=1725651192","https://open.spotify.com/track/0ThWw4Mty8Sb0mzaXyFvt8?si=f4cfacc07e0f45b5"
2019,"Expo Tel Aviv","Moldova","Anna Odobescu","Stay",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/-mo207V5Z2o?si=nHJm3t3-i-xTNYdC","https://music.apple.com/gb/album/stay/1450910377?i=1450910383","https://open.spotify.com/track/78iJjN4KTvervCOGL5hZ6R?si=a37d9cc607124975"
2020,"Rotterdam Ahoy","Moldova","Natalia Gordienko","Prison",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/RnD1ApDo5_k?si=zKnupihtPfvgdwO5","https://music.apple.com/gb/album/prison/1497502827?i=1497502828","https://open.spotify.com/track/0Qnle48BiFwB0s4ppd93P2?si=40cc1c140ea34f71"
2021,"Rotterdam Ahoy","Moldova","Natalia Gordienko","Sugar",14,13,15,12,53,62,"https://youtu.be/5I_1GTehgkI?si=7MoLx0oqFWjqIiSw","https://music.apple.com/gb/album/sugar/1554572387?i=1554572395","https://open.spotify.com/track/4ajjeZhSAVz2Zp9rf9OTIL?si=0947dc279a75476e"
2022,"PalaOlimpico","Moldova","Zdob și Zdub and Advahov Brothers","Trenulețul",19,7,20,2,14,239,"https://youtu.be/DUqf_zO2QaI?si=a0CCI9PN4U5dj0HQ","https://music.apple.com/gb/album/trenule%C8%9Bul/1601298284?i=1601298302","https://open.spotify.com/track/0IcFeQZD19y54GGhUeCQD7?si=8b4d3796f58b43e2"
2023,"Liverpool Arena","Moldova","Pasha Parfeni","Soarele și luna",18,18,20,9,20,76,"https://youtu.be/SABOfYgGk8M?si=XfWNRwV2_VxcvXl6","https://music.apple.com/gb/album/soarele-si-luna/1666866097?i=1666866098","https://open.spotify.com/track/6SO3p9lb1qiPMN1e7iHAjv?si=3010ab3aa1dd4026"
2024,"Malmö Isstadion","Moldova","Natalia Barbu","In the Middle",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/Jom9sNL5whs?si=SG4myZdxHCU-8vLz","https://music.apple.com/gb/album/in-the-middle/1726436926?i=1726437000","https://open.spotify.com/track/5ViF3hsL0iwD7jhh5JB2Ip?si=1bde8d390687456f"
