"year";"venue";"countryname";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
1959;"Palais des Festivals";"Monaco";"Jacques Pills";"Mon ami Pierrot";4;11;11;;1;;"https://youtu.be/A8ciSsplQYQ?si=tAYrB1IdOOUoGwh3";;"https://open.spotify.com/track/5Bhj2761zwyBnClPTgE8Mm?si=ecf111aff2f6460f"
1960;"Royal Festival Hall";"Monaco";"François Deguelt";"Ce soir-là";8;3;3;;15;;"https://youtu.be/AMi5qpBbSVw?si=G5RC3OmOUpZQMrgu";"https://music.apple.com/gb/album/ce-soir-l%C3%A0-remasteris%C3%A9-en-2019/1471669897?i=1471669912";"https://open.spotify.com/track/2FHdxkG6hZrYoBjasGJx9R?si=877bbba515c6476c"
1961;"Palais des Festivals";"Monaco";"Colette Deréal";"Allons, allons les enfants";2;11;11;;6;;"https://youtu.be/mg1ydx9FCyA?si=zmhAXVsdhMlFks00";"https://music.apple.com/gb/album/allons-allons-les-enfants/513399207?i=513400330";"https://open.spotify.com/track/3xSysXRdlCITE3KBxpCh9X?si=e432b4763fbe4a0d"
1962;"Villa Louvigny";"Monaco";"François Deguelt";"Dis rien";16;2;2;;13;;"https://youtu.be/Qeyse4ot0h0?si=qJIwzXu1ztfK7yah";"https://music.apple.com/gb/album/dis-rien/717805486?i=717805728";"https://open.spotify.com/track/3zESMuzk5LTCI4VWRFwGcS?si=933fdc1f82e64305"
1963;"BBC Television Centre";"Monaco";"Françoise Hardy";"L'amour s'en va";15;6;6;;25;;"https://youtu.be/YgoaMzC3W18?si=cQnrfgeexGsrsAjM";"https://music.apple.com/gb/album/lamour-sen-va/581116855?i=581117363";"https://open.spotify.com/track/7fGlVINs6TgZcCt5QMzxXq?si=1eebe616943b490b"
1964;"Tivolis Koncertsal";"Monaco";"Romuald";"Où sont-elles passées";10;3;3;;15;;"https://youtu.be/bemKlMd39fc?si=J-M3t0Gp55P0mlZR";"https://music.apple.com/gb/album/o%C3%B9-sont-elles-pass%C3%A9es/1583007082?i=1583007375";
1965;"Sala di Concerto della RAI";"Monaco";"Marjorie Noël";"Va dire à l'amour";9;9;9;;7;;"https://youtu.be/VECQD6-eDg4?si=xsZCpbawOPQSQ8sC";"https://music.apple.com/gb/album/va-dire-a-lamour/1679210300?i=1679210306";"https://open.spotify.com/track/5RHxcRrVMHewctZld43aVD?si=e18ada3042ff4771"
1966;"Villa Louvigny";"Monaco";"Téréza";"Bien plus fort";13;18;18;;0;;"https://youtu.be/cfsMknxN5GA?si=0EZ4LCUD2zAZ_mri";"https://music.apple.com/gb/album/bien-plus-fort/818684061?i=818684132";"https://open.spotify.com/track/6Db1NbH5ciwaDd7bfZSFRV?si=dd29ff277a1f42a8"
1967;"Großer Festsaal der Wiener Hofburg";"Monaco";"Minouche Barelli";"Boum-Badaboum";14;5;5;;10;;"https://youtu.be/aPwd6IKgGQQ?si=8SBQRg_NOF4fvT8b";;
1968;"Royal Albert Hall";"Monaco";"Line and Willy";"À chacun sa chanson";7;8;8;;8;;"https://youtu.be/Ll8NNJA3MxY?si=2dFQhWintVAWiXgJ";;
1969;"Teatro Real";"Monaco";"Jean Jacques";"Maman, Maman";4;6;6;;11;;"https://youtu.be/hlbLPJ-ocxY?si=cU2TTLc-U5ugXrbT";"https://music.apple.com/gb/album/maman-maman/102086414?i=102086190";
1970;"RAI Congrescentrum";"Monaco";"Dominique Dussault";"Marlène";10;10;10;;5;;"https://youtu.be/eCTbp5HaXi0?si=0e97-P7fxHTT30j8";;
1971;"Gaiety Theatre";"Monaco";"Séverine";"Un banc, un arbre, une rue";3;1;1;;128;;"https://youtu.be/9oGow6SKPbc?si=oSFx8-HOr7Kg4MyA";"https://music.apple.com/gb/album/un-banc-un-arbre-une-rue/104661392?i=104660824";"https://open.spotify.com/track/15mVQWoiwjwXrs5LBybM0A?si=e222c4b32fef4ace"
1972;"Usher Hall";"Monaco";"Anne-Marie Godart and Peter MacLane";"Comme on s'aime";15;16;16;;65;;"https://youtu.be/RuxHF5-HbMk?si=EZ7ueogUyKwZoK2c";;
1973;"Théâtre Municipal";"Monaco";"Marie";"Un train qui part";6;9;9;;85;;"https://youtu.be/jlCWRX0BTK8?si=NWP4SV2zc69zi8HA";;
1974;"Brighton Dome";"Monaco";"Romuald";"Celui qui reste et celui qui s'en va";10;5;5;;14;;"https://youtu.be/r_N7ApAlxLw?si=lCkEBsWVXj4XlOy5";"https://music.apple.com/gb/album/celui-qui-reste-et-celui-qui-sen-va/1583008848?i=1583009471";"https://open.spotify.com/track/0k1JJqZyb5m3WmMGC4BWj9?si=69d1cfb93cd14ce7"
1975;"St. Eriks Mässan";"Monaco";"Sophie";"Une chanson c'est une lettre";14;13;13;;22;;"https://youtu.be/VpP9maMPO1A?si=rgrahO3bf_lAza3S";;
1976;"Nederlands Congresgebouw";"Monaco";"Mary Christy";"Toi, la musique et moi";16;3;3;;93;;"https://youtu.be/pB0Dahhm0MA?si=jgNLiE_p94tZua_x";;
1977;"Wembley Conference Centre";"Monaco";"Michèle Torr";"Une petite française";2;4;4;;96;;"https://youtu.be/u_CPOexfFCU?si=iebJWQoFj4b0Yl0R";"https://music.apple.com/gb/album/une-petite-fran%C3%A7aise/1442239725?i=1442239912";"https://open.spotify.com/track/4OMWFiBrBlA11tnJmNhi7y?si=840e5bf8c27f4c72"
1978;"Palais des Congrès";"Monaco";"Caline and Olivier Toussaint";"Les Jardins de Monaco";14;4;4;;107;;"https://youtu.be/k1pekCSwbrI?si=Fjcj79-8GCU6smji";;
1979;"International Convention Center";"Monaco";"Laurent Vaguener";"Notre vie c'est la musique";6;16;16;;12;;"https://youtu.be/53OdfcR1eVo?si=2cLrWqEFbWBgDOu7";;
2004;"Abdi İpekçi Arena";"Monaco";"Maryon";"Notre planète";;;;;;;"https://youtu.be/p62weX__fTc?si=acttKEmufdHZnu9c";;
2005;"Palace of Sports";"Monaco";"Lise Darly";"Tout de moi";;;;;;;"https://youtu.be/DjqkIf3lQAk?si=wcIBpLHELYOkw7WC";"https://music.apple.com/gb/album/tout-de-moi/1496569061?i=1496569065";
2006;"Olympic Indoor Hall";"Monaco";"Séverine Ferrer";"La Coco-Dance";;;;;;;"https://youtu.be/g23U7o4NgmA?si=DK5xxA6fgdCxHNfA";;
